lb,ub,mean_width,coverage,estimator,$n_b$,prop_budget,seed
-0.051653698,0.021474129,0.07312783,1,classical,1850,0.004998770572642945,0
-0.030440632,0.04527164,0.07571227,1,classical,1850,0.004998770572642945,1
-0.03168566,0.045139257,0.07682492,1,classical,1850,0.004998770572642945,2
-0.022665586,0.050686892,0.07335248,1,classical,1850,0.004998770572642945,3
-0.053158507,0.018914975,0.07207348,1,classical,1850,0.004998770572642945,4
-0.033804726,0.04542635,0.079231076,1,classical,1850,0.004998770572642945,5
-0.06123154,0.0101995,0.07143104,1,classical,1850,0.004998770572642945,6
-0.06721184,0.008787436,0.075999275,1,classical,1850,0.004998770572642945,7
-0.030218365,0.0511456,0.08136396,1,classical,1850,0.004998770572642945,8
-0.03140755,0.04597555,0.0773831,1,classical,1850,0.004998770572642945,9
-0.06624791,0.0067794044,0.07302731,1,classical,1850,0.004998770572642945,10
-0.041009292,0.034238786,0.07524808,1,classical,1850,0.004998770572642945,11
-0.032687835,0.04657554,0.079263374,1,classical,1850,0.004998770572642945,12
-0.07508899,-0.009824615,0.065264374,0,classical,1850,0.004998770572642945,13
-0.014782554,0.06438513,0.07916769,1,classical,1850,0.004998770572642945,14
-0.0066435896,0.078277394,0.08492099,1,classical,1850,0.004998770572642945,15
-0.06910381,-0.005755946,0.06334786,0,classical,1850,0.004998770572642945,16
-0.008429799,0.083099335,0.09152913,1,classical,1850,0.004998770572642945,17
-0.05346443,0.023907851,0.07737228,1,classical,1850,0.004998770572642945,18
-0.05924441,0.01442956,0.07367397,1,classical,1850,0.004998770572642945,19
0.0032139197,0.08881781,0.08560389,1,classical,1850,0.004998770572642945,20
-0.042142503,0.029308133,0.071450636,1,classical,1850,0.004998770572642945,21
-0.0010898001,0.084554195,0.08564399,1,classical,1850,0.004998770572642945,22
-0.031062841,0.052286603,0.083349444,1,classical,1850,0.004998770572642945,23
0.011078738,0.10123197,0.09015323,0,classical,1850,0.004998770572642945,24
-0.0022688545,0.07894704,0.08121589,1,classical,1850,0.004998770572642945,25
-0.008398958,0.07328123,0.081680186,1,classical,1850,0.004998770572642945,26
-0.03575606,0.03819803,0.07395409,1,classical,1850,0.004998770572642945,27
-0.0279316,0.05071199,0.07864359,1,classical,1850,0.004998770572642945,28
-0.04093822,0.03515221,0.07609043,1,classical,1850,0.004998770572642945,29
-0.022104394,0.053309295,0.07541369,1,classical,1850,0.004998770572642945,30
-0.023176093,0.06250356,0.08567965,1,classical,1850,0.004998770572642945,31
-0.030031089,0.042830702,0.07286179,1,classical,1850,0.004998770572642945,32
-0.05324683,0.020010348,0.07325718,1,classical,1850,0.004998770572642945,33
-0.03420949,0.040496156,0.074705645,1,classical,1850,0.004998770572642945,34
-0.050875098,0.024281157,0.07515626,1,classical,1850,0.004998770572642945,35
0.012249675,0.091041684,0.078792006,0,classical,1850,0.004998770572642945,36
-0.0017119348,0.07949162,0.08120356,1,classical,1850,0.004998770572642945,37
0.021648396,0.107164755,0.08551636,0,classical,1850,0.004998770572642945,38
-0.019804712,0.06390053,0.08370525,1,classical,1850,0.004998770572642945,39
-0.0056994073,0.075076416,0.08077583,1,classical,1850,0.004998770572642945,40
-0.023611635,0.05405639,0.077668026,1,classical,1850,0.004998770572642945,41
-0.02656745,0.059202217,0.08576967,1,classical,1850,0.004998770572642945,42
-0.054369807,0.021393096,0.075762905,1,classical,1850,0.004998770572642945,43
-0.03027463,0.04776612,0.07804075,1,classical,1850,0.004998770572642945,44
-0.011368645,0.06617175,0.0775404,1,classical,1850,0.004998770572642945,45
-0.036282428,0.041756354,0.07803878,1,classical,1850,0.004998770572642945,46
-0.036894906,0.041925248,0.078820154,1,classical,1850,0.004998770572642945,47
-0.062408615,0.009629186,0.0720378,1,classical,1850,0.004998770572642945,48
-0.026117614,0.062822066,0.08893968,1,classical,1850,0.004998770572642945,49
-0.0186692,0.06343062,0.082099825,1,classical,1850,0.004998770572642945,50
-0.021426097,0.0593642,0.080790296,1,classical,1850,0.004998770572642945,51
-0.06307959,0.0080850795,0.07116467,1,classical,1850,0.004998770572642945,52
