lb,ub,interval width,coverage,estimator,$n_b$,mean_width,prop_budget,seed
-0.04480511,0.055718765,0.100523874,1,faq (full var),950,,,
-0.044835865,0.05574952,0.100585386,1,faq (simp var),950,,,
-0.045245863,0.04587759,0.091123454,1,faq (full var),950,,,
-0.0452517,0.04588343,0.09113513,1,faq (simp var),950,,,
-0.07435121,0.01980916,0.09416036,1,faq (full var),950,,,
-0.07436916,0.019827109,0.094196275,1,faq (simp var),950,,,
-0.063158184,0.025679784,0.08883797,1,faq (full var),950,,,
-0.06316572,0.025687316,0.08885303,1,faq (simp var),950,,,
-0.04127382,0.055846173,0.097119994,1,faq (full var),950,,,
-0.04127384,0.055846192,0.09712003,1,faq (simp var),950,,,
-0.05784804,0.029236827,0.08708487,1,faq (full var),950,,,
-0.057848718,0.029237505,0.08708622,1,faq (simp var),950,,,
-0.02280742,0.08762242,0.11042984,1,faq (full var),950,,,
-0.022837598,0.087652594,0.11049019,1,faq (simp var),950,,,
-0.08394468,-0.0013100989,0.08263458,0,faq (full var),950,,,
-0.084099606,-0.0011551715,0.08294444,0,faq (simp var),950,,,
-0.06811064,0.018273199,0.086383834,1,faq (full var),950,,,
-0.06817646,0.018339029,0.08651549,1,faq (simp var),950,,,
-0.06193714,0.017833887,0.07977103,1,faq (full var),950,,,
-0.061990738,0.017887486,0.079878226,1,faq (simp var),950,,,
-0.05834501,0.028563771,0.08690878,1,faq (full var),950,,,
-0.05835038,0.028569143,0.086919524,1,faq (simp var),950,,,
-0.0449939,0.055876903,0.1008708,1,faq (full var),950,,,
-0.044994626,0.05587763,0.100872256,1,faq (simp var),950,,,
-0.053815067,0.028055971,0.08187104,1,faq (full var),950,,,
-0.05383981,0.028080715,0.08192053,1,faq (simp var),950,,,
-0.06247379,0.018846551,0.08132034,1,faq (full var),950,,,
-0.062473796,0.018846558,0.08132035,1,faq (simp var),950,,,
-0.022999473,0.079131864,0.10213134,1,faq (full var),950,,,
-0.023048922,0.07918131,0.102230236,1,faq (simp var),950,,,
-0.068590626,0.0024721138,0.07106274,1,faq (full var),950,,,
-0.06863123,0.002512727,0.071143955,1,faq (simp var),950,,,
-0.050757997,0.0434997,0.0942577,1,faq (full var),950,,,
