prop_budget,method,seed,width,coverage
0.0100,bernoulli-active,333,5.079347610473633,1.0
0.0100,bernoulli-active,334,4.080829620361328,0.0
0.0100,bernoulli-active,335,1.9060355424880981,1.0
0.0100,bernoulli-active,336,1.9940564632415771,1.0
0.0100,bernoulli-active,337,1.863642930984497,1.0
0.0100,bernoulli-active,338,3.5353121757507324,1.0
0.0100,bernoulli-active,339,2.3701348304748535,1.0
0.0100,bernoulli-active,340,1.7426080703735352,1.0
0.0100,bernoulli-active,341,2.0668678283691406,1.0
0.0100,bernoulli-active,342,1.2878392934799194,1.0
0.0100,bernoulli-active,343,2.0796680450439453,1.0
0.0100,bernoulli-active,344,2.5973265171051025,0.0
0.0100,bernoulli-active,345,1.639351725578308,1.0
0.0100,bernoulli-active,346,2.1152658462524414,1.0
0.0100,bernoulli-active,347,2.051365852355957,1.0
0.0100,bernoulli-active,348,2.2140207290649414,1.0
0.0100,bernoulli-active,349,2.874896764755249,1.0
0.0100,bernoulli-active,350,2.8467862606048584,1.0
0.0100,bernoulli-active,351,1.6280335187911987,1.0
0.0100,bernoulli-active,352,1.6656277179718018,1.0
0.0100,bernoulli-active,353,1.8729559183120728,1.0
0.0100,bernoulli-active,354,1.9791955947875977,1.0
0.0100,bernoulli-active,355,1.0340464115142822,1.0
0.0100,bernoulli-active,356,2.651841163635254,1.0
0.0100,bernoulli-active,357,2.2935447692871094,1.0
0.0100,bernoulli-active,358,2.054595470428467,1.0
0.0100,bernoulli-active,359,2.15043568611145,1.0
0.0100,bernoulli-active,360,2.1844406127929688,1.0
0.0100,bernoulli-active,361,2.9352996349334717,1.0
0.0100,bernoulli-active,362,1.7767409086227417,1.0
0.0100,bernoulli-active,363,3.011829376220703,1.0
0.0100,bernoulli-active,364,1.663509726524353,1.0
0.0100,bernoulli-active,365,1.4510257244110107,1.0
0.0100,bernoulli-active,366,1.6895170211791992,1.0
0.0100,bernoulli-active,367,2.145164966583252,1.0
0.0100,bernoulli-active,368,2.4323136806488037,0.0
0.0100,bernoulli-active,369,2.196497917175293,1.0
0.0100,bernoulli-active,370,3.378600597381592,1.0
0.0100,bernoulli-active,371,2.3875207901000977,1.0
0.0100,bernoulli-active,372,3.860114097595215,1.0
0.0100,bernoulli-active,373,3.489900827407837,0.0
0.0100,bernoulli-active,374,2.9565775394439697,1.0
0.0100,bernoulli-active,375,2.1171534061431885,1.0
0.0100,bernoulli-active,376,2.9305880069732666,1.0
0.0100,bernoulli-active,377,3.0789575576782227,1.0
0.0100,bernoulli-active,378,2.000824451446533,1.0
0.0100,bernoulli-active,379,4.00080680847168,1.0
0.0100,bernoulli-active,380,1.2181845903396606,1.0
0.0100,bernoulli-active,381,3.059765100479126,1.0
0.0100,bernoulli-active,382,2.3786020278930664,1.0
0.0100,bernoulli-active,383,2.216014862060547,1.0
0.0100,bernoulli-active,384,2.7065393924713135,1.0
0.0100,bernoulli-active,385,2.1026830673217773,1.0
0.0100,bernoulli-active,386,1.428378939628601,1.0
0.0100,bernoulli-active,387,2.6776554584503174,1.0
0.0100,bernoulli-active,388,2.18489408493042,1.0
0.0100,bernoulli-active,389,2.572413921356201,1.0
0.0100,bernoulli-active,390,1.7169716358184814,1.0
0.0100,bernoulli-active,391,1.8391988277435303,1.0
0.0100,bernoulli-active,392,3.2745537757873535,1.0
0.0100,bernoulli-active,393,2.077730655670166,1.0
0.0100,bernoulli-active,394,1.9930170774459839,1.0
0.0100,bernoulli-active,395,2.48378324508667,1.0
0.0100,bernoulli-active,396,3.3155527114868164,1.0
0.0100,bernoulli-active,397,1.6405317783355713,1.0
0.0100,bernoulli-active,398,2.1025173664093018,1.0
0.0100,bernoulli-active,399,2.187696933746338,1.0
0.0100,bernoulli-active,400,1.7589218616485596,1.0
0.0100,bernoulli-active,401,2.5354511737823486,1.0
0.0100,bernoulli-active,402,1.6139636039733887,1.0
0.0100,bernoulli-active,403,2.556065082550049,1.0
0.0100,bernoulli-active,404,2.1978654861450195,1.0
0.0100,bernoulli-active,405,2.1282849311828613,1.0
0.0100,bernoulli-active,406,1.62190580368042,1.0
