prop_budget,method,seed,width,coverage
0.0100,wor-active,666,0.03107738494873047,0.0
0.0100,wor-active,667,0.0121307373046875,0.0
0.0100,wor-active,668,0.02298915386199951,0.0
0.0100,wor-active,669,0.037748098373413086,0.0
0.0100,wor-active,670,0.026413440704345703,0.0
0.0100,wor-active,671,0.02531909942626953,0.0
0.0100,wor-active,672,0.03611612319946289,0.0
0.0100,wor-active,673,0.021491050720214844,0.0
0.0100,wor-active,674,0.030597925186157227,0.0
0.0100,wor-active,675,0.0329819917678833,0.0
0.0100,wor-active,676,0.05989980697631836,0.0
0.0100,wor-active,677,0.03027784824371338,0.0
0.0100,wor-active,678,0.02780020236968994,0.0
0.0100,wor-active,679,0.023970842361450195,0.0
0.0100,wor-active,680,0.026087045669555664,0.0
0.0100,wor-active,681,0.027880072593688965,0.0
0.0100,wor-active,682,0.023928165435791016,0.0
0.0100,wor-active,683,0.04059016704559326,0.0
0.0100,wor-active,684,0.0358736515045166,0.0
0.0100,wor-active,685,0.04256319999694824,0.0
0.0100,wor-active,686,0.04035615921020508,1.0
0.0100,wor-active,687,0.026872873306274414,0.0
0.0100,wor-active,688,0.03766918182373047,0.0
0.0100,wor-active,689,0.033330678939819336,0.0
0.0100,wor-active,690,0.03860807418823242,0.0
0.0100,wor-active,691,0.019738078117370605,0.0
0.0100,wor-active,692,0.017711639404296875,0.0
0.0100,wor-active,693,0.02126598358154297,0.0
0.0100,wor-active,694,0.04027295112609863,0.0
0.0100,wor-active,695,0.029018163681030273,0.0
0.0100,wor-active,696,0.029987215995788574,0.0
0.0100,wor-active,697,0.02814626693725586,0.0
0.0100,wor-active,698,0.02609705924987793,0.0
0.0100,wor-active,699,0.026826024055480957,0.0
0.0100,wor-active,700,0.03845691680908203,0.0
0.0100,wor-active,701,0.01992189884185791,0.0
0.0100,wor-active,702,0.036214590072631836,0.0
0.0100,wor-active,703,0.026861190795898438,0.0
0.0100,wor-active,704,0.028117895126342773,0.0
0.0100,wor-active,705,0.02592301368713379,0.0
0.0100,wor-active,706,0.022216796875,0.0
0.0100,wor-active,707,0.024408578872680664,0.0
0.0100,wor-active,708,0.05260491371154785,0.0
0.0100,wor-active,709,0.026277780532836914,0.0
0.0100,wor-active,710,0.024111509323120117,0.0
0.0100,wor-active,711,0.02921295166015625,0.0
0.0100,wor-active,712,0.036722421646118164,0.0
0.0100,wor-active,713,0.023949265480041504,0.0
0.0100,wor-active,714,0.03052067756652832,0.0
0.0100,wor-active,715,0.015834331512451172,0.0
0.0100,wor-active,716,0.03187251091003418,0.0
0.0100,wor-active,717,0.016134977340698242,0.0
0.0100,wor-active,718,0.01938652992248535,0.0
0.0100,wor-active,719,0.03439044952392578,0.0
0.0100,wor-active,720,0.032027482986450195,0.0
0.0100,wor-active,721,0.026096701622009277,0.0
0.0100,wor-active,722,0.025966644287109375,0.0
0.0100,wor-active,723,0.03512120246887207,0.0
0.0100,wor-active,724,0.03938913345336914,0.0
0.0100,wor-active,725,0.014713168144226074,0.0
0.0100,wor-active,726,0.04937148094177246,0.0
0.0100,wor-active,727,0.026171207427978516,0.0
0.0100,wor-active,728,0.035553693771362305,0.0
0.0100,wor-active,729,0.02614450454711914,0.0
0.0100,wor-active,730,0.02992570400238037,0.0
0.0100,wor-active,731,0.021546125411987305,0.0
0.0100,wor-active,732,0.019290924072265625,0.0
0.0100,wor-active,733,0.03911900520324707,0.0
0.0100,wor-active,734,0.01906871795654297,0.0
0.0100,wor-active,735,0.02537059783935547,0.0
0.0100,wor-active,736,0.03653430938720703,0.0
0.0100,wor-active,737,0.04056596755981445,0.0
0.0100,wor-active,738,0.02519392967224121,0.0
0.0100,wor-active,739,0.032289981842041016,0.0
0.0100,wor-active,740,0.01844024658203125,0.0
0.0100,wor-active,741,0.030030488967895508,0.0
0.0100,wor-active,742,0.03945159912109375,0.0
0.0100,wor-active,743,0.026090383529663086,0.0
0.0100,wor-active,744,0.0262986421585083,0.0
0.0100,wor-active,745,0.03460192680358887,0.0
0.0100,wor-active,746,0.02045142650604248,0.0
0.0100,wor-active,747,0.039367079734802246,0.0
0.0100,wor-active,748,0.04156041145324707,0.0
0.0100,wor-active,749,0.03676486015319824,0.0
0.0100,wor-active,750,0.03358626365661621,0.0
0.0100,wor-active,751,0.025244712829589844,0.0
0.0100,wor-active,752,0.03878617286682129,0.0
0.0100,wor-active,753,0.03467226028442383,1.0
0.0100,wor-active,754,0.0576171875,0.0
0.0100,wor-active,755,0.03656911849975586,0.0
0.0100,wor-active,756,0.02165365219116211,0.0
0.0100,wor-active,757,0.031320810317993164,0.0
0.0100,wor-active,758,0.029413700103759766,0.0
0.0100,wor-active,759,0.03331565856933594,0.0
0.0100,wor-active,760,0.024538755416870117,0.0
0.0100,wor-active,761,0.027054786682128906,0.0
0.0100,wor-active,762,0.03345012664794922,0.0
0.0100,wor-active,763,0.023624300956726074,0.0
0.0100,wor-active,764,0.023603439331054688,0.0
0.0100,wor-active,765,0.03657889366149902,0.0
0.0100,wor-active,766,0.02219843864440918,0.0
0.0100,wor-active,767,0.043547630310058594,0.0
0.0100,wor-active,768,0.02822291851043701,0.0
0.0100,wor-active,769,0.032675981521606445,0.0
0.0100,wor-active,770,0.01564610004425049,0.0
0.0100,wor-active,771,0.026463031768798828,0.0
0.0100,wor-active,772,0.026194334030151367,0.0
0.0100,wor-active,773,0.023180603981018066,0.0
0.0100,wor-active,774,0.02716851234436035,0.0
0.0100,wor-active,775,0.031018972396850586,0.0
0.0100,wor-active,776,0.025511503219604492,0.0
0.0100,wor-active,777,0.04570317268371582,0.0
0.0100,wor-active,778,0.022484302520751953,0.0
0.0100,wor-active,779,0.026882648468017578,0.0
0.0100,wor-active,780,0.028361916542053223,0.0
0.0100,wor-active,781,0.030885934829711914,0.0
0.0100,wor-active,782,0.015903949737548828,0.0
0.0100,wor-active,783,0.030101299285888672,0.0
0.0100,wor-active,784,0.039907097816467285,0.0
0.0100,wor-active,785,0.03899550437927246,0.0
0.0100,wor-active,786,0.03724706172943115,0.0
0.0100,wor-active,787,0.036113739013671875,0.0
0.0100,wor-active,788,0.041149139404296875,0.0
0.0100,wor-active,789,0.02264237403869629,0.0
0.0100,wor-active,790,0.0420536994934082,0.0
0.0100,wor-active,791,0.029456377029418945,0.0
0.0100,wor-active,792,0.015488147735595703,0.0
0.0100,wor-active,793,0.017430543899536133,0.0
0.0100,wor-active,794,0.022838473320007324,0.0
0.0100,wor-active,795,0.02015554904937744,0.0
0.0100,wor-active,796,0.026121854782104492,0.0
0.0100,wor-active,797,0.016461610794067383,0.0
0.0100,wor-active,798,0.039810895919799805,0.0
0.0100,wor-active,799,0.02162933349609375,0.0
0.0100,wor-active,800,0.019819974899291992,0.0
0.0100,wor-active,801,0.013181686401367188,0.0
0.0100,wor-active,802,0.02203202247619629,0.0
