group,prop_budget,method,seed,width,coverage
non-phosphorylated,0.0100,wor-active,333,0.1534845530986786,1.0
non-phosphorylated,0.0100,wor-uniform,333,0.09533505141735077,1.0
non-phosphorylated,0.0100,wor-active,334,0.047399379312992096,0.0
non-phosphorylated,0.0100,wor-uniform,334,0.10347496718168259,1.0
non-phosphorylated,0.0100,wor-active,335,0.20861026644706726,1.0
non-phosphorylated,0.0100,wor-uniform,335,0.12852302193641663,1.0
non-phosphorylated,0.0100,wor-active,336,0.11799229681491852,1.0
non-phosphorylated,0.0100,wor-uniform,336,0.15372896194458008,1.0
non-phosphorylated,0.0100,wor-active,337,0.19959789514541626,1.0
non-phosphorylated,0.0100,wor-uniform,337,0.13951334357261658,1.0
non-phosphorylated,0.0100,wor-active,338,0.08633722364902496,1.0
non-phosphorylated,0.0100,wor-uniform,338,0.10422050952911377,1.0
non-phosphorylated,0.0100,wor-active,339,0.10396133363246918,1.0
non-phosphorylated,0.0100,wor-uniform,339,0.11667990684509277,1.0
non-phosphorylated,0.0100,wor-active,340,0.11512458324432373,1.0
non-phosphorylated,0.0100,wor-uniform,340,0.12418287247419357,1.0
non-phosphorylated,0.0100,wor-active,341,0.059016913175582886,1.0
non-phosphorylated,0.0100,wor-uniform,341,0.0806499570608139,1.0
non-phosphorylated,0.0100,wor-active,342,0.05623580515384674,1.0
non-phosphorylated,0.0100,wor-uniform,342,0.06193485110998154,1.0
non-phosphorylated,0.0100,wor-active,343,0.15852981805801392,1.0
non-phosphorylated,0.0100,wor-uniform,343,0.13608387112617493,1.0
non-phosphorylated,0.0100,wor-active,344,0.04972384124994278,1.0
non-phosphorylated,0.0100,wor-uniform,344,0.06438396871089935,0.0
non-phosphorylated,0.0100,wor-active,345,0.0648748129606247,1.0
non-phosphorylated,0.0100,wor-uniform,345,0.0629144012928009,0.0
non-phosphorylated,0.0100,wor-active,346,0.1846391260623932,1.0
non-phosphorylated,0.0100,wor-uniform,346,0.09057974815368652,1.0
non-phosphorylated,0.0100,wor-active,347,0.13519352674484253,1.0
non-phosphorylated,0.0100,wor-uniform,347,0.14251869916915894,1.0
non-phosphorylated,0.0100,wor-active,348,0.06408250331878662,1.0
non-phosphorylated,0.0100,wor-uniform,348,0.1689787209033966,1.0
non-phosphorylated,0.0100,wor-active,349,0.09199588745832443,1.0
non-phosphorylated,0.0100,wor-uniform,349,0.08804993331432343,1.0
non-phosphorylated,0.0100,wor-active,350,0.07434330880641937,1.0
non-phosphorylated,0.0100,wor-uniform,350,0.13402122259140015,1.0
non-phosphorylated,0.0100,wor-active,351,0.06841398775577545,1.0
non-phosphorylated,0.0100,wor-uniform,351,0.12228766828775406,1.0
non-phosphorylated,0.0100,wor-active,352,0.05413717031478882,1.0
non-phosphorylated,0.0100,wor-uniform,352,0.12735354900360107,1.0
non-phosphorylated,0.0100,wor-active,353,0.12288150191307068,1.0
non-phosphorylated,0.0100,wor-uniform,353,0.16442498564720154,1.0
non-phosphorylated,0.0100,wor-active,354,0.037738949060440063,0.0
non-phosphorylated,0.0100,wor-uniform,354,0.1018124520778656,1.0
non-phosphorylated,0.0100,wor-active,355,0.10656221210956573,1.0
non-phosphorylated,0.0100,wor-uniform,355,0.12499314546585083,1.0
non-phosphorylated,0.0100,wor-active,356,0.10100841522216797,1.0
non-phosphorylated,0.0100,wor-uniform,356,0.10216599702835083,1.0
non-phosphorylated,0.0100,wor-active,357,0.04788579046726227,1.0
non-phosphorylated,0.0100,wor-uniform,357,0.09090939164161682,1.0
non-phosphorylated,0.0100,wor-active,358,0.18015176057815552,1.0
non-phosphorylated,0.0100,wor-uniform,358,0.1141485795378685,1.0
non-phosphorylated,0.0100,wor-active,359,0.05059957504272461,1.0
non-phosphorylated,0.0100,wor-uniform,359,0.1577639877796173,1.0
non-phosphorylated,0.0100,wor-active,360,0.12940186262130737,1.0
non-phosphorylated,0.0100,wor-uniform,360,0.09140193462371826,1.0
non-phosphorylated,0.0100,wor-active,361,0.04899488389492035,1.0
non-phosphorylated,0.0100,wor-uniform,361,0.1574995219707489,1.0
non-phosphorylated,0.0100,wor-active,362,0.05250414460897446,1.0
non-phosphorylated,0.0100,wor-uniform,362,0.1187969446182251,1.0
non-phosphorylated,0.0100,wor-active,363,0.10409810394048691,1.0
non-phosphorylated,0.0100,wor-uniform,363,0.09395580738782883,1.0
non-phosphorylated,0.0100,wor-active,364,0.04924926161766052,1.0
non-phosphorylated,0.0100,wor-uniform,364,0.14570122957229614,1.0
non-phosphorylated,0.0100,wor-active,365,0.07456037402153015,1.0
non-phosphorylated,0.0100,wor-uniform,365,0.08687134832143784,1.0
non-phosphorylated,0.0100,wor-active,366,0.03752747178077698,0.0
non-phosphorylated,0.0100,wor-uniform,366,0.1137995719909668,1.0
non-phosphorylated,0.0100,wor-active,367,0.1232842281460762,1.0
non-phosphorylated,0.0100,wor-uniform,367,0.11248311400413513,1.0
non-phosphorylated,0.0100,wor-active,368,0.046026431024074554,1.0
non-phosphorylated,0.0100,wor-uniform,368,0.12129729986190796,1.0
non-phosphorylated,0.0100,wor-active,369,0.03656892478466034,0.0
non-phosphorylated,0.0100,wor-uniform,369,0.06262987852096558,1.0
non-phosphorylated,0.0100,wor-active,370,0.05668625980615616,1.0
non-phosphorylated,0.0100,wor-uniform,370,0.10526858270168304,1.0
non-phosphorylated,0.0100,wor-active,371,0.048191070556640625,0.0
non-phosphorylated,0.0100,wor-uniform,371,0.1520032286643982,1.0
non-phosphorylated,0.0100,wor-active,372,0.10800525546073914,1.0
non-phosphorylated,0.0100,wor-uniform,372,0.12125731259584427,1.0
non-phosphorylated,0.0100,wor-active,373,0.05934718996286392,1.0
non-phosphorylated,0.0100,wor-uniform,373,0.10882526636123657,1.0
non-phosphorylated,0.0100,wor-active,374,0.12487796694040298,1.0
non-phosphorylated,0.0100,wor-uniform,374,0.12257620692253113,1.0
non-phosphorylated,0.0100,wor-active,375,0.08239376544952393,1.0
non-phosphorylated,0.0100,wor-uniform,375,0.120637908577919,1.0
non-phosphorylated,0.0100,wor-active,376,0.09603878855705261,1.0
non-phosphorylated,0.0100,wor-uniform,376,0.04629203677177429,0.0
non-phosphorylated,0.0100,wor-active,377,0.0,0.0
non-phosphorylated,0.0100,wor-uniform,377,0.1393769383430481,1.0
non-phosphorylated,0.0100,wor-active,378,0.08925095200538635,1.0
non-phosphorylated,0.0100,wor-uniform,378,0.10077574104070663,1.0
non-phosphorylated,0.0100,wor-active,379,0.05105815455317497,0.0
non-phosphorylated,0.0100,wor-uniform,379,0.14229601621627808,1.0
non-phosphorylated,0.0100,wor-active,380,0.08059144020080566,1.0
non-phosphorylated,0.0100,wor-uniform,380,0.07430001348257065,0.0
non-phosphorylated,0.0100,wor-active,381,0.04124991595745087,0.0
non-phosphorylated,0.0100,wor-uniform,381,0.09551186859607697,1.0
non-phosphorylated,0.0100,wor-active,382,0.16286399960517883,1.0
non-phosphorylated,0.0100,wor-uniform,382,0.06715655326843262,1.0
non-phosphorylated,0.0100,wor-active,383,0.15255627036094666,1.0
non-phosphorylated,0.0100,wor-uniform,383,0.10615566372871399,1.0
non-phosphorylated,0.0100,wor-active,384,0.03473680093884468,0.0
non-phosphorylated,0.0100,wor-uniform,384,0.14028948545455933,1.0
non-phosphorylated,0.0100,wor-active,385,0.12990441918373108,1.0
non-phosphorylated,0.0100,wor-uniform,385,0.10491558909416199,1.0
non-phosphorylated,0.0100,wor-active,386,0.05838298052549362,1.0
non-phosphorylated,0.0100,wor-uniform,386,0.09629792720079422,0.0
non-phosphorylated,0.0100,wor-active,387,0.04392797499895096,1.0
non-phosphorylated,0.0100,wor-uniform,387,0.045350804924964905,0.0
non-phosphorylated,0.0100,wor-active,388,0.16696131229400635,1.0
non-phosphorylated,0.0100,wor-uniform,388,0.09071603417396545,1.0
non-phosphorylated,0.0100,wor-active,389,0.17061568796634674,1.0
non-phosphorylated,0.0100,wor-uniform,389,0.14429906010627747,1.0
non-phosphorylated,0.0100,wor-active,390,0.10534670948982239,1.0
non-phosphorylated,0.0100,wor-uniform,390,0.06558457016944885,1.0
non-phosphorylated,0.0100,wor-active,391,0.15978041291236877,1.0
non-phosphorylated,0.0100,wor-uniform,391,0.1440417766571045,1.0
non-phosphorylated,0.0100,wor-active,392,0.08787944912910461,0.0
non-phosphorylated,0.0100,wor-uniform,392,0.12829087674617767,1.0
non-phosphorylated,0.0100,wor-active,393,0.11526749283075333,1.0
non-phosphorylated,0.0100,wor-uniform,393,0.0,0.0
non-phosphorylated,0.0100,wor-active,394,0.05616563558578491,0.0
non-phosphorylated,0.0100,wor-uniform,394,0.10651034116744995,1.0
non-phosphorylated,0.0100,wor-active,395,0.06141984462738037,1.0
non-phosphorylated,0.0100,wor-uniform,395,0.08886273205280304,1.0
non-phosphorylated,0.0100,wor-active,396,0.19616010785102844,1.0
non-phosphorylated,0.0100,wor-uniform,396,0.10566523671150208,1.0
non-phosphorylated,0.0100,wor-active,397,0.0554545521736145,1.0
non-phosphorylated,0.0100,wor-uniform,397,0.16640320420265198,1.0
non-phosphorylated,0.0100,wor-active,398,0.057853445410728455,1.0
non-phosphorylated,0.0100,wor-uniform,398,0.17035254836082458,1.0
non-phosphorylated,0.0100,wor-active,399,0.057838231325149536,1.0
non-phosphorylated,0.0100,wor-uniform,399,0.10393942147493362,1.0
non-phosphorylated,0.0100,wor-active,400,0.053204797208309174,1.0
non-phosphorylated,0.0100,wor-uniform,400,0.0627012550830841,1.0
non-phosphorylated,0.0100,wor-active,401,0.0948718786239624,1.0
non-phosphorylated,0.0100,wor-uniform,401,0.04715966805815697,0.0
non-phosphorylated,0.0100,wor-active,402,0.0472927987575531,1.0
non-phosphorylated,0.0100,wor-uniform,402,0.12486439943313599,1.0
non-phosphorylated,0.0100,wor-active,403,0.06530161201953888,1.0
non-phosphorylated,0.0100,wor-uniform,403,0.0894913375377655,1.0
non-phosphorylated,0.0100,wor-active,404,0.06216508150100708,1.0
non-phosphorylated,0.0100,wor-uniform,404,0.13696789741516113,1.0
non-phosphorylated,0.0100,wor-active,405,0.07273299247026443,1.0
non-phosphorylated,0.0100,wor-uniform,405,0.13158902525901794,1.0
non-phosphorylated,0.0100,wor-active,406,0.05880958214402199,0.0
non-phosphorylated,0.0100,wor-uniform,406,0.10571983456611633,1.0
non-phosphorylated,0.0100,wor-active,407,0.11855942755937576,1.0
non-phosphorylated,0.0100,wor-uniform,407,0.08297857642173767,1.0
non-phosphorylated,0.0100,wor-active,408,0.08165770769119263,1.0
non-phosphorylated,0.0100,wor-uniform,408,0.07106691598892212,1.0
non-phosphorylated,0.0100,wor-active,409,0.1336764395236969,1.0
non-phosphorylated,0.0100,wor-uniform,409,0.11699521541595459,1.0
non-phosphorylated,0.0100,wor-active,410,0.19183166325092316,1.0
non-phosphorylated,0.0100,wor-uniform,410,0.06357748806476593,1.0
non-phosphorylated,0.0100,wor-active,411,0.13061204552650452,1.0
non-phosphorylated,0.0100,wor-uniform,411,0.1080663800239563,1.0
non-phosphorylated,0.0100,wor-active,412,0.05573798716068268,1.0
non-phosphorylated,0.0100,wor-uniform,412,0.09755036234855652,1.0
non-phosphorylated,0.0100,wor-active,413,0.1428987979888916,1.0
non-phosphorylated,0.0100,wor-uniform,413,0.03630802035331726,0.0
non-phosphorylated,0.0100,wor-active,414,0.03787693381309509,0.0
non-phosphorylated,0.0100,wor-uniform,414,0.10622929781675339,1.0
non-phosphorylated,0.0100,wor-active,415,0.14441058039665222,1.0
non-phosphorylated,0.0100,wor-uniform,415,0.18793681263923645,1.0
non-phosphorylated,0.0100,wor-active,416,0.11800575256347656,1.0
non-phosphorylated,0.0100,wor-uniform,416,0.09063618630170822,1.0
non-phosphorylated,0.0100,wor-active,417,0.06474507600069046,1.0
non-phosphorylated,0.0100,wor-uniform,417,0.0875559151172638,1.0
non-phosphorylated,0.0100,wor-active,418,0.06880240887403488,1.0
non-phosphorylated,0.0100,wor-uniform,418,0.14609667658805847,1.0
non-phosphorylated,0.0100,wor-active,419,0.0420045405626297,0.0
non-phosphorylated,0.0100,wor-uniform,419,0.11483528465032578,1.0
non-phosphorylated,0.0100,wor-active,420,0.12075972557067871,1.0
non-phosphorylated,0.0100,wor-uniform,420,0.1190432533621788,1.0
non-phosphorylated,0.0100,wor-active,421,0.048630502074956894,0.0
non-phosphorylated,0.0100,wor-uniform,421,0.11418953537940979,1.0
non-phosphorylated,0.0100,wor-active,422,0.07744588702917099,1.0
non-phosphorylated,0.0100,wor-uniform,422,0.053356021642684937,0.0
non-phosphorylated,0.0100,wor-active,423,0.05156363546848297,0.0
non-phosphorylated,0.0100,wor-uniform,423,0.061362676322460175,1.0
