group,prop_budget,method,seed,width,coverage
non-phosphorylated,0.0100,bernoulli-active,333,0.14890828728675842,1.0
non-phosphorylated,0.0100,bernoulli-active,334,0.05737368017435074,1.0
non-phosphorylated,0.0100,bernoulli-active,335,0.157460018992424,1.0
non-phosphorylated,0.0100,bernoulli-active,336,0.05967307090759277,1.0
non-phosphorylated,0.0100,bernoulli-active,337,0.041669294238090515,0.0
non-phosphorylated,0.0100,bernoulli-active,338,0.14572671055793762,1.0
non-phosphorylated,0.0100,bernoulli-active,339,0.03468184173107147,0.0
non-phosphorylated,0.0100,bernoulli-active,340,0.2147636115550995,1.0
non-phosphorylated,0.0100,bernoulli-active,341,0.04965876042842865,1.0
non-phosphorylated,0.0100,bernoulli-active,342,0.038946494460105896,1.0
non-phosphorylated,0.0100,bernoulli-active,343,0.05746495723724365,0.0
non-phosphorylated,0.0100,bernoulli-active,344,0.04002927243709564,0.0
non-phosphorylated,0.0100,bernoulli-active,345,0.08248984813690186,1.0
non-phosphorylated,0.0100,bernoulli-active,346,0.06395672261714935,1.0
non-phosphorylated,0.0100,bernoulli-active,347,0.055693209171295166,1.0
non-phosphorylated,0.0100,bernoulli-active,348,0.16068553924560547,1.0
non-phosphorylated,0.0100,bernoulli-active,349,0.16647657752037048,1.0
non-phosphorylated,0.0100,bernoulli-active,350,0.1526334285736084,1.0
non-phosphorylated,0.0100,bernoulli-active,351,0.05499491095542908,1.0
non-phosphorylated,0.0100,bernoulli-active,352,0.12876790761947632,1.0
non-phosphorylated,0.0100,bernoulli-active,353,0.06761875748634338,1.0
non-phosphorylated,0.0100,bernoulli-active,354,0.2275521457195282,1.0
non-phosphorylated,0.0100,bernoulli-active,355,0.0342019647359848,1.0
non-phosphorylated,0.0100,bernoulli-active,356,0.09950415790081024,1.0
non-phosphorylated,0.0100,bernoulli-active,357,0.05061349272727966,0.0
non-phosphorylated,0.0100,bernoulli-active,358,0.05401796102523804,0.0
non-phosphorylated,0.0100,bernoulli-active,359,0.10649001598358154,1.0
non-phosphorylated,0.0100,bernoulli-active,360,0.13857147097587585,1.0
non-phosphorylated,0.0100,bernoulli-active,361,0.05541352927684784,1.0
non-phosphorylated,0.0100,bernoulli-active,362,0.055881842970848083,1.0
non-phosphorylated,0.0100,bernoulli-active,363,0.049857109785079956,0.0
non-phosphorylated,0.0100,bernoulli-active,364,0.0492444783449173,1.0
non-phosphorylated,0.0100,bernoulli-active,365,0.09094521403312683,1.0
non-phosphorylated,0.0100,bernoulli-active,366,0.08713144063949585,1.0
non-phosphorylated,0.0100,bernoulli-active,367,0.046342313289642334,0.0
non-phosphorylated,0.0100,bernoulli-active,368,0.041942298412323,0.0
non-phosphorylated,0.0100,bernoulli-active,369,0.1683482825756073,1.0
non-phosphorylated,0.0100,bernoulli-active,370,0.05318473279476166,0.0
non-phosphorylated,0.0100,bernoulli-active,371,0.16087386012077332,1.0
non-phosphorylated,0.0100,bernoulli-active,372,0.16895800828933716,1.0
non-phosphorylated,0.0100,bernoulli-active,373,0.05169209837913513,0.0
non-phosphorylated,0.0100,bernoulli-active,374,0.06357523798942566,1.0
non-phosphorylated,0.0100,bernoulli-active,375,0.06205171346664429,1.0
non-phosphorylated,0.0100,bernoulli-active,376,0.14880836009979248,1.0
non-phosphorylated,0.0100,bernoulli-active,377,0.057851120829582214,1.0
non-phosphorylated,0.0100,bernoulli-active,378,0.06042293831706047,1.0
non-phosphorylated,0.0100,bernoulli-active,379,0.14567720890045166,1.0
non-phosphorylated,0.0100,bernoulli-active,380,0.0611034631729126,1.0
non-phosphorylated,0.0100,bernoulli-active,381,0.11745231598615646,1.0
non-phosphorylated,0.0100,bernoulli-active,382,0.05052611231803894,1.0
non-phosphorylated,0.0100,bernoulli-active,383,0.03765062987804413,0.0
non-phosphorylated,0.0100,bernoulli-active,384,0.15385371446609497,1.0
non-phosphorylated,0.0100,bernoulli-active,385,0.060910627245903015,1.0
non-phosphorylated,0.0100,bernoulli-active,386,0.06335309147834778,1.0
non-phosphorylated,0.0100,bernoulli-active,387,0.05273997411131859,0.0
non-phosphorylated,0.0100,bernoulli-active,388,0.10649735480546951,1.0
non-phosphorylated,0.0100,bernoulli-active,389,0.06154070049524307,1.0
non-phosphorylated,0.0100,bernoulli-active,390,0.07306694984436035,1.0
non-phosphorylated,0.0100,bernoulli-active,391,0.04931320250034332,1.0
non-phosphorylated,0.0100,bernoulli-active,392,0.06032060831785202,1.0
non-phosphorylated,0.0100,bernoulli-active,393,0.11737268418073654,1.0
non-phosphorylated,0.0100,bernoulli-active,394,0.12025478482246399,1.0
non-phosphorylated,0.0100,bernoulli-active,395,0.09022626280784607,1.0
non-phosphorylated,0.0100,bernoulli-active,396,0.050585150718688965,1.0
non-phosphorylated,0.0100,bernoulli-active,397,0.10666203498840332,1.0
non-phosphorylated,0.0100,bernoulli-active,398,0.14489781856536865,1.0
non-phosphorylated,0.0100,bernoulli-active,399,0.044509321451187134,1.0
non-phosphorylated,0.0100,bernoulli-active,400,0.12860164046287537,1.0
non-phosphorylated,0.0100,bernoulli-active,401,0.045156627893447876,0.0
non-phosphorylated,0.0100,bernoulli-active,402,0.13530859351158142,1.0
non-phosphorylated,0.0100,bernoulli-active,403,0.04851904511451721,0.0
non-phosphorylated,0.0100,bernoulli-active,404,0.16431984305381775,1.0
non-phosphorylated,0.0100,bernoulli-active,405,0.09025301039218903,1.0
non-phosphorylated,0.0100,bernoulli-active,406,0.066606305539608,1.0
non-phosphorylated,0.0100,bernoulli-active,407,0.20162153244018555,1.0
non-phosphorylated,0.0100,bernoulli-active,408,0.06604720652103424,1.0
non-phosphorylated,0.0100,bernoulli-active,409,0.05671807378530502,1.0
non-phosphorylated,0.0100,bernoulli-active,410,0.061937153339385986,1.0
non-phosphorylated,0.0100,bernoulli-active,411,0.23815110325813293,1.0
non-phosphorylated,0.0100,bernoulli-active,412,0.051840946078300476,1.0
non-phosphorylated,0.0100,bernoulli-active,413,0.0927533507347107,1.0
non-phosphorylated,0.0100,bernoulli-active,414,0.1602778434753418,1.0
non-phosphorylated,0.0100,bernoulli-active,415,0.032834768295288086,0.0
non-phosphorylated,0.0100,bernoulli-active,416,0.06003245711326599,1.0
non-phosphorylated,0.0100,bernoulli-active,417,0.04818002134561539,1.0
non-phosphorylated,0.0100,bernoulli-active,418,0.04265598952770233,1.0
non-phosphorylated,0.0100,bernoulli-active,419,0.04708355665206909,0.0
non-phosphorylated,0.0100,bernoulli-active,420,0.04709047079086304,0.0
non-phosphorylated,0.0100,bernoulli-active,421,0.036129117012023926,0.0
non-phosphorylated,0.0100,bernoulli-active,422,0.21069760620594025,1.0
non-phosphorylated,0.0100,bernoulli-active,423,0.05161669850349426,1.0
non-phosphorylated,0.0100,bernoulli-active,424,0.05256354808807373,1.0
non-phosphorylated,0.0100,bernoulli-active,425,0.1999763697385788,1.0
non-phosphorylated,0.0100,bernoulli-active,426,0.049187153577804565,1.0
non-phosphorylated,0.0100,bernoulli-active,427,0.0694613978266716,1.0
non-phosphorylated,0.0100,bernoulli-active,428,0.06502987444400787,1.0
non-phosphorylated,0.0100,bernoulli-active,429,0.138981431722641,1.0
non-phosphorylated,0.0100,bernoulli-active,430,0.058080434799194336,1.0
non-phosphorylated,0.0100,bernoulli-active,431,0.1284995973110199,1.0
non-phosphorylated,0.0100,bernoulli-active,432,0.050375476479530334,1.0
non-phosphorylated,0.0100,bernoulli-active,433,0.13293644785881042,1.0
non-phosphorylated,0.0100,bernoulli-active,434,0.064249187707901,1.0
non-phosphorylated,0.0100,bernoulli-active,435,0.12010278552770615,1.0
non-phosphorylated,0.0100,bernoulli-active,436,0.2062918245792389,1.0
non-phosphorylated,0.0100,bernoulli-active,437,0.05420145392417908,1.0
non-phosphorylated,0.0100,bernoulli-active,438,0.052260130643844604,1.0
non-phosphorylated,0.0100,bernoulli-active,439,0.1593281626701355,1.0
non-phosphorylated,0.0100,bernoulli-active,440,0.1766919195652008,1.0
non-phosphorylated,0.0100,bernoulli-active,441,0.22787955403327942,1.0
non-phosphorylated,0.0100,bernoulli-active,442,0.14644482731819153,1.0
non-phosphorylated,0.0100,bernoulli-active,443,0.10541632771492004,1.0
non-phosphorylated,0.0100,bernoulli-active,444,0.180482417345047,1.0
non-phosphorylated,0.0100,bernoulli-active,445,0.11630257964134216,1.0
non-phosphorylated,0.0100,bernoulli-active,446,0.15793009102344513,1.0
non-phosphorylated,0.0100,bernoulli-active,447,0.09461727738380432,1.0
non-phosphorylated,0.0100,bernoulli-active,448,0.16017602384090424,1.0
non-phosphorylated,0.0100,bernoulli-active,449,0.04499620199203491,1.0
non-phosphorylated,0.0100,bernoulli-active,450,0.15357652306556702,1.0
non-phosphorylated,0.0100,bernoulli-active,451,0.13592016696929932,1.0
non-phosphorylated,0.0100,bernoulli-active,452,0.06385806202888489,1.0
non-phosphorylated,0.0100,bernoulli-active,453,0.047763675451278687,0.0
non-phosphorylated,0.0100,bernoulli-active,454,0.057033032178878784,1.0
non-phosphorylated,0.0100,bernoulli-active,455,0.0407177209854126,1.0
non-phosphorylated,0.0100,bernoulli-active,456,0.16323494911193848,1.0
non-phosphorylated,0.0100,bernoulli-active,457,0.05075095593929291,1.0
non-phosphorylated,0.0100,bernoulli-active,458,0.08588245511054993,1.0
non-phosphorylated,0.0100,bernoulli-active,459,0.1592956781387329,1.0
non-phosphorylated,0.0100,bernoulli-active,460,0.08515558391809464,1.0
non-phosphorylated,0.0100,bernoulli-active,461,0.15952658653259277,1.0
non-phosphorylated,0.0100,bernoulli-active,462,0.057612136006355286,1.0
non-phosphorylated,0.0100,bernoulli-active,463,0.06923197209835052,1.0
non-phosphorylated,0.0100,bernoulli-active,464,0.057968251407146454,1.0
non-phosphorylated,0.0100,bernoulli-active,465,0.16160714626312256,1.0
non-phosphorylated,0.0100,bernoulli-active,466,0.050662338733673096,1.0
non-phosphorylated,0.0100,bernoulli-active,467,0.14681681990623474,1.0
non-phosphorylated,0.0100,bernoulli-active,468,0.05515887588262558,1.0
non-phosphorylated,0.0100,bernoulli-active,469,0.11562606692314148,1.0
non-phosphorylated,0.0100,bernoulli-active,470,0.05001711845397949,1.0
non-phosphorylated,0.0100,bernoulli-active,471,0.1714358925819397,1.0
non-phosphorylated,0.0100,bernoulli-active,472,0.14903059601783752,1.0
non-phosphorylated,0.0100,bernoulli-active,473,0.14415520429611206,1.0
non-phosphorylated,0.0100,bernoulli-active,474,0.0391998291015625,0.0
non-phosphorylated,0.0100,bernoulli-active,475,0.06990906596183777,1.0
non-phosphorylated,0.0100,bernoulli-active,476,0.059284888207912445,1.0
non-phosphorylated,0.0100,bernoulli-active,477,0.04540275037288666,1.0
non-phosphorylated,0.0100,bernoulli-active,478,0.14493092894554138,1.0
non-phosphorylated,0.0100,bernoulli-active,479,0.13173159956932068,1.0
non-phosphorylated,0.0100,bernoulli-active,480,0.13750526309013367,1.0
non-phosphorylated,0.0100,bernoulli-active,481,0.10799410939216614,1.0
non-phosphorylated,0.0100,bernoulli-active,482,0.0463029146194458,0.0
non-phosphorylated,0.0100,bernoulli-active,483,0.03574664890766144,0.0
non-phosphorylated,0.0100,bernoulli-active,484,0.13352680206298828,1.0
non-phosphorylated,0.0100,bernoulli-active,485,0.16031557321548462,1.0
non-phosphorylated,0.0100,bernoulli-active,486,0.0573449581861496,1.0
non-phosphorylated,0.0100,bernoulli-active,487,0.05314666032791138,0.0
non-phosphorylated,0.0100,bernoulli-active,488,0.1687469482421875,1.0
non-phosphorylated,0.0100,bernoulli-active,489,0.06866040825843811,1.0
non-phosphorylated,0.0100,bernoulli-active,490,0.11573494970798492,1.0
non-phosphorylated,0.0100,bernoulli-active,491,0.18828965723514557,1.0
non-phosphorylated,0.0100,bernoulli-active,492,0.06656453758478165,1.0
non-phosphorylated,0.0100,bernoulli-active,493,0.08285726606845856,1.0
non-phosphorylated,0.0100,bernoulli-active,494,0.05769339203834534,1.0
non-phosphorylated,0.0100,bernoulli-active,495,0.13868314027786255,1.0
non-phosphorylated,0.0100,bernoulli-active,496,0.04775640368461609,1.0
non-phosphorylated,0.0100,bernoulli-active,497,0.143781840801239,1.0
