group,prop_budget,method,ess_multiplier,ess_multiplier_serr,ess_multiplier_vs_classical,ess_multiplier_vs_classical_serr,coverage,coverage_serr,mean_width,mean_width_serr
non-phosphorylated,0.01,bernoulli-active,2.9605851489742743,0.10799632264561598,8.517559531392033,0.27085971580919005,0.83,0.011884495834541793,0.09645724484324451,0.0016403337097114592
non-phosphorylated,0.01,bernoulli-uniform,1.5586483333831294,0.08124505546065154,4.5090102971273165,0.2086492372461549,0.895,0.00969892102602496,0.11267449909076091,0.0010254487473067109
non-phosphorylated,0.01,classical,inf,,1.0,0.0,0.914,0.008870325962594761,0.19076876203715798,0.0013121975743416517
non-phosphorylated,0.01,wor-active,inf,,inf,,0.792,0.01284137457209706,0.09234505844861264,0.0016598906638065794
non-phosphorylated,0.01,wor-uniform,1.0,0.0,inf,,0.868,0.010709373963527967,0.10916163551434871,0.0010760150304900222
non-phosphorylated,0.02,bernoulli-active,1.948905480539531,0.06155613390151095,5.717972281301061,0.1704219690472468,0.85,0.011297239823409416,0.07352303873747583,0.0008559226135861726
non-phosphorylated,0.02,bernoulli-uniform,1.0564790984366736,0.021986549355457987,3.080002125632077,0.054597150424849,0.943,0.007335175853706906,0.08382338386774059,0.0005013946028405342
non-phosphorylated,0.02,classical,0.38369229422430495,0.0076170696863983615,1.0,0.0,0.931,0.008018934050315124,0.13696567893773315,0.0006453902541535503
non-phosphorylated,0.02,wor-active,inf,,inf,,0.852,0.011234866364235145,0.06852094238623972,0.000857540380090503
non-phosphorylated,0.02,wor-uniform,1.0,0.0,3.6380676505186598,0.08757751458711494,0.915,0.008823426366942316,0.07937194560095663,0.0005185369657883824
non-phosphorylated,0.03,bernoulli-active,1.5658371935665774,0.040795266042555636,4.501969969602409,0.10867790660182941,0.915,0.008823426366942316,0.06142402169853445,0.0005616616667184659
non-phosphorylated,0.03,bernoulli-uniform,0.9631955475836221,0.014017378918778361,2.8209887463067775,0.03823629619815805,0.95,0.006895472974897919,0.06975819572061295,0.0003275641174512822
non-phosphorylated,0.03,classical,0.36832126297738427,0.005166778086229624,1.0,0.0,0.944,0.007274401481697099,0.1120350608490407,0.0004371419981419571
non-phosphorylated,0.03,wor-active,inf,,inf,,0.885,0.010093407594904551,0.05743338245153423,0.0005826113775134735
non-phosphorylated,0.03,wor-uniform,1.0,0.0,3.2736176051271126,0.05342684381182304,0.926,0.0082820645127041,0.06535695219039912,0.00032571718955484675
non-phosphorylated,0.04,bernoulli-active,1.3560263182687895,0.028975447347236453,3.913394484348272,0.08271093646167636,0.924,0.008384169266796462,0.055014944240450815,0.00043753096992141705
non-phosphorylated,0.04,bernoulli-uniform,0.9445557403713146,0.011321638233802061,2.721699173349591,0.032483393666494394,0.948,0.00702462421381709,0.060700624391436524,0.00023900323123767392
non-phosphorylated,0.04,classical,0.3658172002040772,0.003922151070765575,1.0,0.0,0.946,0.007150883521295473,0.0968376730456948,0.00032159390527309315
non-phosphorylated,0.04,wor-active,1.7189188477714419,0.04410343153143635,4.930844115182367,0.12158455328148586,0.899,0.009533618929341044,0.05026347298175092,0.00043129630274967224
non-phosphorylated,0.04,wor-uniform,1.0,0.0,3.081051374576774,0.03704051490675429,0.928,0.008178195576218687,0.05706351444870229,0.00022994891191672082
non-phosphorylated,0.05,bernoulli-active,1.2513492443639456,0.02281065602862546,3.614632580160052,0.062866450557819,0.931,0.008018934050315124,0.049427416540682265,0.00033734619595599886
non-phosphorylated,0.05,bernoulli-uniform,0.8992044123730912,0.009609405795216467,2.615265199619601,0.02657695503391523,0.962,0.0060491811505849775,0.054904266662895634,0.0001970273502494357
non-phosphorylated,0.05,classical,0.3576963450636322,0.003470949303782716,1.0,0.0,0.95,0.006895472974897919,0.08651459018141026,0.00025639251296168087
non-phosphorylated,0.05,wor-active,1.5604298763700224,0.03474232423180962,4.510337794166378,0.09870061504864858,0.911,0.009008893392651516,0.045435175791382745,0.0003434204660943266
non-phosphorylated,0.05,wor-uniform,1.0,0.0,3.067359606294477,0.03114353802924148,0.942,0.0073953154557929906,0.05070418193563814,0.00018888831858321413
non-phosphorylated,0.06,bernoulli-active,1.2124245139979462,0.019860644004680846,3.4909304965554493,0.05231208689190954,0.93,0.008072494358323525,0.0452468905895948,0.0002831122619646988
non-phosphorylated,0.06,bernoulli-uniform,0.8866589500729042,0.008663361989201052,2.563399595285126,0.021602144641832154,0.963,0.005972157622389639,0.05031892061233516,0.00015891050644224538
non-phosphorylated,0.06,classical,0.3545468194008259,0.0030075181749243613,1.0,0.0,0.951,0.006829761756140959,0.07909364672005172,0.00020212143531286303
non-phosphorylated,0.06,wor-active,1.6154525779930147,0.0565104822459715,4.6634638817243275,0.15480123571708423,0.909,0.009099549538400337,0.04112131873518224,0.0003012111026985043
non-phosphorylated,0.06,wor-uniform,1.0,0.0,3.0366895790021844,0.027407595911598668,0.934,0.007855297938697534,0.0463652418851852,0.00015566297256661555
non-phosphorylated,0.07,bernoulli-active,1.1263275761399831,0.015612776776167911,3.252119969936847,0.0437516029705185,0.946,0.007150883521295472,0.04283263138681646,0.00023491120460090203
non-phosphorylated,0.07,bernoulli-uniform,0.8673167339334585,0.0073688540998169275,2.507722040027808,0.01961147018991987,0.969,0.005483527064679181,0.04705673567205663,0.00013186390435459148
non-phosphorylated,0.07,classical,0.3548764626444088,0.0028210684059984444,1.0,0.0,0.945,0.0072129762946392005,0.0733677350915968,0.00017977943223115224
non-phosphorylated,0.07,wor-active,1.4994098905846445,0.028314866884168028,4.306743716421037,0.07292368720087682,0.931,0.008018934050315124,0.03799066824465985,0.00023826167328892963
non-phosphorylated,0.07,wor-uniform,1.0,0.0,2.996282084517889,0.024058622628142623,0.946,0.007150883521295473,0.04311161474138493,0.0001301035671845993
