group,prop_budget,method,seed,width,coverage
all,0.0100,cross-ppi,333,0.08152269785769317,1.0
all,0.0100,cross-ppi,334,0.09012429163154512,1.0
all,0.0100,cross-ppi,335,0.09598864532414322,1.0
all,0.0100,cross-ppi,336,0.07862615419129837,1.0
all,0.0100,cross-ppi,337,0.07970890523083238,1.0
all,0.0100,cross-ppi,338,0.09450960851585233,1.0
all,0.0100,cross-ppi,339,0.09607570059520529,1.0
all,0.0100,cross-ppi,340,0.10061656017667353,1.0
all,0.0100,cross-ppi,341,0.09968473753756299,1.0
all,0.0100,cross-ppi,342,0.08049046619267172,1.0
all,0.0100,cross-ppi,343,0.07873890838023581,1.0
all,0.0100,cross-ppi,344,0.09298670264344297,1.0
all,0.0100,cross-ppi,345,0.10538093005418323,1.0
all,0.0100,cross-ppi,346,0.08838381461394806,0.0
all,0.0100,cross-ppi,347,0.08866456864824057,1.0
all,0.0100,cross-ppi,348,0.09927504881475091,1.0
all,0.0100,cross-ppi,349,0.08397706085160694,1.0
all,0.0100,cross-ppi,350,0.09564837389616099,1.0
all,0.0100,cross-ppi,351,0.07821473586174066,1.0
all,0.0100,cross-ppi,352,0.09699856972826226,1.0
all,0.0100,cross-ppi,353,0.08561747803916,1.0
all,0.0100,cross-ppi,354,0.0904132118225015,1.0
all,0.0100,cross-ppi,355,0.0966650706407266,1.0
all,0.0100,cross-ppi,356,0.09312774952918224,1.0
all,0.0100,cross-ppi,357,0.09201576830348235,1.0
all,0.0100,cross-ppi,358,0.0837699337357661,1.0
all,0.0100,cross-ppi,359,0.10030287818449227,1.0
all,0.0100,cross-ppi,360,0.09857231035999159,1.0
all,0.0100,cross-ppi,361,0.08672146836802419,1.0
all,0.0100,cross-ppi,362,0.08534436118471153,1.0
all,0.0100,cross-ppi,363,0.0728645298307796,1.0
all,0.0100,cross-ppi,364,0.09237572160184304,0.0
all,0.0100,cross-ppi,365,0.07732619692519252,1.0
all,0.0100,cross-ppi,366,0.09127394365731323,1.0
all,0.0100,cross-ppi,367,0.09032838085224248,1.0
all,0.0100,cross-ppi,368,0.08760334766208189,1.0
all,0.0100,cross-ppi,369,0.07148661130085379,1.0
all,0.0100,cross-ppi,370,0.09592994451278891,1.0
all,0.0100,cross-ppi,371,0.09800495178627755,1.0
all,0.0100,cross-ppi,372,0.09156696791661698,1.0
all,0.0100,cross-ppi,373,0.07475565543387039,1.0
all,0.0100,cross-ppi,374,0.08301917059967859,1.0
all,0.0100,cross-ppi,375,0.09785526754490592,1.0
all,0.0100,cross-ppi,376,0.0812827687027361,1.0
all,0.0100,cross-ppi,377,0.08597623646512886,1.0
all,0.0100,cross-ppi,378,0.08217437643466885,1.0
all,0.0100,cross-ppi,379,0.08184581426089721,1.0
all,0.0100,cross-ppi,380,0.0822673816315043,1.0
all,0.0100,cross-ppi,381,0.08534426490807667,1.0
all,0.0100,cross-ppi,382,0.08843202327027455,1.0
all,0.0100,cross-ppi,383,0.08000886106715266,1.0
all,0.0100,cross-ppi,384,0.09390059761919342,1.0
all,0.0100,cross-ppi,385,0.08387854250214025,1.0
all,0.0100,cross-ppi,386,0.09097138781007011,1.0
all,0.0100,cross-ppi,387,0.09195152483674107,1.0
all,0.0100,cross-ppi,388,0.08619101016005612,1.0
all,0.0100,cross-ppi,389,0.08811850722579317,1.0
all,0.0100,cross-ppi,390,0.08380458202674793,1.0
all,0.0100,cross-ppi,391,0.06925829007161477,1.0
all,0.0100,cross-ppi,392,0.08118061580474267,1.0
all,0.0100,cross-ppi,393,0.09166519519792005,1.0
all,0.0100,cross-ppi,394,0.09815385391951603,1.0
all,0.0100,cross-ppi,395,0.09550238974443581,1.0
all,0.0100,cross-ppi,396,0.06535685576272143,0.0
all,0.0100,cross-ppi,397,0.10529665693587817,1.0
all,0.0100,cross-ppi,398,0.08819714166995918,1.0
all,0.0100,cross-ppi,399,0.09573544846681117,1.0
all,0.0100,cross-ppi,400,0.08525112957453163,1.0
all,0.0100,cross-ppi,401,0.0886211058604153,1.0
all,0.0100,cross-ppi,402,0.08886455701424267,1.0
all,0.0100,cross-ppi,403,0.09099221130550236,1.0
all,0.0100,cross-ppi,404,0.08536661432042048,1.0
all,0.0100,cross-ppi,405,0.08774396232226256,1.0
all,0.0100,cross-ppi,406,0.09599897861670537,1.0
all,0.0100,cross-ppi,407,0.08712511257983291,1.0
all,0.0100,cross-ppi,408,0.08730445393845787,1.0
