group,prop_budget,method,ess_multiplier,ess_multiplier_serr,ess_multiplier_vs_classical,ess_multiplier_vs_classical_serr,coverage,coverage_serr,mean_width,mean_width_serr
all,0.01,bernoulli-active,1.2887832419724203,0.014851491007110761,3.9587265417795705,0.04381841219473713,0.944,0.007274401481697098,0.07980335159599777,0.00037575250865696613
all,0.01,bernoulli-uniform,0.9793775960357706,0.007877364734879528,3.0120567289025533,0.0229160858066386,0.953,0.006695956678163012,0.08956743019819255,0.0002562609292146231
all,0.01,classical,0.3329218918472676,0.0024300892939735064,1.0,0.0,0.946,0.007150883521295472,0.15305055009573695,0.00036064779734462497
all,0.01,cross-ppi,0.9844049011772077,0.007872415954122178,3.027921771210274,0.02316023306983289,0.956,0.0064889217984273875,0.08926982614539482,0.00024276035970779487
all,0.01,wor-active,1.3498119191503912,0.015380553781460497,4.159088861644198,0.04709644178674499,0.942,0.0073953154557929906,0.07794508761167522,0.0003706783659212767
all,0.01,wor-uniform,1.0,0.0,3.1703525205352183,0.024333691739931416,0.927,0.008230354715243976,0.08722601555287833,0.0002374681765083756
all,0.02,bernoulli-active,1.196526545192398,0.009396960881948618,3.6908317665890413,0.028350421803229962,0.948,0.00702462421381709,0.05761149957776065,0.0001900813075752165
all,0.02,bernoulli-uniform,0.9642459661867615,0.005299315302711282,2.9769186580683695,0.01589551554520482,0.954,0.006627814717380679,0.06349062012135978,0.00012790348196396934
all,0.02,classical,0.32800806709505204,0.001698222290219008,1.0,0.0,0.942,0.0073953154557929906,0.10870524477958675,0.00018292868334194884
all,0.02,cross-ppi,0.9530699287804099,0.005212644606052502,2.9411498566000893,0.015516562802784921,0.949,0.006960420062571471,0.06384578305335949,0.00012025820602630868
all,0.02,wor-active,1.2883378921123785,0.009847061718916968,3.967417563741787,0.028673881202415805,0.948,0.00702462421381709,0.05548340405523772,0.00017846996844073684
all,0.02,wor-uniform,1.0,0.0,3.1324290551346756,0.01666968536484501,0.942,0.0073953154557929906,0.06186782808601852,0.00011841246970794133
all,0.03,bernoulli-active,1.151858111432369,0.007085649173639232,3.56762635741023,0.021578701793438404,0.959,0.006273624021118764,0.047461339831352194,0.0001228666931994679
all,0.03,bernoulli-uniform,0.9367683800293449,0.0042889387503761076,2.8983102217153496,0.012126317792190118,0.962,0.0060491811505849775,0.05230702337622638,8.217313281784768e-05
all,0.03,classical,0.32559937193036037,0.0013902739212351193,1.0,0.0,0.952,0.006763264133666652,0.08863596063852304,0.00012074453358696828
all,0.03,cross-ppi,0.9294842840717427,0.004092529913866458,2.879436313345865,0.01237579372625142,0.959,0.006273624021118764,0.05248884015113462,8.228916034544226e-05
all,0.03,wor-active,1.2788082100091918,0.008377478546941475,3.955168412172957,0.02464112541073888,0.947,0.007088105617246489,0.0451185023039579,0.00012356569946290116
