group,prop_budget,method,seed,width,coverage
all,0.0100,wor-active,666,0.07084828615188599,1.0
all,0.0100,wor-uniform,666,0.08881264925003052,1.0
all,0.0100,wor-active,667,0.08849479258060455,1.0
all,0.0100,wor-uniform,667,0.09096932411193848,1.0
all,0.0100,wor-active,668,0.101673424243927,1.0
all,0.0100,wor-uniform,668,0.0829392522573471,1.0
all,0.0100,wor-active,669,0.07652056217193604,1.0
all,0.0100,wor-uniform,669,0.07727895677089691,1.0
all,0.0100,wor-active,670,0.0934559553861618,1.0
all,0.0100,wor-uniform,670,0.10309988260269165,1.0
all,0.0100,wor-active,671,0.07364124059677124,1.0
all,0.0100,wor-uniform,671,0.08115100860595703,0.0
all,0.0100,wor-active,672,0.07555632293224335,1.0
all,0.0100,wor-uniform,672,0.09195798635482788,0.0
all,0.0100,wor-active,673,0.07598847150802612,1.0
all,0.0100,wor-uniform,673,0.09335888922214508,1.0
all,0.0100,wor-active,674,0.08934636414051056,1.0
all,0.0100,wor-uniform,674,0.08324891328811646,0.0
all,0.0100,wor-active,675,0.08094733953475952,1.0
all,0.0100,wor-uniform,675,0.07613569498062134,1.0
all,0.0100,wor-active,676,0.08471429347991943,1.0
all,0.0100,wor-uniform,676,0.09970863163471222,1.0
all,0.0100,wor-active,677,0.0782397985458374,1.0
all,0.0100,wor-uniform,677,0.08789336681365967,1.0
all,0.0100,wor-active,678,0.07336962223052979,1.0
all,0.0100,wor-uniform,678,0.08282244205474854,1.0
all,0.0100,wor-active,679,0.08895315229892731,1.0
all,0.0100,wor-uniform,679,0.0874142050743103,1.0
all,0.0100,wor-active,680,0.0768880844116211,1.0
all,0.0100,wor-uniform,680,0.09698361158370972,1.0
all,0.0100,wor-active,681,0.10594095289707184,1.0
all,0.0100,wor-uniform,681,0.0771593451499939,1.0
all,0.0100,wor-active,682,0.06289036571979523,1.0
all,0.0100,wor-uniform,682,0.08421184122562408,1.0
all,0.0100,wor-active,683,0.08847545087337494,1.0
all,0.0100,wor-uniform,683,0.09233921766281128,1.0
all,0.0100,wor-active,684,0.08008484542369843,1.0
all,0.0100,wor-uniform,684,0.09006571769714355,1.0
