group,prop_budget,method,ess_multiplier,ess_multiplier_serr,ess_multiplier_vs_classical,ess_multiplier_vs_classical_serr,coverage,coverage_serr,mean_width,mean_width_serr
all,0.01,bernoulli-active,,,9.840508472187121,0.12431586036085333,0.959,0.006273624021118765,0.13988370537757872,0.0008239888021532512
all,0.01,bernoulli-uniform,,,7.321563782102613,0.07485864495950607,0.947,0.007088105617246489,0.15833400657773014,0.0006515105029617035
all,0.01,classical,,,1.0,0.0,0.943,0.007335175853706906,0.41593424275517465,0.0009883410915058235
all,0.02,bernoulli-active,,,8.753938943471173,0.07836094775358818,0.959,0.006273624021118764,0.10183166074752803,0.0004264766619007564
all,0.02,bernoulli-uniform,,,6.88100040930508,0.04508480294584272,0.963,0.005972157622389639,0.11330221450328823,0.00032195529744783607
all,0.02,classical,,,1.0,0.0,0.95,0.006895472974897919,0.2933097428381443,0.00048621156652288856
all,0.03,bernoulli-active,,,8.378690256585408,0.05816941941841285,0.955,0.006558812241406064,0.08385457336902614,0.0002663633080715309
all,0.03,bernoulli-uniform,,,6.653170842445623,0.03664842309591141,0.944,0.007274401481697097,0.09345358550548549,0.00021335039911569452
all,0.03,classical,,,1.0,0.0,0.948,0.007024624213817089,0.23887132421135898,0.0003132241022020587
all,0.04,bernoulli-active,,,8.169570854134259,0.04729475948266377,0.959,0.006273624021118764,0.07284497225284572,0.00019661745828956461
all,0.04,bernoulli-uniform,,,6.483398638531373,0.02898553042664916,0.959,0.006273624021118765,0.08134484672546383,0.00015410874125512485
all,0.04,classical,,,1.0,0.0,0.952,0.006763264133666652,0.20587162929773328,0.00023270102093110104
all,0.05,bernoulli-active,,,7.970494184023243,0.04357058257384414,0.96,0.006199874066337029,0.06573652899265285,0.0001658599177350512
all,0.05,bernoulli-uniform,,,6.3592663407194925,0.025308602487933724,0.962,0.0060491811505849775,0.07320864093303676,0.0001229686642124443
all,0.05,classical,,,1.0,0.0,0.963,0.005972157622389639,0.18372539392113682,0.00017750027767328628
all,0.06,bernoulli-active,,,7.735885092558963,0.03558408095615226,0.962,0.0060491811505849775,0.060467568397521924,0.00012806311841737992
all,0.06,bernoulli-uniform,,,6.238070734305652,0.022212821093868337,0.965,0.005814534272734904,0.06711613929271694,0.00010097803122096797
all,0.06,classical,,,1.0,0.0,0.943,0.007335175853706906,0.1669911751747131,0.0001532689374625607
all,0.07,bernoulli-active,,,7.565250606490337,0.031246367542428384,0.972,0.005219506034410081,0.056286320567131,0.000109441346961972
all,0.07,bernoulli-uniform,,,6.10814439211332,0.019452043712885655,0.966,0.0057338361396953854,0.06247683429718014,8.550333097993827e-05
all,0.07,classical,,,1.0,0.0,0.95,0.006895472974897919,0.15392743730545042,0.00012419255004406647
all,0.08,bernoulli-active,,,7.427306137288726,0.028462718354618586,0.966,0.0057338361396953854,0.05287449538707728,9.304186605259815e-05
all,0.08,bernoulli-uniform,,,6.00128095230939,0.017840870526143485,0.958,0.006346359293033785,0.058694443106651256,7.529591686631633e-05
all,0.08,classical,,,1.0,0.0,0.956,0.0064889217984273875,0.14339404189586635,0.00010945040844638115
all,0.09,bernoulli-active,,,7.269280540444101,0.026293694193588027,0.977,0.004742730594656784,0.05026685035228724,8.250945197039697e-05
all,0.09,bernoulli-uniform,,,5.908578009443922,0.01593126372922362,0.966,0.0057338361396953854,0.055636353015899614,6.38308518019991e-05
all,0.09,classical,,,1.0,0.0,0.953,0.006695956678163012,0.13493971490859982,9.445928155164625e-05
all,0.1,bernoulli-active,,,7.162801279027135,0.024043570475876637,0.974,0.005034813735318254,0.04780448746681209,7.454224128526518e-05
all,0.1,bernoulli-uniform,,,5.7938503527018055,0.014564661610160392,0.967,0.005651808820452346,0.05305370378494258,5.6384096046267315e-05
all,0.1,classical,,,1.0,0.0,0.947,0.007088105617246489,0.12745924711227413,8.663694102040556e-05
all,0.11,bernoulli-active,,,6.981842120418845,0.021318869458130413,0.977,0.004742730594656784,0.0459674305915832,6.385947422727128e-05
all,0.11,bernoulli-uniform,,,5.700278471819244,0.014031062216282033,0.972,0.00521950603441008,0.05081040501594539,5.1925012409989935e-05
all,0.11,classical,,,1.0,0.0,0.941,0.007454835650406692,0.12109020090103145,7.794036656420377e-05
all,0.12,bernoulli-active,,,6.893251569268395,0.020763179659315286,0.982,0.00420638724961144,0.04413684928417202,5.981544804144313e-05
all,0.12,bernoulli-uniform,,,5.613988785738725,0.012717758602362416,0.975,0.004939574819698493,0.04883661592006679,4.662722122234312e-05
all,0.12,classical,,,1.0,0.0,0.949,0.006960420062571471,0.11553345632553097,6.82492569239506e-05
all,0.13,bernoulli-active,,,6.732095840983638,0.019077149543306447,0.977,0.0047427305946567844,0.042686487793922374,5.4749635921875204e-05
all,0.13,bernoulli-uniform,,,5.515832151301234,0.011790401100524503,0.974,0.005034813735318254,0.04709874558448787,4.25544707522277e-05
all,0.13,classical,,,1.0,0.0,0.944,0.007274401481697097,0.11046220695972439,6.178606905550726e-05
all,0.14,bernoulli-active,,,6.6065226645249115,0.017072879360203866,0.982,0.00420638724961144,0.04135691988468165,5.034562797388947e-05
all,0.14,bernoulli-uniform,,,5.417651574811673,0.010395122829749385,0.97,0.0053971408290991564,0.04561760818958278,3.749152989359061e-05
all,0.14,classical,,,1.0,0.0,0.955,0.006558812241406064,0.10606012403964991,5.535605257178954e-05
all,0.15,bernoulli-active,,,6.471903009955232,0.01572054407731438,0.984,0.003969856390319399,0.04020253980159755,4.513460554839168e-05
all,0.15,bernoulli-uniform,,,5.312495939828986,0.009948469287261346,0.976,0.004842256441727084,0.04433165597915644,3.4143119150248555e-05
all,0.15,classical,,,1.0,0.0,0.968,0.005568393575081328,0.10207178115844723,4.9600198880263155e-05
all,0.16,bernoulli-active,,,6.346115371304875,0.01477160529002806,0.975,0.004939574819698493,0.03915844178199763,4.211537175637223e-05
all,0.16,bernoulli-uniform,,,5.234875115732455,0.009284035522518984,0.975,0.004939574819698493,0.04307796335220332,3.24595841059617e-05
all,0.16,classical,,,1.0,0.0,0.959,0.006273624021118765,0.09846778392791744,4.687155153219303e-05
all,0.17,bernoulli-active,,,6.2542459957758565,0.014335494140417293,0.986,0.003717232548256541,0.03815235149860378,4.015568939641787e-05
all,0.17,bernoulli-uniform,,,5.150110970228365,0.008542261376744235,0.984,0.003969856390319399,0.042003661274909926,2.8314551210924825e-05
all,0.17,classical,,,1.0,0.0,0.954,0.006627814717380679,0.09524597835540767,4.395688084804637e-05
all,0.18,bernoulli-active,,,6.124638204787958,0.013347687137055373,0.989,0.003299983316607812,0.03725960135459895,3.748181588619462e-05
all,0.18,bernoulli-uniform,,,5.052733203863526,0.00811505353452362,0.979,0.0045364721513065165,0.040988775134086566,2.807662293150431e-05
all,0.18,classical,,,1.0,0.0,0.953,0.006695956678163012,0.09206393384933467,4.069207698386683e-05
all,0.19,bernoulli-active,,,5.980093137925563,0.011869806963100818,0.988,0.0034449771940998205,0.03652887177467341,3.310420370964326e-05
all,0.19,bernoulli-uniform,,,4.978672723046912,0.007468385620940861,0.977,0.004742730594656784,0.04000898206233974,2.5238576443764773e-05
all,0.19,classical,,,1.0,0.0,0.952,0.006763264133666652,0.08921220409870144,3.833679607502657e-05
all,0.2,bernoulli-active,,,5.892131672342121,0.011350907780633055,0.989,0.0032999833166078114,0.03572936940193172,3.098305297879734e-05
all,0.2,bernoulli-uniform,,,4.888011273281176,0.007106037997770115,0.977,0.004742730594656784,0.03920466995239253,2.368831939799324e-05
all,0.2,classical,,,1.0,0.0,0.964,0.005893957816165528,0.0866224725246429,3.4308766927883e-05
