lb,ub,mean_width,coverage,estimator,$n_b$,prop_budget,seed
-0.073731385,-0.006398864,0.06733252,1,classical,1897,0.00499748413423922,0
-0.08523473,-0.020785872,0.06444886,1,classical,1897,0.00499748413423922,1
-0.093790784,-0.028499193,0.06529159,0,classical,1897,0.00499748413423922,2
-0.08815947,-0.023270305,0.06488916,1,classical,1897,0.00499748413423922,3
-0.06977943,-0.0048601106,0.06491932,1,classical,1897,0.00499748413423922,4
-0.07783127,-0.008726809,0.06910446,1,classical,1897,0.00499748413423922,5
-0.0860807,-0.021444406,0.06463629,1,classical,1897,0.00499748413423922,6
-0.056546196,0.012609882,0.06915608,1,classical,1897,0.00499748413423922,7
-0.06604861,0.0036756806,0.06972429,1,classical,1897,0.00499748413423922,8
-0.09844234,-0.03250102,0.06594132,0,classical,1897,0.00499748413423922,9
-0.04964377,0.02056621,0.07020998,1,classical,1897,0.00499748413423922,10
-0.074494556,-0.0060574897,0.06843707,1,classical,1897,0.00499748413423922,11
-0.118205585,-0.05739806,0.060807526,0,classical,1897,0.00499748413423922,12
-0.033184677,0.03794399,0.07112867,1,classical,1897,0.00499748413423922,13
-0.06728999,-9.1701746e-05,0.06719829,1,classical,1897,0.00499748413423922,14
-0.02722665,0.047480524,0.07470717,1,classical,1897,0.00499748413423922,15
-0.07559606,-0.0069455877,0.06865047,1,classical,1897,0.00499748413423922,16
-0.07971728,-0.01261333,0.06710395,1,classical,1897,0.00499748413423922,17
-0.06835461,-0.00046303123,0.067891575,1,classical,1897,0.00499748413423922,18
-0.02726664,0.048964594,0.076231234,1,classical,1897,0.00499748413423922,19
-0.047433928,0.025688037,0.073121965,1,classical,1897,0.00499748413423922,20
-0.06648175,-0.00254149,0.06394026,1,classical,1897,0.00499748413423922,21
-0.040640038,0.029920813,0.07056085,1,classical,1897,0.00499748413423922,22
-0.084684946,-0.02034586,0.06433909,1,classical,1897,0.00499748413423922,23
-0.04379238,0.029633703,0.07342608,1,classical,1897,0.00499748413423922,24
-0.04918628,0.024698434,0.07388472,1,classical,1897,0.00499748413423922,25
-0.0756876,-0.007779002,0.0679086,1,classical,1897,0.00499748413423922,26
-0.02174505,0.056365788,0.07811084,0,classical,1897,0.00499748413423922,27
-0.0416569,0.026255842,0.06791274,1,classical,1897,0.00499748413423922,28
-0.028630901,0.045803864,0.074434765,1,classical,1897,0.00499748413423922,29
-0.04717693,0.025589723,0.072766654,1,classical,1897,0.00499748413423922,30
-0.06910452,-0.0036160536,0.06548847,1,classical,1897,0.00499748413423922,31
-0.04763008,0.028467238,0.07609732,1,classical,1897,0.00499748413423922,32
-0.04064515,0.031746123,0.07239127,1,classical,1897,0.00499748413423922,33
-0.07485164,-0.0013287514,0.07352289,1,classical,1897,0.00499748413423922,34
-0.058022056,0.010783341,0.0688054,1,classical,1897,0.00499748413423922,35
-0.07261504,-0.004798349,0.06781669,1,classical,1897,0.00499748413423922,36
-0.07225589,-0.0059990957,0.06625679,1,classical,1897,0.00499748413423922,37
-0.07326248,-0.0012754574,0.071987025,1,classical,1897,0.00499748413423922,38
-0.07720787,-0.0085351765,0.068672694,1,classical,1897,0.00499748413423922,39
-0.022922613,0.057413124,0.08033574,0,classical,1897,0.00499748413423922,40
-0.06460492,0.0022498053,0.06685473,1,classical,1897,0.00499748413423922,41
-0.06548607,0.0034939256,0.06898,1,classical,1897,0.00499748413423922,42
-0.058279067,0.016354783,0.07463385,1,classical,1897,0.00499748413423922,43
-0.03137792,0.045543246,0.076921165,1,classical,1897,0.00499748413423922,44
-0.058888994,0.016241653,0.07513065,1,classical,1897,0.00499748413423922,45
-0.091485426,-0.022624101,0.06886132,1,classical,1897,0.00499748413423922,46
-0.08256042,-0.014444005,0.06811641,1,classical,1897,0.00499748413423922,47
-0.04009948,0.035432003,0.07553148,1,classical,1897,0.00499748413423922,48
-0.07295844,-0.012655174,0.060303263,1,classical,1897,0.00499748413423922,49
-0.1037486,-0.03706821,0.06668039,0,classical,1897,0.00499748413423922,50
-0.03571971,0.039658222,0.07537793,1,classical,1897,0.00499748413423922,51
-0.063337564,0.0019165687,0.06525414,1,classical,1897,0.00499748413423922,52
-0.035029463,0.03351386,0.06854332,1,classical,1897,0.00499748413423922,53
-0.034817457,0.039091878,0.073909335,1,classical,1897,0.00499748413423922,54
-0.040926147,0.035024513,0.07595066,1,classical,1897,0.00499748413423922,55
-0.045716524,0.024633473,0.07035,1,classical,1897,0.00499748413423922,56
-0.032322407,0.047575958,0.079898365,1,classical,1897,0.00499748413423922,57
-0.071011364,0.0022306964,0.07324206,1,classical,1897,0.00499748413423922,58
-0.04409673,0.026576044,0.07067277,1,classical,1897,0.00499748413423922,59
-0.07154167,-0.0074650086,0.06407666,1,classical,1897,0.00499748413423922,60
-0.03734353,0.033818446,0.07116198,1,classical,1897,0.00499748413423922,61
-0.04859457,0.024115078,0.07270965,1,classical,1897,0.00499748413423922,62
-0.060846165,0.008739987,0.06958615,1,classical,1897,0.00499748413423922,63
-0.09536813,-0.030793998,0.06457414,0,classical,1897,0.00499748413423922,64
-0.05421658,0.02133692,0.0755535,1,classical,1897,0.00499748413423922,65
-0.08733614,-0.0234542,0.06388193,1,classical,1897,0.00499748413423922,66
-0.049508844,0.021326784,0.07083563,1,classical,1897,0.00499748413423922,67
-0.04108715,0.029781155,0.070868306,1,classical,1897,0.00499748413423922,68
-0.05011426,0.014140099,0.06425436,1,classical,1897,0.00499748413423922,69
-0.05863455,0.013604477,0.07223903,1,classical,1897,0.00499748413423922,70
-0.08542114,-0.018939398,0.06648174,1,classical,1897,0.00499748413423922,71
-0.019209323,0.061295234,0.08050456,0,classical,1897,0.00499748413423922,72
-0.066579714,0.0014050752,0.06798479,1,classical,1897,0.00499748413423922,73
-0.05314337,0.021880392,0.07502376,1,classical,1897,0.00499748413423922,74
-0.070152044,-0.0013898611,0.06876218,1,classical,1897,0.00499748413423922,75
-0.048028164,0.024790347,0.07281851,1,classical,1897,0.00499748413423922,76
-0.03841981,0.03706077,0.07548058,1,classical,1897,0.00499748413423922,77
-0.0704816,0.002440732,0.072922334,1,classical,1897,0.00499748413423922,78
-0.06412821,0.0044142306,0.06854244,1,classical,1897,0.00499748413423922,79
-0.03961474,0.029996973,0.06961171,1,classical,1897,0.00499748413423922,80
-0.061673082,0.0068678614,0.068540946,1,classical,1897,0.00499748413423922,81
-0.07797834,-0.012642406,0.06533594,1,classical,1897,0.00499748413423922,82
-0.01679872,0.063648455,0.080447175,0,classical,1897,0.00499748413423922,83
-0.039046265,0.034648083,0.07369435,1,classical,1897,0.00499748413423922,84
-0.09007751,-0.025990494,0.06408702,0,classical,1897,0.00499748413423922,85
-0.08100059,-0.011116691,0.0698839,1,classical,1897,0.00499748413423922,86
-0.050730176,0.01898477,0.06971495,1,classical,1897,0.00499748413423922,87
-0.064528435,0.009458836,0.073987275,1,classical,1897,0.00499748413423922,88
-0.036801234,0.04074932,0.07755055,1,classical,1897,0.00499748413423922,89
-0.05126705,0.0205232,0.07179025,1,classical,1897,0.00499748413423922,90
-0.05945874,0.012112483,0.07157122,1,classical,1897,0.00499748413423922,91
-0.013752729,0.06402081,0.07777354,0,classical,1897,0.00499748413423922,92
