lb,ub,mean_width,coverage,estimator,$n_b$,prop_budget,seed
-0.08299056,-0.022440894,0.06054966,1,classical,1899,0.004997486782581693,0
-0.10521024,-0.047900803,0.057309434,1,classical,1899,0.004997486782581693,1
-0.10135943,-0.04028569,0.061073735,1,classical,1899,0.004997486782581693,2
-0.1329374,-0.07991646,0.05302094,1,classical,1899,0.004997486782581693,3
-0.1210335,-0.059539415,0.061494082,1,classical,1899,0.004997486782581693,4
-0.12033489,-0.06693624,0.053398654,1,classical,1899,0.004997486782581693,5
-0.12322936,-0.070232384,0.05299698,1,classical,1899,0.004997486782581693,6
-0.1239586,-0.07090032,0.05305828,1,classical,1899,0.004997486782581693,7
-0.13287102,-0.08546813,0.04740289,0,classical,1899,0.004997486782581693,8
-0.10132922,-0.045349885,0.055979338,1,classical,1899,0.004997486782581693,9
-0.10573144,-0.048796833,0.05693461,1,classical,1899,0.004997486782581693,10
-0.07630791,-0.014612058,0.06169585,0,classical,1899,0.004997486782581693,11
-0.123183295,-0.07093826,0.052245036,1,classical,1899,0.004997486782581693,12
-0.1342196,-0.08353677,0.050682835,0,classical,1899,0.004997486782581693,13
-0.0989265,-0.042218626,0.056707874,1,classical,1899,0.004997486782581693,14
-0.1226814,-0.066054605,0.056626797,1,classical,1899,0.004997486782581693,15
-0.116737835,-0.05831871,0.058419123,1,classical,1899,0.004997486782581693,16
-0.10989723,-0.053375952,0.05652128,1,classical,1899,0.004997486782581693,17
-0.1240628,-0.07085361,0.053209186,1,classical,1899,0.004997486782581693,18
-0.10876961,-0.05615349,0.05261612,1,classical,1899,0.004997486782581693,19
-0.098309055,-0.037690777,0.060618278,1,classical,1899,0.004997486782581693,20
-0.110832624,-0.05884292,0.051989704,1,classical,1899,0.004997486782581693,21
-0.08990411,-0.030689277,0.05921483,1,classical,1899,0.004997486782581693,22
-0.122484334,-0.06553326,0.056951076,1,classical,1899,0.004997486782581693,23
-0.09974171,-0.037326604,0.062415108,1,classical,1899,0.004997486782581693,24
-0.067760296,-0.0038852766,0.06387502,0,classical,1899,0.004997486782581693,25
-0.11656081,-0.06457331,0.0519875,1,classical,1899,0.004997486782581693,26
-0.09336184,-0.035710692,0.057651147,1,classical,1899,0.004997486782581693,27
-0.088605836,-0.028215421,0.060390413,1,classical,1899,0.004997486782581693,28
-0.08997126,-0.031951815,0.058019444,1,classical,1899,0.004997486782581693,29
-0.12090054,-0.0678259,0.053074643,1,classical,1899,0.004997486782581693,30
-0.14816679,-0.103406444,0.044760346,0,classical,1899,0.004997486782581693,31
-0.11697666,-0.06521532,0.051761344,1,classical,1899,0.004997486782581693,32
-0.11475356,-0.054212943,0.060540617,1,classical,1899,0.004997486782581693,33
-0.14846827,-0.10002267,0.048445597,0,classical,1899,0.004997486782581693,34
-0.09110871,-0.030895362,0.06021335,1,classical,1899,0.004997486782581693,35
-0.07847187,-0.015375387,0.06309648,0,classical,1899,0.004997486782581693,36
-0.11195839,-0.055324875,0.056633517,1,classical,1899,0.004997486782581693,37
-0.14640987,-0.09838447,0.0480254,0,classical,1899,0.004997486782581693,38
-0.094380975,-0.03747338,0.056907594,1,classical,1899,0.004997486782581693,39
-0.106099285,-0.050460555,0.05563873,1,classical,1899,0.004997486782581693,40
-0.101244956,-0.04457973,0.056665227,1,classical,1899,0.004997486782581693,41
-0.12481533,-0.076104924,0.048710406,1,classical,1899,0.004997486782581693,42
-0.11775561,-0.065571085,0.052184522,1,classical,1899,0.004997486782581693,43
-0.08663683,-0.022971068,0.06366576,1,classical,1899,0.004997486782581693,44
-0.11142842,-0.057300977,0.05412744,1,classical,1899,0.004997486782581693,45
-0.09134024,-0.03398212,0.057358116,1,classical,1899,0.004997486782581693,46
-0.10606507,-0.04897725,0.057087824,1,classical,1899,0.004997486782581693,47
-0.11179522,-0.062054154,0.049741063,1,classical,1899,0.004997486782581693,48
-0.142244,-0.09437163,0.047872365,0,classical,1899,0.004997486782581693,49
-0.11637674,-0.062102724,0.05427402,1,classical,1899,0.004997486782581693,50
-0.13602199,-0.08885664,0.04716535,0,classical,1899,0.004997486782581693,51
-0.12100379,-0.07433665,0.046667144,1,classical,1899,0.004997486782581693,52
-0.109706104,-0.053787127,0.055918977,1,classical,1899,0.004997486782581693,53
-0.10114567,-0.04124078,0.05990489,1,classical,1899,0.004997486782581693,54
-0.12477366,-0.07027731,0.054496348,1,classical,1899,0.004997486782581693,55
-0.11809641,-0.06823392,0.04986249,1,classical,1899,0.004997486782581693,56
-0.10333839,-0.051216707,0.052121684,1,classical,1899,0.004997486782581693,57
-0.13889775,-0.0925313,0.046366446,0,classical,1899,0.004997486782581693,58
-0.076193884,-0.014060322,0.06213356,0,classical,1899,0.004997486782581693,59
-0.11348654,-0.05950831,0.053978235,1,classical,1899,0.004997486782581693,60
-0.14143834,-0.09121574,0.050222598,0,classical,1899,0.004997486782581693,61
-0.11744047,-0.062874205,0.054566264,1,classical,1899,0.004997486782581693,62
-0.10624743,-0.050973378,0.055274054,1,classical,1899,0.004997486782581693,63
-0.08847943,-0.030572318,0.057907112,1,classical,1899,0.004997486782581693,64
-0.10613598,-0.046112552,0.060023427,1,classical,1899,0.004997486782581693,65
-0.13277297,-0.083299875,0.049473092,0,classical,1899,0.004997486782581693,66
-0.117771566,-0.067079395,0.05069217,1,classical,1899,0.004997486782581693,67
-0.097250886,-0.04159931,0.055651575,1,classical,1899,0.004997486782581693,68
-0.10148446,-0.043525342,0.05795912,1,classical,1899,0.004997486782581693,69
-0.1254143,-0.06974204,0.05567226,1,classical,1899,0.004997486782581693,70
-0.11739014,-0.06429365,0.053096488,1,classical,1899,0.004997486782581693,71
-0.09404512,-0.03275643,0.06128869,1,classical,1899,0.004997486782581693,72
-0.09592979,-0.038559183,0.057370603,1,classical,1899,0.004997486782581693,73
-0.12837382,-0.07487022,0.053503595,1,classical,1899,0.004997486782581693,74
-0.111809015,-0.057681635,0.05412738,1,classical,1899,0.004997486782581693,75
-0.117602095,-0.0615269,0.056075197,1,classical,1899,0.004997486782581693,76
