group,prop_budget,method,seed,width,coverage
non-phosphorylated,0.0100,bernoulli-active,666,0.040045365691185,0.0
non-phosphorylated,0.0100,bernoulli-active,667,0.04914066195487976,1.0
non-phosphorylated,0.0100,bernoulli-active,668,0.0840694010257721,1.0
non-phosphorylated,0.0100,bernoulli-active,669,0.04858620464801788,1.0
non-phosphorylated,0.0100,bernoulli-active,670,0.043625250458717346,0.0
non-phosphorylated,0.0100,bernoulli-active,671,0.041647449135780334,1.0
non-phosphorylated,0.0100,bernoulli-active,672,0.060382988303899765,0.0
non-phosphorylated,0.0100,bernoulli-active,673,0.043373093008995056,0.0
non-phosphorylated,0.0100,bernoulli-active,674,0.049137890338897705,1.0
non-phosphorylated,0.0100,bernoulli-active,675,0.05883786827325821,1.0
non-phosphorylated,0.0100,bernoulli-active,676,0.04551851749420166,0.0
non-phosphorylated,0.0100,bernoulli-active,677,0.09061868488788605,1.0
non-phosphorylated,0.0100,bernoulli-active,678,0.19965863227844238,1.0
non-phosphorylated,0.0100,bernoulli-active,679,0.1260565221309662,1.0
non-phosphorylated,0.0100,bernoulli-active,680,0.08604216575622559,1.0
non-phosphorylated,0.0100,bernoulli-active,681,0.11688622832298279,1.0
non-phosphorylated,0.0100,bernoulli-active,682,0.06847411394119263,1.0
non-phosphorylated,0.0100,bernoulli-active,683,0.06247320771217346,0.0
non-phosphorylated,0.0100,bernoulli-active,684,0.16301661729812622,1.0
non-phosphorylated,0.0100,bernoulli-active,685,0.18891876935958862,1.0
non-phosphorylated,0.0100,bernoulli-active,686,0.19648128747940063,1.0
non-phosphorylated,0.0100,bernoulli-active,687,0.058638833463191986,1.0
non-phosphorylated,0.0100,bernoulli-active,688,0.1220879852771759,1.0
non-phosphorylated,0.0100,bernoulli-active,689,0.10741665959358215,1.0
non-phosphorylated,0.0100,bernoulli-active,690,0.0924435630440712,1.0
non-phosphorylated,0.0100,bernoulli-active,691,0.1177341639995575,1.0
non-phosphorylated,0.0100,bernoulli-active,692,0.07632067799568176,1.0
non-phosphorylated,0.0100,bernoulli-active,693,0.04548673331737518,0.0
non-phosphorylated,0.0100,bernoulli-active,694,0.1724749356508255,1.0
non-phosphorylated,0.0100,bernoulli-active,695,0.1425119936466217,1.0
non-phosphorylated,0.0100,bernoulli-active,696,0.14927008748054504,1.0
non-phosphorylated,0.0100,bernoulli-active,697,0.16753271222114563,1.0
non-phosphorylated,0.0100,bernoulli-active,698,0.055587977170944214,0.0
non-phosphorylated,0.0100,bernoulli-active,699,0.19935813546180725,1.0
non-phosphorylated,0.0100,bernoulli-active,700,0.061021462082862854,0.0
non-phosphorylated,0.0100,bernoulli-active,701,0.042000606656074524,0.0
non-phosphorylated,0.0100,bernoulli-active,702,0.0715389996767044,1.0
non-phosphorylated,0.0100,bernoulli-active,703,0.1595681607723236,1.0
