group,prop_budget,method,ess_multiplier,ess_multiplier_serr,ess_multiplier_vs_classical,ess_multiplier_vs_classical_serr,coverage,coverage_serr,mean_width,mean_width_serr
non-phosphorylated,0.01,bernoulli-active,2.9599664555898033,0.1079737575678642,8.404642614597254,0.27202064552150607,0.83,0.011884495834541793,0.09646732497215267,0.0016405051159644297
non-phosphorylated,0.01,bernoulli-uniform,1.5593514519570175,0.08122454813617436,4.456978236644355,0.20768116005643467,0.895,0.00969892102602496,0.11262205525860186,0.0010254731666605125
non-phosphorylated,0.01,classical,inf,,1.0,0.0,0.914,0.008870325962594761,0.18871826994419094,0.001426304382468772
non-phosphorylated,0.01,wor-active,inf,,inf,,0.792,0.01284137457209706,0.09234505844861264,0.0016598906638065794
non-phosphorylated,0.01,wor-uniform,1.0,0.0,inf,,0.868,0.010709373963527967,0.10916163551434871,0.0010760150304900222
non-phosphorylated,0.02,bernoulli-active,1.9484981633059417,0.06154326729494101,5.717292144441236,0.170441007647927,0.85,0.011297239823409416,0.0735307225733995,0.0008560120585546884
non-phosphorylated,0.02,bernoulli-uniform,1.0562582930491342,0.021981952248948233,3.079513511997785,0.0546195600049967,0.943,0.007335175853706906,0.08383214456960554,0.0005014470077545116
non-phosphorylated,0.02,classical,0.3858520672120867,0.008219688913225253,1.0,0.0,0.931,0.008018934050315124,0.13694722751155491,0.0006490949320925047
non-phosphorylated,0.02,wor-active,inf,,inf,,0.852,0.011234866364235145,0.06852094238623972,0.000857540380090503
non-phosphorylated,0.02,wor-uniform,1.0,0.0,3.6382772770063894,0.08761460956659126,0.915,0.008823426366942316,0.07937194560095663,0.0005185369657883824
non-phosphorylated,0.03,bernoulli-active,1.5655100251679375,0.04078674375987002,4.501969984128507,0.10867791637518819,0.915,0.008823426366942316,0.06143044038116928,0.0005617203653297032
non-phosphorylated,0.03,bernoulli-uniform,0.9629942464332636,0.014014449244497636,2.8209886030861537,0.03823629547485966,0.95,0.006895472974897919,0.06976548627018925,0.00032759834892937185
non-phosphorylated,0.03,classical,0.3682443069375216,0.005165698527951878,1.0,0.0,0.944,0.007274401481697099,0.1120467669330537,0.0004371876808182043
non-phosphorylated,0.03,wor-active,inf,,inf,,0.885,0.010093407594904551,0.05743338245153423,0.0005826113775134735
non-phosphorylated,0.03,wor-uniform,1.0,0.0,3.2743017427120997,0.053438009051782594,0.926,0.0082820645127041,0.06535695219039912,0.00032571718955484675
non-phosphorylated,0.04,bernoulli-active,1.3557429482546888,0.028969393659950122,3.9133946558553085,0.08271093841692895,0.924,0.008384169266796462,0.05502069362998004,0.0004375767038249659
non-phosphorylated,0.04,bernoulli-uniform,0.9443583471054229,0.011319272035488189,2.721699284360016,0.03248339146852615,0.948,0.00702462421381709,0.060706967800855584,0.00023902819884590143
non-phosphorylated,0.04,classical,0.3657407337258099,0.003921331216505391,1.0,0.0,0.946,0.007150883521295473,0.0968477953150868,0.0003216274768574306
non-phosphorylated,0.04,wor-active,1.7189188477714419,0.04410343153143635,4.931874950433509,0.12160996624128748,0.899,0.009533618929341044,0.05026347298175092,0.00043129630274967224
non-phosphorylated,0.04,wor-uniform,1.0,0.0,3.081695509289177,0.03704825565498422,0.928,0.008178195576218687,0.05706351444870229,0.00022994891191672082
non-phosphorylated,0.05,bernoulli-active,1.2510877415354889,0.02280589008090144,3.6146325858667354,0.06286645332700763,0.931,0.008018934050315124,0.04943258202821011,0.0003373814481997982
non-phosphorylated,0.05,bernoulli-uniform,0.8990165026487316,0.00960739765215809,2.615265189322879,0.02657695325454045,0.962,0.0060491811505849775,0.05491000436991448,0.0001970479473238217
non-phosphorylated,0.05,classical,0.3576215930601378,0.0034702237355247073,1.0,0.0,0.95,0.006895472974897919,0.08652363128587598,0.00025641929042718157
non-phosphorylated,0.05,wor-active,1.5604298763700224,0.03474232423180962,4.511280548767668,0.09872124706756547,0.911,0.009008893392651516,0.045435175791382745,0.0003434204660943266
non-phosphorylated,0.05,wor-uniform,1.0,0.0,3.0680007255843056,0.0311500450283588,0.942,0.0073953154557929906,0.05070418193563814,0.00018888831858321413
non-phosphorylated,0.06,bernoulli-active,1.2121711488032958,0.019856492757860476,3.4909304478764223,0.052312086002276874,0.93,0.008072494358323525,0.045251619003713085,0.000283141855026157
non-phosphorylated,0.06,bernoulli-uniform,0.8864736539938514,0.008661552325696388,2.5633995239960394,0.021602144965728827,0.963,0.005972157622389639,0.05032417950779195,0.00015892712799999085
non-phosphorylated,0.06,classical,0.35447273462039247,0.003006889746517192,1.0,0.0,0.951,0.006829761756140959,0.0791019115671515,0.0002021425591560326
non-phosphorylated,0.06,wor-active,1.6154525779930147,0.0565104822459715,4.664438536383079,0.15483358450305434,0.909,0.009099549538400337,0.04112131873518224,0.0003012111026985043
non-phosphorylated,0.06,wor-uniform,1.0,0.0,3.0373242417992175,0.027413323411383198,0.934,0.007855297938697534,0.0463652418851852,0.00015566297256661555
non-phosphorylated,0.07,bernoulli-active,1.1260922024780256,0.015609514388824903,3.2521197789080136,0.04375160301763825,0.946,0.007150883521295472,0.04283710770308967,0.00023493577049442504
non-phosphorylated,0.07,bernoulli-uniform,0.8671354766936643,0.007367313673114115,2.507721853056274,0.01961146668663422,0.969,0.005483527064679181,0.04706165347993369,0.0001318776820567242
non-phosphorylated,0.07,classical,0.35480232206307044,0.0028204786710425453,1.0,0.0,0.945,0.0072129762946392005,0.07337539996579286,0.00017979818681112104
non-phosphorylated,0.07,wor-active,1.4994098905846445,0.028314866884168028,4.307643608194372,0.07293892201670249,0.931,0.008018934050315124,0.03799066824465985,0.00023826167328892963
non-phosphorylated,0.07,wor-uniform,1.0,0.0,2.996908165407566,0.024063648714054312,0.946,0.007150883521295473,0.04311161474138493,0.0001301035671845993
non-phosphorylated,0.08,bernoulli-active,1.0732289824724712,0.013804954606436482,3.156204389672461,0.03920422916228773,0.941,0.007454835650406692,0.04025049708783622,0.000204344726533662
non-phosphorylated,0.08,bernoulli-uniform,0.846546276651092,0.007064367587269763,2.485161568258021,0.01896222602447539,0.956,0.0064889217984273875,0.04402404052019114,0.00011775480619468017
non-phosphorylated,0.08,classical,0.3478799817129251,0.002597014179421297,1.0,0.0,0.94,0.007513751157474971,0.06840132946148511,0.00015740917155725488
non-phosphorylated,0.08,wor-active,1.4390358370071006,0.02348840992949126,4.217868865055906,0.06571999683287522,0.921,0.008534156773333369,0.03547443073987957,0.00020854526478968476
