group,prop_budget,method,seed,width,coverage
non-phosphorylated,0.0100,wor-active,0,0.15179383754730225,1.0
non-phosphorylated,0.0100,wor-uniform,0,0.1192409098148346,1.0
non-phosphorylated,0.0100,wor-active,1,0.16247200965881348,1.0
non-phosphorylated,0.0100,wor-uniform,1,0.12280729413032532,1.0
non-phosphorylated,0.0100,wor-active,2,0.137058824300766,1.0
non-phosphorylated,0.0100,wor-uniform,2,0.07037815451622009,1.0
non-phosphorylated,0.0100,wor-active,3,0.146415114402771,1.0
non-phosphorylated,0.0100,wor-uniform,3,0.12036396563053131,1.0
non-phosphorylated,0.0100,wor-active,4,0.20854787528514862,1.0
non-phosphorylated,0.0100,wor-uniform,4,0.12930023670196533,1.0
non-phosphorylated,0.0100,wor-active,5,0.03889338672161102,1.0
non-phosphorylated,0.0100,wor-uniform,5,0.1558285802602768,1.0
non-phosphorylated,0.0100,wor-active,6,0.12061610817909241,1.0
non-phosphorylated,0.0100,wor-uniform,6,0.09784407913684845,1.0
non-phosphorylated,0.0100,wor-active,7,0.03957460820674896,0.0
non-phosphorylated,0.0100,wor-uniform,7,0.12361714243888855,1.0
non-phosphorylated,0.0100,wor-active,8,0.1256665587425232,1.0
non-phosphorylated,0.0100,wor-uniform,8,0.13500338792800903,1.0
non-phosphorylated,0.0100,wor-active,9,0.17036321759223938,1.0
non-phosphorylated,0.0100,wor-uniform,9,0.14484143257141113,1.0
non-phosphorylated,0.0100,wor-active,10,0.04046204686164856,1.0
non-phosphorylated,0.0100,wor-uniform,10,0.04851078987121582,0.0
non-phosphorylated,0.0100,wor-active,11,0.15666115283966064,1.0
non-phosphorylated,0.0100,wor-uniform,11,0.12318721413612366,1.0
non-phosphorylated,0.0100,wor-active,12,0.041026145219802856,0.0
non-phosphorylated,0.0100,wor-uniform,12,0.08292123675346375,1.0
non-phosphorylated,0.0100,wor-active,13,0.06800821423530579,1.0
non-phosphorylated,0.0100,wor-uniform,13,0.10230238735675812,1.0
non-phosphorylated,0.0100,wor-active,14,0.169961079955101,1.0
non-phosphorylated,0.0100,wor-uniform,14,0.13835781812667847,1.0
