dataset,n_full_obs,mcar_obs_prob,prop_budget,tau,seed,mean_width,coverage
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,33,0.11396472156047821,0.9113924050632911
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,34,0.11219814419746399,0.9104882459312839
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,35,0.11441593617200851,0.906871609403255
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,36,0.11254671216011047,0.8987341772151899
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,37,0.11225146055221558,0.9136528028933092
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,38,0.11509541422128677,0.9086799276672695
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,39,0.11132088303565979,0.9109403254972875
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,40,0.11280079185962677,0.900994575045208
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,41,0.11404558271169662,0.9050632911392404
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,42,0.11172693967819214,0.9041591320072332
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,43,0.11357623338699341,0.9132007233273056
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,44,0.11309290677309036,0.9077757685352622
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,45,0.11248791962862015,0.9055153707052441
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,46,0.11029964685440063,0.9073236889692585
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,47,0.11329372227191925,0.9077757685352622
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,48,0.1137145385146141,0.9177215189873418
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,49,0.11163543164730072,0.9059674502712477
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,50,0.11132531613111496,0.903254972875226
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,51,0.11339377611875534,0.9141048824593128
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,52,0.11364088207483292,0.9023508137432188
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,53,0.1121826320886612,0.9064195298372514
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,54,0.1144365444779396,0.9005424954792043
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,55,0.1120617613196373,0.9077757685352622
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,56,0.11196216195821762,0.9064195298372514
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,57,0.11301141232252121,0.909132007233273
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,58,0.11173691600561142,0.900994575045208
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,59,0.11233866214752197,0.9127486437613019
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,60,0.11164823174476624,0.9064195298372514
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,61,0.11265125870704651,0.9046112115732369
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,62,0.112358458340168,0.9037070524412296
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,63,0.11160686612129211,0.9073236889692585
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,64,0.11145796626806259,0.9073236889692585
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,65,0.11441855132579803,0.9186256781193489
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.25,33,0.09873730689287186,0.9371609403254972
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.25,34,0.0967448428273201,0.9349005424954792
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.25,35,0.09860236942768097,0.9489150090415913
