dataset,n_full_obs,mcar_obs_prob,prop_budget,tau,seed,mean_width,coverage
mmlu-pro,None,1.0,0.025,0.05,66,0.07908927649259567,0.8716674197921374
mmlu-pro,None,1.0,0.025,0.05,67,0.08026231825351715,0.8811568007230005
mmlu-pro,None,1.0,0.025,0.05,68,0.08044517785310745,0.8802530501581564
mmlu-pro,None,1.0,0.025,0.05,69,0.08010874688625336,0.8757342973339358
mmlu-pro,None,1.0,0.025,0.05,70,0.08095158636569977,0.8807049254405784
mmlu-pro,None,1.0,0.025,0.05,71,0.081003837287426,0.8694080433800272
mmlu-pro,None,1.0,0.025,0.05,72,0.07908175885677338,0.8657930411206507
mmlu-pro,None,1.0,0.025,0.05,73,0.08059531450271606,0.8816086760054226
mmlu-pro,None,1.0,0.025,0.05,74,0.0810142531991005,0.8775417984636241
mmlu-pro,None,1.0,0.025,0.05,75,0.07937929034233093,0.8874830546769092
mmlu-pro,None,1.0,0.025,0.05,76,0.07892070710659027,0.885223678264799
mmlu-pro,None,1.0,0.025,0.05,77,0.08060722798109055,0.8874830546769092
mmlu-pro,None,1.0,0.025,0.05,78,0.0780685693025589,0.8757342973339358
mmlu-pro,None,1.0,0.025,0.05,79,0.08058174699544907,0.8802530501581564
mmlu-pro,None,1.0,0.025,0.05,80,0.08092670142650604,0.8829643018526887
mmlu-pro,None,1.0,0.025,0.05,81,0.07865636050701141,0.8793492995933123
mmlu-pro,None,1.0,0.025,0.05,82,0.08036348223686218,0.886127428829643
mmlu-pro,None,1.0,0.025,0.05,83,0.08031994849443436,0.886127428829643
mmlu-pro,None,1.0,0.025,0.05,84,0.08082535862922668,0.8920018075011297
mmlu-pro,None,1.0,0.025,0.05,85,0.07804111391305923,0.8843199276999548
mmlu-pro,None,1.0,0.025,0.05,86,0.08075396716594696,0.8820605512878446
mmlu-pro,None,1.0,0.025,0.05,87,0.07922207564115524,0.8811568007230005
mmlu-pro,None,1.0,0.025,0.05,88,0.07864072173833847,0.8716674197921374
mmlu-pro,None,1.0,0.025,0.05,89,0.07935477793216705,0.8784455490284682
mmlu-pro,None,1.0,0.025,0.05,90,0.07915777713060379,0.8829643018526887
mmlu-pro,None,1.0,0.025,0.05,91,0.07979924231767654,0.8775417984636241
mmlu-pro,None,1.0,0.025,0.05,92,0.0799475610256195,0.8816086760054226
mmlu-pro,None,1.0,0.025,0.05,93,0.08120357990264893,0.8820605512878446
mmlu-pro,None,1.0,0.025,0.05,94,0.07996679842472076,0.8924536827835517
mmlu-pro,None,1.0,0.025,0.05,95,0.08050189167261124,0.893809308630818
mmlu-pro,None,1.0,0.025,0.05,96,0.0801495686173439,0.8883868052417533
mmlu-pro,None,1.0,0.025,0.05,97,0.0814305767416954,0.8775417984636241
mmlu-pro,None,1.0,0.025,0.05,98,0.07925029844045639,0.868504292815183
mmlu-pro,None,1.0,0.025,0.05,99,0.07892914861440659,0.8838680524175327
mmlu-pro,None,1.0,0.025,0.25,66,0.07086889445781708,0.9286037053773158
mmlu-pro,None,1.0,0.025,0.25,67,0.07075224071741104,0.9304112065070042
mmlu-pro,None,1.0,0.025,0.25,68,0.07064149528741837,0.9286037053773158
mmlu-pro,None,1.0,0.025,0.25,69,0.07030754536390305,0.9272480795300497
