dataset,n_full_obs,mcar_obs_prob,prop_budget,policy,tau,f,seed,mean_width,coverage
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,zero,0,0.12103651463985443,0.951627486437613
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,mean,0,0.10223492980003357,0.9507233273056057
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,zero,1,0.12114882469177246,0.9556962025316456
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,mean,1,0.10210452228784561,0.9443942133815552
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,zero,2,0.12115343660116196,0.9484629294755876
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,mean,2,0.10215002298355103,0.9525316455696202
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,zero,3,0.12116145342588425,0.9561482820976491
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,mean,3,0.10216755419969559,0.953887884267631
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,zero,4,0.12116524577140808,0.9443942133815552
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,mean,4,0.10217154026031494,0.9439421338155515
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,zero,5,0.12112515419721603,0.9520795660036167
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,mean,5,0.10219140350818634,0.9380650994575045
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,zero,6,0.12112212181091309,0.9439421338155515
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,mean,6,0.1023024469614029,0.9520795660036167
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,zero,7,0.1211499571800232,0.9471066907775768
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,mean,7,0.10214672237634659,0.9430379746835442
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,zero,8,0.12122469395399094,0.9443942133815552
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,mean,8,0.10212045907974243,0.9439421338155515
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,zero,9,0.12102711945772171,0.9430379746835442
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,mean,9,0.10211335122585297,0.9394213381555153
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,zero,10,0.12116634845733643,0.9493670886075949
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,mean,10,0.10226401686668396,0.9493670886075949
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,zero,11,0.12108443677425385,0.9452983725135623
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,mean,11,0.10227097570896149,0.9547920433996383
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,zero,12,0.12108034640550613,0.9475587703435805
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,mean,12,0.1021428033709526,0.9471066907775768
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,zero,13,0.12100087851285934,0.9443942133815552
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,mean,13,0.10215112566947937,0.9376130198915009
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,zero,14,0.1211249902844429,0.9502712477396021
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,mean,14,0.10215529799461365,0.9439421338155515
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,zero,15,0.12121593207120895,0.9498191681735986
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,mean,15,0.10230585187673569,0.9484629294755876
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,zero,16,0.12113061547279358,0.9466546112115732
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,mean,16,0.10217686742544174,0.9502712477396021
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,zero,17,0.12112683802843094,0.9525316455696202
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,mean,17,0.1021014153957367,0.9493670886075949
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,zero,18,0.12117422372102737,0.9484629294755876
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,mean,18,0.10222578793764114,0.9493670886075949
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,zero,19,0.1211518943309784,0.953887884267631
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,mean,19,0.10226234048604965,0.9498191681735986
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,zero,20,0.1211601123213768,0.951627486437613
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,mean,20,0.10226742923259735,0.9385171790235081
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,zero,21,0.12116077542304993,0.9507233273056057
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,mean,21,0.10225192457437515,0.9484629294755876
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,zero,22,0.12108158320188522,0.9511754068716094
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,mean,22,0.10218389332294464,0.9543399638336347
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,zero,23,0.12107387185096741,0.9430379746835442
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,mean,23,0.10204389691352844,0.9443942133815552
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,zero,24,0.12106551229953766,0.9520795660036167
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,mean,24,0.1020461916923523,0.9520795660036167
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,zero,25,0.12111935764551163,0.9525316455696202
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,mean,25,0.10216672718524933,0.9543399638336347
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,zero,26,0.12120230495929718,0.9529837251356238
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,mean,26,0.10230626165866852,0.9448462929475587
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,zero,27,0.12109347432851791,0.9552441229656419
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,mean,27,0.10223276913166046,0.9511754068716094
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,zero,28,0.12113170325756073,0.9484629294755876
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,mean,28,0.10226967185735703,0.9484629294755876
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,zero,29,0.12111561000347137,0.9534358047016275
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,mean,29,0.10225220769643784,0.9561482820976491
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,zero,30,0.12110555917024612,0.9525316455696202
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,mean,30,0.10211675614118576,0.9507233273056057
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,zero,31,0.12113842368125916,0.9471066907775768
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,mean,31,0.10219207406044006,0.9416817359855334
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,zero,32,0.12116748094558716,0.9511754068716094
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,mean,32,0.10230814665555954,0.9498191681735986
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,sqrt,0.05,zero,0,0.11681707203388214,0.9466546112115732
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,sqrt,0.05,mean,0,0.09943725168704987,0.9511754068716094
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,sqrt,0.05,zero,1,0.11687757819890976,0.953887884267631
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,sqrt,0.05,mean,1,0.09934160858392715,0.9452983725135623
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,sqrt,0.05,zero,2,0.1167348176240921,0.951627486437613
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,sqrt,0.05,mean,2,0.09904050081968307,0.9579566003616636
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,sqrt,0.05,zero,3,0.11684924364089966,0.9547920433996383
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,sqrt,0.05,mean,3,0.099273681640625,0.9489150090415913
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,sqrt,0.05,zero,4,0.11687278002500534,0.9511754068716094
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,sqrt,0.05,mean,4,0.09917600452899933,0.9489150090415913
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,sqrt,0.05,zero,5,0.11677224934101105,0.9407775768535261
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,sqrt,0.05,mean,5,0.09928504377603531,0.9403254972875226
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,sqrt,0.05,zero,6,0.11649119853973389,0.951627486437613
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,sqrt,0.05,mean,6,0.09915176033973694,0.9480108499095841
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,sqrt,0.05,zero,7,0.11670354008674622,0.9543399638336347
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,sqrt,0.05,mean,7,0.09908318519592285,0.9349005424954792
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,sqrt,0.05,zero,8,0.11675665527582169,0.9452983725135623
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,sqrt,0.05,mean,8,0.09900300949811935,0.9376130198915009
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,sqrt,0.05,zero,9,0.11662418395280838,0.9475587703435805
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,sqrt,0.05,mean,9,0.09911517053842545,0.9416817359855334
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,sqrt,0.05,zero,10,0.11681684851646423,0.9412296564195298
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,sqrt,0.05,mean,10,0.09944558888673782,0.9439421338155515
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,sqrt,0.05,zero,11,0.11671434342861176,0.951627486437613
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,sqrt,0.05,mean,11,0.0993427038192749,0.9529837251356238
