dataset,n_full_obs,mcar_obs_prob,prop_budget,seed,mean_width,coverage
mmlu-pro,None,1.0,0.025,66,0.06613364815711975,0.9353818346136467
mmlu-pro,None,1.0,0.025,67,0.06616054475307465,0.9439674649796657
mmlu-pro,None,1.0,0.025,68,0.06621818244457245,0.9444193402620877
mmlu-pro,None,1.0,0.025,69,0.0658339187502861,0.9502937189335744
mmlu-pro,None,1.0,0.025,70,0.0660332441329956,0.9426118391323995
mmlu-pro,None,1.0,0.025,71,0.06616061925888062,0.9399005874378672
mmlu-pro,None,1.0,0.025,72,0.06651075184345245,0.9426118391323995
mmlu-pro,None,1.0,0.025,73,0.06654588133096695,0.9349299593312246
mmlu-pro,None,1.0,0.025,74,0.06609253585338593,0.9421599638499775
mmlu-pro,None,1.0,0.025,75,0.06617560982704163,0.94713059195662
mmlu-pro,None,1.0,0.025,76,0.06659747660160065,0.9430637144148215
mmlu-pro,None,1.0,0.025,77,0.06612186133861542,0.9326705829191143
mmlu-pro,None,1.0,0.025,78,0.06600334495306015,0.9439674649796657
mmlu-pro,None,1.0,0.025,79,0.06624696403741837,0.938996836873023
mmlu-pro,None,1.0,0.025,80,0.06631699949502945,0.938996836873023
mmlu-pro,None,1.0,0.025,81,0.0659613087773323,0.9448712155445097
mmlu-pro,None,1.0,0.025,82,0.0661449283361435,0.9408043380027112
mmlu-pro,None,1.0,0.025,83,0.06608766317367554,0.9444193402620877
mmlu-pro,None,1.0,0.025,84,0.06583037972450256,0.9385449615906011
mmlu-pro,None,1.0,0.025,85,0.0661422535777092,0.9430637144148215
mmlu-pro,None,1.0,0.025,86,0.06634532660245895,0.9399005874378672
mmlu-pro,None,1.0,0.025,87,0.06619254499673843,0.9439674649796657
mmlu-pro,None,1.0,0.025,88,0.06621956825256348,0.9399005874378672
mmlu-pro,None,1.0,0.025,89,0.06620620936155319,0.9376412110257569
mmlu-pro,None,1.0,0.025,90,0.06616649031639099,0.9417080885675554
mmlu-pro,None,1.0,0.025,91,0.06605236232280731,0.9362855851784908
mmlu-pro,None,1.0,0.025,92,0.06623701751232147,0.9426118391323995
mmlu-pro,None,1.0,0.025,93,0.06634722650051117,0.9403524627202893
mmlu-pro,None,1.0,0.025,94,0.06622298061847687,0.9439674649796657
mmlu-pro,None,1.0,0.025,95,0.06652313470840454,0.9421599638499775
mmlu-pro,None,1.0,0.025,96,0.06635399907827377,0.938093086308179
mmlu-pro,None,1.0,0.025,97,0.06679131090641022,0.9322187076366923
mmlu-pro,None,1.0,0.025,98,0.06580755859613419,0.9335743334839585
mmlu-pro,None,1.0,0.025,99,0.0659850537776947,0.9399005874378672
mmlu-pro,None,1.0,0.05,66,0.04167529195547104,0.9376412110257569
mmlu-pro,None,1.0,0.05,67,0.04167354479432106,0.9376412110257569
mmlu-pro,None,1.0,0.05,68,0.04194493591785431,0.9371893357433349
mmlu-pro,None,1.0,0.05,69,0.04141020029783249,0.9362855851784908
mmlu-pro,None,1.0,0.05,70,0.04163447394967079,0.9435155896972436
mmlu-pro,None,1.0,0.05,71,0.041550301015377045,0.9421599638499775
mmlu-pro,None,1.0,0.05,72,0.04212307184934616,0.9421599638499775
mmlu-pro,None,1.0,0.05,73,0.04195687547326088,0.9430637144148215
mmlu-pro,None,1.0,0.05,74,0.0419652983546257,0.9376412110257569
mmlu-pro,None,1.0,0.05,75,0.04169521853327751,0.9430637144148215
mmlu-pro,None,1.0,0.05,76,0.04167134314775467,0.9385449615906011
mmlu-pro,None,1.0,0.05,77,0.041690893471241,0.938093086308179
mmlu-pro,None,1.0,0.05,78,0.041630666702985764,0.9358337098960687
mmlu-pro,None,1.0,0.05,79,0.04147978499531746,0.9340262087663805
mmlu-pro,None,1.0,0.05,80,0.04177810251712799,0.9448712155445097
mmlu-pro,None,1.0,0.05,81,0.04152471572160721,0.9489380930863082
mmlu-pro,None,1.0,0.05,82,0.04180878400802612,0.9457749661093539
mmlu-pro,None,1.0,0.05,83,0.041916415095329285,0.9371893357433349
mmlu-pro,None,1.0,0.05,84,0.04162537306547165,0.9376412110257569
mmlu-pro,None,1.0,0.05,85,0.041556261479854584,0.9493899683687302
mmlu-pro,None,1.0,0.05,86,0.041901055723428726,0.9399005874378672
mmlu-pro,None,1.0,0.05,87,0.04178914427757263,0.9462268413917759
mmlu-pro,None,1.0,0.05,88,0.04172252118587494,0.9399005874378672
mmlu-pro,None,1.0,0.05,89,0.04171911999583244,0.947582467239042
mmlu-pro,None,1.0,0.05,90,0.04172482341527939,0.9349299593312246
mmlu-pro,None,1.0,0.05,91,0.04166940227150917,0.9493899683687302
mmlu-pro,None,1.0,0.05,92,0.04177871346473694,0.9439674649796657
mmlu-pro,None,1.0,0.05,93,0.04176557436585426,0.947582467239042
mmlu-pro,None,1.0,0.05,94,0.04194078966975212,0.9335743334839585
mmlu-pro,None,1.0,0.05,95,0.0419333353638649,0.9484862178038862
mmlu-pro,None,1.0,0.05,96,0.04186692833900452,0.938996836873023
mmlu-pro,None,1.0,0.05,97,0.04201791062951088,0.9371893357433349
mmlu-pro,None,1.0,0.05,98,0.041755810379981995,0.9313149570718482
mmlu-pro,None,1.0,0.05,99,0.041767992079257965,0.9457749661093539
mmlu-pro,None,1.0,0.075,66,0.03165917471051216,0.9426118391323995
mmlu-pro,None,1.0,0.075,67,0.03162817284464836,0.9453230908269318
mmlu-pro,None,1.0,0.075,68,0.03182918578386307,0.9448712155445097
mmlu-pro,None,1.0,0.075,69,0.03148441016674042,0.9448712155445097
mmlu-pro,None,1.0,0.075,70,0.0316215343773365,0.9435155896972436
mmlu-pro,None,1.0,0.075,71,0.03153645992279053,0.9394487121554451
mmlu-pro,None,1.0,0.075,72,0.03187625855207443,0.9362855851784908
mmlu-pro,None,1.0,0.075,73,0.031839411705732346,0.9426118391323995
