group,prop_budget,method,seed,width,coverage
all,0.0100,bernoulli-active,666,0.09281228482723236,1.0
all,0.0100,bernoulli-active,667,0.06243310868740082,1.0
all,0.0100,bernoulli-active,668,0.08262120187282562,1.0
all,0.0100,bernoulli-active,669,0.08292663097381592,1.0
all,0.0100,bernoulli-active,670,0.0800464004278183,1.0
all,0.0100,bernoulli-active,671,0.08263558149337769,1.0
all,0.0100,bernoulli-active,672,0.06411157548427582,1.0
all,0.0100,bernoulli-active,673,0.11700767278671265,1.0
all,0.0100,bernoulli-active,674,0.0760793536901474,1.0
all,0.0100,bernoulli-active,675,0.08002090454101562,1.0
all,0.0100,bernoulli-active,676,0.09152650833129883,0.0
all,0.0100,bernoulli-active,677,0.0737573504447937,1.0
all,0.0100,bernoulli-active,678,0.09995704889297485,1.0
all,0.0100,bernoulli-active,679,0.06845982372760773,1.0
all,0.0100,bernoulli-active,680,0.07405868172645569,1.0
all,0.0100,bernoulli-active,681,0.06866365671157837,1.0
all,0.0100,bernoulli-active,682,0.07703721523284912,1.0
all,0.0100,bernoulli-active,683,0.08792497217655182,1.0
all,0.0100,bernoulli-active,684,0.09139552712440491,1.0
all,0.0100,bernoulli-active,685,0.09909766912460327,1.0
all,0.0100,bernoulli-active,686,0.09579253196716309,1.0
all,0.0100,bernoulli-active,687,0.07590930163860321,1.0
all,0.0100,bernoulli-active,688,0.0772092342376709,1.0
all,0.0100,bernoulli-active,689,0.08078145980834961,1.0
all,0.0100,bernoulli-active,690,0.08194440603256226,1.0
all,0.0100,bernoulli-active,691,0.05640830099582672,0.0
all,0.0100,bernoulli-active,692,0.08561351895332336,1.0
all,0.0100,bernoulli-active,693,0.077654168009758,0.0
all,0.0100,bernoulli-active,694,0.06939710676670074,1.0
all,0.0100,bernoulli-active,695,0.056786149740219116,1.0
all,0.0100,bernoulli-active,696,0.0641648918390274,1.0
all,0.0100,bernoulli-active,697,0.09320628643035889,1.0
all,0.0100,bernoulli-active,698,0.09312903881072998,0.0
all,0.0100,bernoulli-active,699,0.09184616804122925,1.0
all,0.0100,bernoulli-active,700,0.07166540622711182,1.0
all,0.0100,bernoulli-active,701,0.0654677152633667,1.0
all,0.0100,bernoulli-active,702,0.06959772109985352,1.0
all,0.0100,bernoulli-active,703,0.07128846645355225,1.0
all,0.0100,bernoulli-active,704,0.09927557408809662,1.0
all,0.0100,bernoulli-active,705,0.06868843734264374,1.0
all,0.0100,bernoulli-active,706,0.0825698971748352,1.0
all,0.0100,bernoulli-active,707,0.0685754120349884,1.0
all,0.0100,bernoulli-active,708,0.06926354765892029,1.0
all,0.0100,bernoulli-active,709,0.08019953966140747,1.0
all,0.0100,bernoulli-active,710,0.07724559307098389,1.0
all,0.0100,bernoulli-active,711,0.10575807094573975,1.0
all,0.0100,bernoulli-active,712,0.07938337326049805,1.0
all,0.0100,bernoulli-active,713,0.06791451573371887,1.0
all,0.0100,bernoulli-active,714,0.07819630205631256,1.0
all,0.0100,bernoulli-active,715,0.08280909061431885,1.0
all,0.0100,bernoulli-active,716,0.09409856796264648,1.0
all,0.0100,bernoulli-active,717,0.07830810546875,1.0
all,0.0100,bernoulli-active,718,0.07989907264709473,1.0
all,0.0100,bernoulli-active,719,0.06552791595458984,1.0
all,0.0100,bernoulli-active,720,0.05864916741847992,1.0
all,0.0100,bernoulli-active,721,0.05101880431175232,0.0
