group,prop_budget,method,ess_multiplier,ess_multiplier_serr,ess_multiplier_vs_classical,ess_multiplier_vs_classical_serr,coverage,coverage_serr,mean_width,mean_width_serr
all,0.01,bernoulli-active,1.2887062707963248,0.014850604515856953,3.9587262743293845,0.04381840988411744,0.944,0.007274401481697098,0.07980573469400401,0.00037576371619304236
all,0.01,bernoulli-uniform,0.9793190988925484,0.007876893870380713,3.0120565175623857,0.022916083940393656,0.953,0.006695956678163012,0.08957010500133034,0.00025626855566000524
all,0.01,classical,0.33290203105272936,0.002429944324905519,1.0,0.0,0.946,0.007150883521295472,0.1530551156029105,0.0003606585938724567
all,0.01,cross-ppi,0.9844049027864542,0.007872416040654879,3.0281024279648507,0.023161615892950824,0.956,0.0064889217984273875,0.08926982609672043,0.00024276036172292718
all,0.01,wor-active,1.3498119191503912,0.015380553781460497,4.159337004778001,0.0470992535170291,0.942,0.0073953154557929906,0.07794508761167522,0.0003706783659212767
all,0.01,wor-uniform,1.0,0.0,3.1705416622531684,0.024335143164566923,0.927,0.008230354715243976,0.08722601555287833,0.0002374681765083756
all,0.02,bernoulli-active,1.1964550854620224,0.009396399796589364,3.6908315408910353,0.028350415789277758,0.948,0.00702462421381709,0.057613220050930926,0.00019008698367257906
all,0.02,bernoulli-uniform,0.9641883419413066,0.0052989988104039975,2.976918367914125,0.015895511486776155,0.954,0.006627814717380679,0.06349251733720299,0.00012790729044816015
all,0.02,classical,0.3279884947337089,0.001698120850757274,1.0,0.0,0.942,0.0073953154557929906,0.10870848794281479,0.0001829340941706535
all,0.02,cross-ppi,0.9530699292083465,0.005212644578681645,2.941325351209486,0.015517486501312084,0.949,0.006960420062571471,0.06384578303378236,0.0001202582038517947
all,0.02,wor-active,1.2883378921123785,0.009847061718916968,3.9676543007477605,0.028675591829534205,0.948,0.00702462421381709,0.05548340405523772,0.00017846996844073684
all,0.02,wor-uniform,1.0,0.0,3.1326159579062254,0.016670676843308228,0.942,0.0073953154557929906,0.06186782808601852,0.00011841246970794133
all,0.03,bernoulli-active,1.1517893604812948,0.007085226177924835,3.5676261740055693,0.02157870040366708,0.959,0.006273624021118764,0.04746275642514224,0.00012287038336061096
