group,prop_budget,method,seed,width,coverage
all,0.0100,cross-ppi,666,0.09076349368313985,1.0
all,0.0100,cross-ppi,667,0.08557344397795241,1.0
all,0.0100,cross-ppi,668,0.08326628549445136,1.0
all,0.0100,cross-ppi,669,0.10068080625051265,1.0
all,0.0100,cross-ppi,670,0.10227397202613453,1.0
all,0.0100,cross-ppi,671,0.08966084559995499,1.0
all,0.0100,cross-ppi,672,0.0980761873125694,1.0
all,0.0100,cross-ppi,673,0.0940382018014079,1.0
all,0.0100,cross-ppi,674,0.09028592143463332,1.0
all,0.0100,cross-ppi,675,0.07616653821145794,1.0
all,0.0100,cross-ppi,676,0.10466261452219261,1.0
all,0.0100,cross-ppi,677,0.08953724691137377,1.0
all,0.0100,cross-ppi,678,0.07919905773684802,1.0
all,0.0100,cross-ppi,679,0.09173270804504519,1.0
all,0.0100,cross-ppi,680,0.07635940561214749,1.0
all,0.0100,cross-ppi,681,0.10052801642553333,1.0
all,0.0100,cross-ppi,682,0.09301278829571658,1.0
all,0.0100,cross-ppi,683,0.09256856900145385,1.0
all,0.0100,cross-ppi,684,0.08533392040878263,1.0
all,0.0100,cross-ppi,685,0.1000199314809268,1.0
all,0.0100,cross-ppi,686,0.1012445500327287,1.0
all,0.0100,cross-ppi,687,0.08726973521892878,1.0
all,0.0100,cross-ppi,688,0.06810714874760423,1.0
all,0.0100,cross-ppi,689,0.0861986439370227,1.0
all,0.0100,cross-ppi,690,0.07791788957238888,1.0
all,0.0100,cross-ppi,691,0.08851701742440252,1.0
all,0.0100,cross-ppi,692,0.08220518987680969,1.0
all,0.0100,cross-ppi,693,0.07455239541360703,1.0
all,0.0100,cross-ppi,694,0.09816826570704584,1.0
all,0.0100,cross-ppi,695,0.09324234540636123,1.0
all,0.0100,cross-ppi,696,0.07459764970660243,0.0
all,0.0100,cross-ppi,697,0.0776043951670887,1.0
all,0.0100,cross-ppi,698,0.09380265751421335,1.0
all,0.0100,cross-ppi,699,0.09279875403549276,1.0
all,0.0100,cross-ppi,700,0.09134231492825295,1.0
all,0.0100,cross-ppi,701,0.07724673438258078,1.0
all,0.0100,cross-ppi,702,0.08515730600199564,1.0
all,0.0100,cross-ppi,703,0.0942801421455021,1.0
all,0.0100,cross-ppi,704,0.08429864266465359,1.0
all,0.0100,cross-ppi,705,0.08886098071719381,1.0
all,0.0100,cross-ppi,706,0.08428950856969764,1.0
all,0.0100,cross-ppi,707,0.09848722158558917,1.0
