group,prop_budget,method,seed,width,coverage
all,0.0100,wor-active,0,0.09002365171909332,1.0
all,0.0100,wor-uniform,0,0.08960728347301483,1.0
all,0.0100,wor-active,1,0.06398546695709229,1.0
all,0.0100,wor-uniform,1,0.09870477020740509,1.0
all,0.0100,wor-active,2,0.07050731778144836,0.0
all,0.0100,wor-uniform,2,0.08101767301559448,1.0
all,0.0100,wor-active,3,0.08198967576026917,1.0
all,0.0100,wor-uniform,3,0.09465265274047852,1.0
all,0.0100,wor-active,4,0.08431269228458405,1.0
all,0.0100,wor-uniform,4,0.09966617822647095,1.0
all,0.0100,wor-active,5,0.08781041204929352,1.0
all,0.0100,wor-uniform,5,0.08567194640636444,1.0
all,0.0100,wor-active,6,0.08011585474014282,0.0
all,0.0100,wor-uniform,6,0.09095728397369385,1.0
all,0.0100,wor-active,7,0.06267867982387543,1.0
all,0.0100,wor-uniform,7,0.09325367212295532,1.0
all,0.0100,wor-active,8,0.05094532668590546,0.0
all,0.0100,wor-uniform,8,0.0872061550617218,1.0
all,0.0100,wor-active,9,0.06313520669937134,1.0
all,0.0100,wor-uniform,9,0.0750654935836792,1.0
all,0.0100,wor-active,10,0.07703013718128204,1.0
all,0.0100,wor-uniform,10,0.08486820757389069,1.0
all,0.0100,wor-active,11,0.06908583641052246,0.0
all,0.0100,wor-uniform,11,0.081560418009758,1.0
all,0.0100,wor-active,12,0.06669583916664124,1.0
all,0.0100,wor-uniform,12,0.09026758372783661,1.0
all,0.0100,wor-active,13,0.06901228427886963,1.0
all,0.0100,wor-uniform,13,0.0806841254234314,1.0
all,0.0100,wor-active,14,0.08295345306396484,1.0
all,0.0100,wor-uniform,14,0.09493720531463623,0.0
all,0.0100,wor-active,15,0.06882503628730774,1.0
all,0.0100,wor-uniform,15,0.08133025467395782,1.0
all,0.0100,wor-active,16,0.07206720113754272,1.0
all,0.0100,wor-uniform,16,0.08242899179458618,1.0
all,0.0100,wor-active,17,0.0932801216840744,1.0
all,0.0100,wor-uniform,17,0.09377193450927734,1.0
all,0.0100,wor-active,18,0.09118843078613281,1.0
all,0.0100,wor-uniform,18,0.08364641666412354,1.0
all,0.0100,wor-active,19,0.07145839929580688,1.0
all,0.0100,wor-uniform,19,0.09124487638473511,1.0
all,0.0100,wor-active,20,0.09004111588001251,1.0
all,0.0100,wor-uniform,20,0.09582877159118652,0.0
all,0.0100,wor-active,21,0.07540446519851685,1.0
all,0.0100,wor-uniform,21,0.08697791397571564,1.0
all,0.0100,wor-active,22,0.06731465458869934,0.0
all,0.0100,wor-uniform,22,0.0933077484369278,1.0
all,0.0100,wor-active,23,0.06661109626293182,1.0
all,0.0100,wor-uniform,23,0.08507539331912994,1.0
all,0.0100,wor-active,24,0.09288109838962555,1.0
all,0.0100,wor-uniform,24,0.08187921345233917,1.0
all,0.0100,wor-active,25,0.06736500561237335,1.0
all,0.0100,wor-uniform,25,0.09657858312129974,1.0
all,0.0100,wor-active,26,0.09025169909000397,1.0
all,0.0100,wor-uniform,26,0.08861106634140015,1.0
all,0.0100,wor-active,27,0.08426773548126221,1.0
all,0.0100,wor-uniform,27,0.08225852251052856,1.0
all,0.0100,wor-active,28,0.08868713676929474,1.0
all,0.0100,wor-uniform,28,0.10034072399139404,1.0
all,0.0100,wor-active,29,0.06967693567276001,1.0
all,0.0100,wor-uniform,29,0.09604372084140778,1.0
all,0.0100,wor-active,30,0.06929123401641846,1.0
all,0.0100,wor-uniform,30,0.08800077438354492,1.0
all,0.0100,wor-active,31,0.07654500007629395,1.0
all,0.0100,wor-uniform,31,0.10321682691574097,1.0
all,0.0100,wor-active,32,0.0854257345199585,1.0
all,0.0100,wor-uniform,32,0.09466563165187836,1.0
all,0.0100,wor-active,33,0.07664461433887482,1.0
all,0.0100,wor-uniform,33,0.10670040547847748,1.0
all,0.0100,wor-active,34,0.09293794631958008,1.0
all,0.0100,wor-uniform,34,0.0878366231918335,1.0
all,0.0100,wor-active,35,0.07758873701095581,1.0
all,0.0100,wor-uniform,35,0.0819786787033081,1.0
all,0.0100,wor-active,36,0.08001194894313812,1.0
all,0.0100,wor-uniform,36,0.09178847074508667,1.0
all,0.0100,wor-active,37,0.128636434674263,1.0
all,0.0100,wor-uniform,37,0.07970081269741058,1.0
all,0.0100,wor-active,38,0.07918111979961395,1.0
all,0.0100,wor-uniform,38,0.0693475604057312,1.0
all,0.0100,wor-active,39,0.08394478261470795,1.0
all,0.0100,wor-uniform,39,0.08642852306365967,1.0
all,0.0100,wor-active,40,0.09415990114212036,0.0
all,0.0100,wor-uniform,40,0.1002126932144165,1.0
all,0.0100,wor-active,41,0.0850980281829834,1.0
