Task 1: seed_chunk=1
Finished 10: mmlu-pro, budget=0.025, seed=42, coverage=0.9449
Finished 20: mmlu-pro, budget=0.025, seed=52, coverage=0.9422
Finished 30: mmlu-pro, budget=0.025, seed=62, coverage=0.9340
Finished 40: mmlu-pro, budget=0.05, seed=39, coverage=0.9367
Finished 50: mmlu-pro, budget=0.05, seed=49, coverage=0.9485
Finished 60: mmlu-pro, budget=0.05, seed=59, coverage=0.9381
Finished 70: mmlu-pro, budget=0.075, seed=36, coverage=0.9376
Finished 80: mmlu-pro, budget=0.075, seed=46, coverage=0.9503
Finished 90: mmlu-pro, budget=0.075, seed=56, coverage=0.9390
Finished 100: mmlu-pro, budget=0.1, seed=33, coverage=0.9458
Finished 110: mmlu-pro, budget=0.1, seed=43, coverage=0.9331
Finished 120: mmlu-pro, budget=0.1, seed=53, coverage=0.9494
Finished 130: mmlu-pro, budget=0.1, seed=63, coverage=0.9462
Finished 140: mmlu-pro, budget=0.125, seed=40, coverage=0.9372
Finished 150: mmlu-pro, budget=0.125, seed=50, coverage=0.9526
Finished 160: mmlu-pro, budget=0.125, seed=60, coverage=0.9530
Finished 170: mmlu-pro, budget=0.15, seed=37, coverage=0.9394
Finished 180: mmlu-pro, budget=0.15, seed=47, coverage=0.9480
Finished 190: mmlu-pro, budget=0.15, seed=57, coverage=0.9390
Finished 200: mmlu-pro, budget=0.175, seed=34, coverage=0.9507
Finished 210: mmlu-pro, budget=0.175, seed=44, coverage=0.9471
Finished 220: mmlu-pro, budget=0.175, seed=54, coverage=0.9444
Finished 230: mmlu-pro, budget=0.175, seed=64, coverage=0.9462
Finished 240: mmlu-pro, budget=0.2, seed=41, coverage=0.9462
Finished 250: mmlu-pro, budget=0.2, seed=51, coverage=0.9462
Finished 260: mmlu-pro, budget=0.2, seed=61, coverage=0.9399
Finished 270: mmlu-pro, budget=0.225, seed=38, coverage=0.9467
Finished 280: mmlu-pro, budget=0.225, seed=48, coverage=0.9507
Finished 290: mmlu-pro, budget=0.225, seed=58, coverage=0.9440
Finished 300: mmlu-pro, budget=0.25, seed=35, coverage=0.9435
Finished 310: mmlu-pro, budget=0.25, seed=45, coverage=0.9422
Finished 320: mmlu-pro, budget=0.25, seed=55, coverage=0.9440
Finished 330: mmlu-pro, budget=0.25, seed=65, coverage=0.9399
Finished 340: bbh+gpqa+ifeval+math+musr, budget=0.025, seed=42, coverage=0.9467
Finished 350: bbh+gpqa+ifeval+math+musr, budget=0.025, seed=52, coverage=0.9498
Finished 360: bbh+gpqa+ifeval+math+musr, budget=0.025, seed=62, coverage=0.9453
Finished 370: bbh+gpqa+ifeval+math+musr, budget=0.05, seed=39, coverage=0.9552
Finished 380: bbh+gpqa+ifeval+math+musr, budget=0.05, seed=49, coverage=0.9376
Finished 390: bbh+gpqa+ifeval+math+musr, budget=0.05, seed=59, coverage=0.9534
Finished 400: bbh+gpqa+ifeval+math+musr, budget=0.075, seed=36, coverage=0.9485
Finished 410: bbh+gpqa+ifeval+math+musr, budget=0.075, seed=46, coverage=0.9485
Finished 420: bbh+gpqa+ifeval+math+musr, budget=0.075, seed=56, coverage=0.9480
Finished 430: bbh+gpqa+ifeval+math+musr, budget=0.1, seed=33, coverage=0.9503
Finished 440: bbh+gpqa+ifeval+math+musr, budget=0.1, seed=43, coverage=0.9462
Finished 450: bbh+gpqa+ifeval+math+musr, budget=0.1, seed=53, coverage=0.9367
Finished 460: bbh+gpqa+ifeval+math+musr, budget=0.1, seed=63, coverage=0.9462
Finished 470: bbh+gpqa+ifeval+math+musr, budget=0.125, seed=40, coverage=0.9575
Finished 480: bbh+gpqa+ifeval+math+musr, budget=0.125, seed=50, coverage=0.9534
Finished 490: bbh+gpqa+ifeval+math+musr, budget=0.125, seed=60, coverage=0.9476
Finished 500: bbh+gpqa+ifeval+math+musr, budget=0.15, seed=37, coverage=0.9552
Finished 510: bbh+gpqa+ifeval+math+musr, budget=0.15, seed=47, coverage=0.9467
Finished 520: bbh+gpqa+ifeval+math+musr, budget=0.15, seed=57, coverage=0.9498
Finished 530: bbh+gpqa+ifeval+math+musr, budget=0.175, seed=34, coverage=0.9561
Finished 540: bbh+gpqa+ifeval+math+musr, budget=0.175, seed=44, coverage=0.9503
Finished 550: bbh+gpqa+ifeval+math+musr, budget=0.175, seed=54, coverage=0.9485
Finished 560: bbh+gpqa+ifeval+math+musr, budget=0.175, seed=64, coverage=0.9458
Finished 570: bbh+gpqa+ifeval+math+musr, budget=0.2, seed=41, coverage=0.9476
Finished 580: bbh+gpqa+ifeval+math+musr, budget=0.2, seed=51, coverage=0.9543
Finished 590: bbh+gpqa+ifeval+math+musr, budget=0.2, seed=61, coverage=0.9435
Finished 600: bbh+gpqa+ifeval+math+musr, budget=0.225, seed=38, coverage=0.9530
Finished 610: bbh+gpqa+ifeval+math+musr, budget=0.225, seed=48, coverage=0.9525
Finished 620: bbh+gpqa+ifeval+math+musr, budget=0.225, seed=58, coverage=0.9385
Finished 630: bbh+gpqa+ifeval+math+musr, budget=0.25, seed=35, coverage=0.9512
Finished 640: bbh+gpqa+ifeval+math+musr, budget=0.25, seed=45, coverage=0.9498
Finished 650: bbh+gpqa+ifeval+math+musr, budget=0.25, seed=55, coverage=0.9476
Finished 660: bbh+gpqa+ifeval+math+musr, budget=0.25, seed=65, coverage=0.9458
