dataset,n_full_obs,mcar_obs_prob,prop_budget,tau,mean_width,mean_width_se,coverage,n_seeds
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.275,0.05,0.03647068783640857,7.899705587340364e-06,0.9515461121157324,100
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.275,0.25,0.03353457935154434,1.8262048602038324e-06,0.9499547920433996,100
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.275,0.5,0.0330733291432261,1.1955033294788554e-06,0.9498508137432188,100
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.275,0.75,0.032897011898457965,9.694818055646042e-07,0.9498327305605787,100
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.3,0.05,0.03418509356677528,7.910029809166642e-06,0.9508996383363472,100
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.3,0.25,0.03151422452181573,1.8207933889249949e-06,0.9495840867992765,100
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.3,0.5,0.031096638105809638,1.1360121698021684e-06,0.9497920433996383,100
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.3,0.75,0.030936999786645124,9.086237067317458e-07,0.9499095840867993,100
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.325,0.05,0.03205758962780232,7.416672722818374e-06,0.9517314647377938,100
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.325,0.25,0.029704093243926713,1.6072714577956432e-06,0.9502215189873418,100
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.325,0.5,0.02932880787178869,1.0169854501668523e-06,0.9500858951175407,100
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.325,0.75,0.029183068275451605,8.218605088579722e-07,0.9501265822784809,100
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.35,0.05,0.030150333456695034,6.966531264221391e-06,0.9515958408679928,100
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.35,0.25,0.02806444887071843,1.641011503916341e-06,0.9502305605786618,100
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.35,0.5,0.02772593203932042,1.0333431552569926e-06,0.9501491862567812,100
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.35,0.75,0.02759297929704185,7.838955252112144e-07,0.9501808318264015,100
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.375,0.05,0.02847615256905551,5.381083371385734e-06,0.9510488245931283,100
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.375,0.25,0.026563516929745627,1.43304967028562e-06,0.9496066907775769,100
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.375,0.5,0.02625408077612514,9.109042351542749e-07,0.949882459312839,100
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.375,0.75,0.02613204417750235,7.120405539106525e-07,0.9500994575045207,100
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.4,0.05,0.026937959566712327,4.993576133928601e-06,0.9519077757685352,100
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.4,0.25,0.02518762392923231,1.2977545783670538e-06,0.9500949367088607,100
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.4,0.5,0.02490345254540438,8.989746565187236e-07,0.9500768535262206,100
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.4,0.75,0.024790292400866693,6.9346667042205e-07,0.9501537070524413,100
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.425,0.05,0.02540880741551514,4.786529579754904e-06,0.951008137432188,100
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.425,0.25,0.023902769740670876,1.2445593476484509e-06,0.9497920433996383,100
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.425,0.5,0.02364674059674139,8.223761228434963e-07,0.9499321880650995,100
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.425,0.75,0.02354280391708011,6.211909242453963e-07,0.9500180831826401,100
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.45,0.05,0.024062526188790755,4.6189705765415464e-06,0.9517947558770343,100
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.45,0.25,0.022703272141516163,1.1034597631467706e-06,0.9504882459312839,100
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.45,0.5,0.022468866109847975,7.367804757304351e-07,0.9505741410488245,100
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.45,0.75,0.022372534833848427,5.658625465419569e-07,0.9504520795660036,100
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.475,0.05,0.022794261649250934,4.485441626566167e-06,0.9513471971066907,100
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.475,0.25,0.02157918505370612,1.0725413429460155e-06,0.95,100
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.475,0.5,0.021365076806396197,6.84255636203474e-07,0.9502712477396021,100
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.475,0.75,0.02127569545060391,5.338335200876724e-07,0.9504113924050632,100
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.5,0.05,0.022849188558757255,6.247730407381991e-06,0.9519710669077758,100
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.5,0.25,0.020655491072684478,1.244462079549855e-06,0.9501627486437613,100
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.5,0.5,0.020345674697309683,6.838166072189802e-07,0.9501401446654612,100
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.5,0.75,0.020238545276224564,4.891473374079903e-07,0.9497061482820977,100
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.275,0.05,0.036470750756561705,7.981655642793597e-06,0.9515867992766727,100
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.275,0.25,0.033534982763230754,1.8151922010130943e-06,0.9500452079566003,100
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.275,0.5,0.03307363964617248,1.1954872239665545e-06,0.9498688969258589,100
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.275,0.75,0.032897660620510534,9.68901177990527e-07,0.9498372513562388,100
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.3,0.05,0.03418411258608098,7.990065229622412e-06,0.9509403254972875,100
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.3,0.25,0.03151391349732871,1.8288464633431771e-06,0.9498191681735985,100
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.3,0.5,0.03109623527154322,1.1380947726622725e-06,0.9497830018083182,100
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.3,0.75,0.030936660729348614,9.105017988066198e-07,0.9499141048824593,100
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.325,0.05,0.03205752216279502,7.448179610635439e-06,0.9517179023508138,100
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.325,0.25,0.02970410905778403,1.609287220572442e-06,0.9502757685352621,100
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.325,0.5,0.029328985568135933,1.018780585171417e-06,0.9500361663652802,100
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.325,0.75,0.029182967096567106,8.223732838902815e-07,0.9500858951175407,100
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.35,0.05,0.03015027485787864,6.9693435481154365e-06,0.9515596745027125,100
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.35,0.25,0.028064512703567693,1.6498051948328012e-06,0.9502124773960215,100
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.35,0.5,0.027725922763347576,1.0322034411941841e-06,0.9500316455696202,100
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.35,0.75,0.027593125458806704,7.829156211136632e-07,0.9501265822784809,100
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.375,0.05,0.028476499598473266,5.378455236438993e-06,0.9510352622061482,100
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.375,0.25,0.026563413348048882,1.431436959842601e-06,0.9497016274864376,100
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.375,0.5,0.026253915056586218,9.079155502094558e-07,0.9498056057866183,100
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.375,0.75,0.0261317896097898,7.125402447968452e-07,0.9500949367088607,100
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.4,0.05,0.026937763486057472,4.977788866705338e-06,0.9519303797468355,100
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.4,0.25,0.025187024250626515,1.3044474730584591e-06,0.9501537070524413,100
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.4,0.5,0.024903116617351725,8.986394242303496e-07,0.950131103074141,100
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.4,0.75,0.024789753220975354,6.925942203836089e-07,0.9501627486437613,100
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.425,0.05,0.02540813509374852,4.767797211214886e-06,0.9511573236889693,100
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.425,0.25,0.023902532253414342,1.240932878813059e-06,0.9498915009041591,100
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.425,0.5,0.02364641096442933,8.218537942012318e-07,0.9499593128390597,100
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.425,0.75,0.023542453292757223,6.22792998483462e-07,0.9500497287522603,100
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.45,0.05,0.024062187541276172,4.615931805361147e-06,0.9518037974683544,100
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.45,0.25,0.022702869959175538,1.1000378865810532e-06,0.9505605786618445,100
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.45,0.5,0.022468357775360298,7.347347960146466e-07,0.9505560578661845,100
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.45,0.75,0.02237181393429632,5.643470089428642e-07,0.9504204339963833,100
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.475,0.05,0.02279443746432657,4.421234757029751e-06,0.95125678119349,100
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.475,0.25,0.02157929265871639,1.0723551967083984e-06,0.9500180831826401,100
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.475,0.5,0.02136504767462607,6.842840343374443e-07,0.9503390596745027,100
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.475,0.75,0.021275511663407035,5.329741901984247e-07,0.9503616636528028,100
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.5,0.05,0.02284903822466726,6.366452633274633e-06,0.952002712477396,100
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.5,0.25,0.020655441079288676,1.2483359981349303e-06,0.9502215189873418,100
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.5,0.5,0.020345551967620792,6.842057729654614e-07,0.9500678119349005,100
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.5,0.75,0.02023865604773159,4.904783834805404e-07,0.9497151898734176,100
bbh+gpqa+ifeval+math+musr,0.0,0.001,0.275,0.05,0.03534264717251058,8.014023660687502e-06,0.9511166365280289,100
bbh+gpqa+ifeval+math+musr,0.0,0.001,0.275,0.25,0.03231420852243896,1.9016320306492252e-06,0.9498598553345389,100
bbh+gpqa+ifeval+math+musr,0.0,0.001,0.275,0.5,0.03179324414581056,1.2158188692224042e-06,0.949742314647378,100
bbh+gpqa+ifeval+math+musr,0.0,0.001,0.275,0.75,0.03160101331770415,1.0095291604836428e-06,0.9498417721518987,100
bbh+gpqa+ifeval+math+musr,0.0,0.001,0.3,0.05,0.03312406912446018,8.6804112910576e-06,0.9510669077757686,100
bbh+gpqa+ifeval+math+musr,0.0,0.001,0.3,0.25,0.0303555772453546,1.8401686762040823e-06,0.9500361663652802,100
bbh+gpqa+ifeval+math+musr,0.0,0.001,0.3,0.5,0.02987587587907906,1.1726344357007403e-06,0.9495840867992765,100
bbh+gpqa+ifeval+math+musr,0.0,0.001,0.3,0.75,0.029700220413505972,8.820958024593349e-07,0.9494936708860758,100
bbh+gpqa+ifeval+math+musr,0.0,0.001,0.325,0.05,0.031067124027758783,8.104203874120835e-06,0.9508996383363472,100
bbh+gpqa+ifeval+math+musr,0.0,0.001,0.325,0.25,0.02860420256853099,1.6260706369708185e-06,0.9499502712477396,100
bbh+gpqa+ifeval+math+musr,0.0,0.001,0.325,0.5,0.028164711985737036,1.0372006117766498e-06,0.949367088607595,100
bbh+gpqa+ifeval+math+musr,0.0,0.001,0.325,0.75,0.028002068921923584,8.09547233549868e-07,0.9500587703435803,100
bbh+gpqa+ifeval+math+musr,0.0,0.001,0.35,0.05,0.02921985002234573,6.5978099989094015e-06,0.9510171790235081,100
bbh+gpqa+ifeval+math+musr,0.0,0.001,0.35,0.25,0.02701980443671341,1.5424713774205526e-06,0.9496383363471971,100
bbh+gpqa+ifeval+math+musr,0.0,0.001,0.35,0.5,0.026614484973251775,1.025656089927103e-06,0.9498146473779384,100
bbh+gpqa+ifeval+math+musr,0.0,0.001,0.35,0.75,0.02646377936005588,8.040567597407885e-07,0.9500632911392405,100
bbh+gpqa+ifeval+math+musr,0.0,0.001,0.375,0.05,0.027606651224195904,5.414241049278765e-06,0.950881555153707,100
bbh+gpqa+ifeval+math+musr,0.0,0.001,0.375,0.25,0.025569775756448462,1.4530667126673136e-06,0.9501356238698011,100
bbh+gpqa+ifeval+math+musr,0.0,0.001,0.375,0.5,0.025192043501883695,9.018105118847125e-07,0.9500723327305606,100
bbh+gpqa+ifeval+math+musr,0.0,0.001,0.375,0.75,0.025051475651562165,7.183017459851017e-07,0.9497151898734176,100
bbh+gpqa+ifeval+math+musr,0.0,0.001,0.4,0.05,0.026131006292998745,5.491670822557313e-06,0.9513200723327305,100
bbh+gpqa+ifeval+math+musr,0.0,0.001,0.4,0.25,0.02424348600208754,1.3210497825740854e-06,0.9505153707052441,100
bbh+gpqa+ifeval+math+musr,0.0,0.001,0.4,0.5,0.02388787504285569,8.612507405153313e-07,0.9502486437613019,100
bbh+gpqa+ifeval+math+musr,0.0,0.001,0.4,0.75,0.02375571547076101,6.695505023157509e-07,0.9500452079566003,100
bbh+gpqa+ifeval+math+musr,0.0,0.001,0.425,0.05,0.02464550955221052,5.2559086159104575e-06,0.9510171790235081,100
bbh+gpqa+ifeval+math+musr,0.0,0.001,0.425,0.25,0.023005153816193294,1.2184050902713835e-06,0.9507278481012658,100
bbh+gpqa+ifeval+math+musr,0.0,0.001,0.425,0.5,0.022676332574337682,8.066445108122522e-07,0.9506057866184449,100
bbh+gpqa+ifeval+math+musr,0.0,0.001,0.425,0.75,0.0225521401688456,6.364724522902099e-07,0.9500723327305606,100
