dataset,n_full_obs,mcar_obs_prob,prop_budget,tau,mean_width,mean_width_se,coverage,n_seeds
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.275,0.75,0.032897011898457965,9.694818055646042e-07,0.9498327305605787,100
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.3,0.75,0.030936999786645124,9.086237067317458e-07,0.9499095840867993,100
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.325,0.75,0.029183068275451605,8.218605088579722e-07,0.9501265822784809,100
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.35,0.75,0.02759297929704185,7.838955252112144e-07,0.9501808318264015,100
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.375,0.75,0.02613204417750235,7.120405539106525e-07,0.9500994575045207,100
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.4,0.75,0.024790292400866693,6.9346667042205e-07,0.9501537070524413,100
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.425,0.75,0.02354280391708011,6.211909242453963e-07,0.9500180831826401,100
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.45,0.75,0.022372534833848427,5.658625465419569e-07,0.9504520795660036,100
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.475,0.75,0.02127569545060391,5.338335200876724e-07,0.9504113924050632,100
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.5,0.75,0.020238545276224564,4.891473374079903e-07,0.9497061482820977,100
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.275,0.75,0.032897660620510534,9.68901177990527e-07,0.9498372513562388,100
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.3,0.75,0.030936660729348614,9.105017988066198e-07,0.9499141048824593,100
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.325,0.75,0.029182967096567106,8.223732838902815e-07,0.9500858951175407,100
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.35,0.75,0.027593125458806704,7.829156211136632e-07,0.9501265822784809,100
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.375,0.75,0.0261317896097898,7.125402447968452e-07,0.9500949367088607,100
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.4,0.75,0.024789753220975354,6.925942203836089e-07,0.9501627486437613,100
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.425,0.75,0.023542453292757223,6.22792998483462e-07,0.9500497287522603,100
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.45,0.75,0.02237181393429632,5.643470089428642e-07,0.9504204339963833,100
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.475,0.75,0.021275511663407035,5.329741901984247e-07,0.9503616636528028,100
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.5,0.75,0.02023865604773159,4.904783834805404e-07,0.9497151898734176,100
