dataset,n_full_obs,mcar_obs_prob,prop_budget,tau,seed,N_B,N_labels,mean_width,coverage
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,0,2632,2471.98876953125,0.024959366768598557,0.9439421338155515
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,1,2632,2472.83740234375,0.0248885415494442,0.9421338155515371
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,2,2632,2472.4169921875,0.024933528155088425,0.9489150090415913
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,3,2632,2471.5390625,0.024868259206414223,0.9439421338155515
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,4,2632,2472.93310546875,0.02472551539540291,0.9439421338155515
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,5,2632,2471.980224609375,0.024891765788197517,0.9489150090415913
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,6,2632,2470.941650390625,0.02473451755940914,0.9498191681735986
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,7,2632,2472.784912109375,0.024753239005804062,0.9389692585895117
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,8,2632,2472.6416015625,0.024918826296925545,0.945750452079566
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,9,2632,2472.614013671875,0.024768322706222534,0.9475587703435805
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,10,2632,2471.859375,0.02497245743870735,0.9520795660036167
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,11,2632,2471.27392578125,0.025117594748735428,0.9462025316455696
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,12,2632,2472.655517578125,0.024958550930023193,0.9484629294755876
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,13,2632,2472.881103515625,0.02522941119968891,0.945750452079566
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,14,2632,2471.68994140625,0.02490878477692604,0.9430379746835442
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,15,2632,2471.755126953125,0.025144759565591812,0.9439421338155515
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,16,2632,2472.596435546875,0.025002986192703247,0.9439421338155515
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,17,2632,2472.07275390625,0.02523338980972767,0.9421338155515371
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,18,2632,2471.19482421875,0.02513132430613041,0.9448462929475587
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,19,2632,2472.332763671875,0.02504192665219307,0.9466546112115732
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,20,2632,2472.614013671875,0.025075888261198997,0.9439421338155515
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,21,2632,2472.1279296875,0.024958882480859756,0.9439421338155515
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,22,2632,2473.151611328125,0.025236349552869797,0.945750452079566
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,23,2632,2472.742919921875,0.024821028113365173,0.9480108499095841
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,24,2632,2472.1669921875,0.024952156469225883,0.9520795660036167
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,25,2632,2472.868408203125,0.024972014129161835,0.9376130198915009
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,26,2632,2472.2763671875,0.024919657036662102,0.9475587703435805
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,27,2632,2472.240966796875,0.02477545104920864,0.9484629294755876
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,28,2632,2472.188232421875,0.0250727366656065,0.9448462929475587
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,29,2632,2471.783935546875,0.025005292147397995,0.9471066907775768
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,30,2632,2472.228271484375,0.024705830961465836,0.9371609403254972
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,31,2632,2471.70068359375,0.025045029819011688,0.9466546112115732
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,32,2632,2471.642822265625,0.025236068293452263,0.9511754068716094
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,33,2632,2471.970703125,0.02504810318350792,0.945750452079566
