dataset,n_full_obs,mcar_obs_prob,prop_budget,tau,seed,N_B,N_labels,mean_width,coverage
mmlu-pro,None,1.0,0.275,0.05,0,3308,3030.705810546875,0.016117308288812637,0.9299593312245821
mmlu-pro,None,1.0,0.275,0.05,1,3308,3031.062255859375,0.016119766980409622,0.9371893357433349
mmlu-pro,None,1.0,0.275,0.05,2,3308,3031.6162109375,0.01606965996325016,0.9340262087663805
mmlu-pro,None,1.0,0.275,0.05,3,3308,3031.699951171875,0.0162636898458004,0.9426118391323995
mmlu-pro,None,1.0,0.275,0.05,4,3308,3031.005859375,0.01618560589849949,0.9385449615906011
mmlu-pro,None,1.0,0.275,0.05,5,3308,3033.509521484375,0.016274962574243546,0.9394487121554451
mmlu-pro,None,1.0,0.275,0.05,6,3308,3031.565185546875,0.016153927892446518,0.9417080885675554
mmlu-pro,None,1.0,0.275,0.05,7,3308,3030.116455078125,0.016150372102856636,0.9344780840488026
mmlu-pro,None,1.0,0.275,0.05,8,3308,3031.848876953125,0.01624688133597374,0.9453230908269318
mmlu-pro,None,1.0,0.275,0.05,9,3308,3030.44189453125,0.016189012676477432,0.9430637144148215
mmlu-pro,None,1.0,0.275,0.05,10,3308,3030.000244140625,0.015998201444745064,0.9322187076366923
mmlu-pro,None,1.0,0.275,0.05,11,3308,3029.947509765625,0.016187798231840134,0.9340262087663805
mmlu-pro,None,1.0,0.275,0.05,12,3308,3032.7265625,0.016221964731812477,0.9376412110257569
mmlu-pro,None,1.0,0.275,0.05,13,3308,3031.042724609375,0.01611049473285675,0.938093086308179
mmlu-pro,None,1.0,0.275,0.05,14,3308,3031.079833984375,0.01624700054526329,0.9489380930863082
mmlu-pro,None,1.0,0.275,0.05,15,3308,3031.5576171875,0.016225874423980713,0.9353818346136467
mmlu-pro,None,1.0,0.275,0.05,16,3308,3032.19384765625,0.016225352883338928,0.9484862178038862
mmlu-pro,None,1.0,0.275,0.05,17,3308,3031.92724609375,0.01621928997337818,0.9353818346136467
mmlu-pro,None,1.0,0.275,0.05,18,3308,3029.958740234375,0.016069000586867332,0.947582467239042
mmlu-pro,None,1.0,0.275,0.05,19,3308,3031.251708984375,0.01626039668917656,0.9403524627202893
mmlu-pro,None,1.0,0.275,0.05,20,3308,3031.3369140625,0.016174806281924248,0.9353818346136467
mmlu-pro,None,1.0,0.275,0.05,21,3308,3032.56396484375,0.0162343792617321,0.9484862178038862
mmlu-pro,None,1.0,0.275,0.05,22,3308,3031.947509765625,0.01610993966460228,0.9412562132851333
mmlu-pro,None,1.0,0.275,0.05,23,3308,3030.84765625,0.016233371570706367,0.9385449615906011
mmlu-pro,None,1.0,0.275,0.05,24,3308,3032.176513671875,0.016155727207660675,0.94713059195662
mmlu-pro,None,1.0,0.275,0.05,25,3308,3030.660888671875,0.016277259215712547,0.9349299593312246
mmlu-pro,None,1.0,0.275,0.05,26,3308,3031.65185546875,0.016338372603058815,0.9367374604609128
mmlu-pro,None,1.0,0.275,0.05,27,3308,3029.994873046875,0.016130972653627396,0.9426118391323995
mmlu-pro,None,1.0,0.275,0.05,28,3308,3031.093994140625,0.016352199018001556,0.9344780840488026
mmlu-pro,None,1.0,0.275,0.05,29,3308,3030.97900390625,0.01612001098692417,0.9376412110257569
mmlu-pro,None,1.0,0.275,0.05,30,3308,3032.375,0.01625986397266388,0.9408043380027112
mmlu-pro,None,1.0,0.275,0.05,31,3308,3032.34423828125,0.01611107587814331,0.9335743334839585
mmlu-pro,None,1.0,0.275,0.05,32,3308,3031.93798828125,0.016244247555732727,0.9408043380027112
mmlu-pro,None,1.0,0.275,0.05,33,3308,3030.851806640625,0.01633070595562458,0.9430637144148215
mmlu-pro,None,1.0,0.275,0.05,34,3308,3031.82275390625,0.01625807397067547,0.9439674649796657
mmlu-pro,None,1.0,0.275,0.05,35,3308,3030.31982421875,0.01626008376479149,0.9417080885675554
mmlu-pro,None,1.0,0.275,0.05,36,3308,3031.267822265625,0.01630171574652195,0.9426118391323995
mmlu-pro,None,1.0,0.275,0.05,37,3308,3031.039306640625,0.016172582283616066,0.9435155896972436
mmlu-pro,None,1.0,0.275,0.05,38,3308,3031.995849609375,0.01628832146525383,0.9394487121554451
mmlu-pro,None,1.0,0.275,0.05,39,3308,3031.430908203125,0.016208045184612274,0.938996836873023
mmlu-pro,None,1.0,0.275,0.05,40,3308,3032.535400390625,0.016065726056694984,0.9371893357433349
mmlu-pro,None,1.0,0.275,0.05,41,3308,3032.061767578125,0.016392657533288002,0.9421599638499775
mmlu-pro,None,1.0,0.275,0.05,42,3308,3031.71533203125,0.01623927615582943,0.9322187076366923
mmlu-pro,None,1.0,0.275,0.05,43,3308,3032.196533203125,0.016205832362174988,0.9444193402620877
mmlu-pro,None,1.0,0.275,0.05,44,3308,3029.898193359375,0.016242891550064087,0.9435155896972436
mmlu-pro,None,1.0,0.275,0.05,45,3308,3031.8525390625,0.016114814206957817,0.9444193402620877
mmlu-pro,None,1.0,0.275,0.05,46,3308,3031.22412109375,0.016154471784830093,0.9430637144148215
mmlu-pro,None,1.0,0.275,0.05,47,3308,3031.085205078125,0.016218561679124832,0.9358337098960687
mmlu-pro,None,1.0,0.275,0.05,48,3308,3030.911865234375,0.016273798421025276,0.9417080885675554
mmlu-pro,None,1.0,0.275,0.05,49,3308,3031.65380859375,0.01628248579800129,0.94713059195662
mmlu-pro,None,1.0,0.275,0.05,50,3308,3031.66455078125,0.01612953655421734,0.9408043380027112
mmlu-pro,None,1.0,0.275,0.05,51,3308,3032.017578125,0.016283424571156502,0.9394487121554451
mmlu-pro,None,1.0,0.275,0.05,52,3308,3031.251953125,0.01609751209616661,0.9308630817894261
mmlu-pro,None,1.0,0.275,0.05,53,3308,3032.348388671875,0.016238361597061157,0.9408043380027112
mmlu-pro,None,1.0,0.275,0.05,54,3308,3030.260986328125,0.016041195020079613,0.9430637144148215
mmlu-pro,None,1.0,0.275,0.05,55,3308,3031.77294921875,0.016125692054629326,0.9493899683687302
mmlu-pro,None,1.0,0.275,0.05,56,3308,3032.482421875,0.016186194494366646,0.947582467239042
mmlu-pro,None,1.0,0.275,0.05,57,3308,3031.34423828125,0.01621665060520172,0.938093086308179
mmlu-pro,None,1.0,0.275,0.05,58,3308,3031.80322265625,0.01603063754737377,0.9322187076366923
mmlu-pro,None,1.0,0.275,0.05,59,3308,3032.02294921875,0.01608947291970253,0.9480343425214641
mmlu-pro,None,1.0,0.275,0.05,60,3308,3030.62841796875,0.01624392531812191,0.9448712155445097
mmlu-pro,None,1.0,0.275,0.05,61,3308,3030.6669921875,0.01614573411643505,0.9394487121554451
mmlu-pro,None,1.0,0.275,0.05,62,3308,3031.469970703125,0.01620445027947426,0.9385449615906011
mmlu-pro,None,1.0,0.275,0.05,63,3308,3030.193359375,0.016241228207945824,0.9412562132851333
mmlu-pro,None,1.0,0.275,0.05,64,3308,3030.461669921875,0.016382751986384392,0.9502937189335744
mmlu-pro,None,1.0,0.275,0.05,65,3308,3031.599609375,0.016231000423431396,0.9408043380027112
mmlu-pro,None,1.0,0.275,0.05,66,3308,3028.95654296875,0.016131579875946045,0.9367374604609128
mmlu-pro,None,1.0,0.275,0.05,67,3308,3032.373046875,0.01637996733188629,0.9399005874378672
mmlu-pro,None,1.0,0.275,0.05,68,3308,3030.47900390625,0.01629360392689705,0.9408043380027112
mmlu-pro,None,1.0,0.275,0.05,69,3308,3030.881591796875,0.01618337631225586,0.9385449615906011
mmlu-pro,None,1.0,0.275,0.05,70,3308,3029.783935546875,0.01609932817518711,0.9426118391323995
mmlu-pro,None,1.0,0.275,0.05,71,3308,3032.354248046875,0.016181327402591705,0.9376412110257569
mmlu-pro,None,1.0,0.275,0.05,72,3308,3032.21240234375,0.016359340399503708,0.9394487121554451
mmlu-pro,None,1.0,0.275,0.05,73,3308,3031.977294921875,0.016271620988845825,0.9430637144148215
mmlu-pro,None,1.0,0.275,0.05,74,3308,3031.8125,0.016313748434185982,0.9376412110257569
mmlu-pro,None,1.0,0.275,0.05,75,3308,3032.8037109375,0.016221335157752037,0.9435155896972436
mmlu-pro,None,1.0,0.275,0.05,76,3308,3031.609130859375,0.01615023799240589,0.9394487121554451
mmlu-pro,None,1.0,0.275,0.05,77,3308,3031.632568359375,0.016006028279662132,0.9453230908269318
