dataset,n_full_obs,mcar_obs_prob,prop_budget,ess_multiplier,ess_multiplier_serr,coverage,coverage_serr,mean_width,mean_width_serr
bbh+gpqa+ifeval+math+musr,,1.0,0.025,1.704705441296092,0.0009541600361607809,0.9445660036166365,0.0005364023292770829,0.09276516593992706,2.5055956289489364e-05
bbh+gpqa+ifeval+math+musr,,1.0,0.05,2.1146310439043066,0.0008333763772164552,0.9465732368896925,0.000436673774186376,0.05877734996378417,1.139090996923377e-05
bbh+gpqa+ifeval+math+musr,,1.0,0.075,2.423157984788773,0.000767089310844516,0.9466455696202531,0.00047644618711100193,0.04466897565871473,6.938388306134877e-06
bbh+gpqa+ifeval+math+musr,,1.0,0.1,2.674674388879471,0.0007659901948648216,0.9473508137432188,0.0004683810878756159,0.036704530753195234,5.217274219275099e-06
bbh+gpqa+ifeval+math+musr,,1.0,0.125,2.8957055546430026,0.0007235284703612537,0.9469394213381556,0.00042751377793663587,0.03144187007099385,3.891238178692478e-06
bbh+gpqa+ifeval+math+musr,,1.0,0.15,3.100372840384149,0.0007252955245707095,0.9466817359855334,0.0004824672968898766,0.02762467378750438,3.198502274015687e-06
bbh+gpqa+ifeval+math+musr,,1.0,0.175,3.2961038479257616,0.0007090862107501331,0.9455334538878843,0.00043851835594467797,0.02470636844635005,2.6532921020215545e-06
bbh+gpqa+ifeval+math+musr,,1.0,0.2,3.4896116051059898,0.00069844466784222,0.9443942133815552,0.0004995448726740713,0.02236675433814521,2.2389390144301235e-06
bbh+gpqa+ifeval+math+musr,,1.0,0.225,3.6864710390330613,0.0007155244616666068,0.9425858951175407,0.0005118327735938095,0.020421082172542765,1.997260210148364e-06
bbh+gpqa+ifeval+math+musr,,1.0,0.25,3.889169843619647,0.0007074922748769563,0.9400452079566003,0.0004641021058332151,0.018774282801896285,1.7316483335608825e-06
mmlu-pro,,1.0,0.025,2.171230774255342,0.001363511227371173,0.9413556258472662,0.0004973150333311243,0.06840664662420747,2.1591266429757902e-05
mmlu-pro,,1.0,0.05,2.7081652127247513,0.0012107058930115714,0.9449887031179395,0.0004769510205317504,0.04310417104512448,9.802948782415238e-06
mmlu-pro,,1.0,0.075,3.093724027014838,0.0011544777738395772,0.9465702666064166,0.00047671311791939346,0.03276310507208105,6.241379784032857e-06
mmlu-pro,,1.0,0.1,3.406337136771705,0.0010983891150239027,0.9462132851333033,0.00045221543018030474,0.02689792513847346,4.479335410378576e-06
mmlu-pro,,1.0,0.125,3.6820957798462657,0.0010975650011701905,0.9456936285585179,0.0004562532403012573,0.023014971110969732,3.51406270790241e-06
mmlu-pro,,1.0,0.15,3.9464000443198404,0.001615269279923615,0.9388929055580659,0.0004972434864460774,0.020186979565769383,4.16980594552807e-06
mmlu-pro,,1.0,0.175,4.235998087447043,0.0016782889352760292,0.9351152281970176,0.0005372864690588714,0.01793528310954566,3.5931933927181704e-06
mmlu-pro,,1.0,0.2,4.533695856494301,0.0017343657689776557,0.9295300497062812,0.0005455636675546088,0.016120583433657836,3.1087882451157303e-06
mmlu-pro,,1.0,0.225,4.849549838515052,0.0018146591290788831,0.9217803886127429,0.0005504986117107312,0.014605882959440304,2.7636104179114804e-06
mmlu-pro,,1.0,0.25,5.191998807383604,0.001999783251765047,0.9102982376863986,0.0006118924195800768,0.013307833457365581,2.60420841986662e-06
