dataset,n_full_obs,mcar_obs_prob,prop_budget,ess_multiplier,ess_multiplier_serr,coverage,coverage_serr,mean_width,mean_width_serr
bbh+gpqa+ifeval+math+musr,,1.0,0.025,1.4903203205288909,0.0003257781839808728,0.9479339963833634,0.000531541641426774,0.09921231597661967,1.0047847743182494e-05
bbh+gpqa+ifeval+math+musr,,1.0,0.05,1.5139163708447807,0.00022389480567217273,0.9502034358047016,0.0005267946322053687,0.06946631133556362,5.180816797725311e-06
bbh+gpqa+ifeval+math+musr,,1.0,0.075,1.5402097894690163,0.00017660539298454712,0.9507504520795659,0.0004815250305890537,0.05602805409580465,3.305971368502348e-06
bbh+gpqa+ifeval+math+musr,,1.0,0.1,1.567654862891006,0.00017166135183554308,0.9505741410488245,0.00045834043914233627,0.04794339559972282,2.693658560843557e-06
bbh+gpqa+ifeval+math+musr,,1.0,0.125,1.5966056111126312,0.00014836827534743264,0.9500768535262206,0.0004974433805278425,0.04234341513365502,1.97993103155074e-06
bbh+gpqa+ifeval+math+musr,,1.0,0.15,1.626779899012347,0.00013157607198235237,0.9504656419529838,0.0004618045008033261,0.038136334717273665,1.5477835158626478e-06
bbh+gpqa+ifeval+math+musr,,1.0,0.175,1.658071340381903,0.00012188524213976252,0.9503933092224232,0.00047086190711020573,0.03483430046588178,1.3068310483480864e-06
bbh+gpqa+ifeval+math+musr,,1.0,0.2,1.690686570214177,0.00011683769993757356,0.9499050632911392,0.00047247432520002204,0.03213360078632827,1.1169494359270995e-06
bbh+gpqa+ifeval+math+musr,,1.0,0.225,1.72495737421745,0.00011350241927553893,0.9502983725135624,0.0005085479552679018,0.02985344415530558,9.987786586889818e-07
bbh+gpqa+ifeval+math+musr,,1.0,0.25,1.7606572143672947,0.0001134815815209528,0.9495569620253164,0.0005489332821754676,0.027903195042163084,9.272972086333358e-07
mmlu-pro,,1.0,0.025,1.5857107786664688,0.0003870314673775761,0.9480027112516946,0.0004517499723551648,0.08004495359957214,1.0806910881968845e-05
mmlu-pro,,1.0,0.05,1.6013301246686649,0.00029000092989928534,0.9498011748757343,0.000478396431045655,0.05605492372065778,5.866886035657995e-06
mmlu-pro,,1.0,0.075,1.620511906034093,0.0002516635426110848,0.9513375508359693,0.0004495732991316624,0.04526868455111976,3.978616775004564e-06
mmlu-pro,,1.0,0.1,1.640825162097075,0.0002298802675930149,0.9513420695887934,0.00048195237270094076,0.038755208067595914,3.0614341477716156e-06
mmlu-pro,,1.0,0.125,1.6623538923234242,0.00020059496707226782,0.9513375508359693,0.00046588510070656264,0.03425271727144714,2.301897363492875e-06
mmlu-pro,,1.0,0.15,1.6849757336273732,0.00018638721357891718,0.9527474017171261,0.00040479444756190994,0.030893887840211343,1.8774778551419884e-06
mmlu-pro,,1.0,0.175,1.708895250225736,0.000163811814735757,0.9525259828287393,0.0004358825342576624,0.02823748415336008,1.4714739515833447e-06
mmlu-pro,,1.0,0.2,1.7339580602957114,0.00014858627091497787,0.9526118391323994,0.00042417165324695316,0.026066661048680495,1.2035587261854346e-06
mmlu-pro,,1.0,0.225,1.7603519701211565,0.0001531856983194052,0.9522367826479892,0.00036617700801756917,0.02424245661124582,1.1135639215931072e-06
mmlu-pro,,1.0,0.25,1.7881256008454052,0.00014336325881955395,0.951802982376864,0.0003915314878548937,0.022676359321922013,9.717410586142814e-07
