dataset,n_full_obs,mcar_obs_prob,prop_budget,seed,mean_width,coverage,ess_multiplier
bbh+gpqa+ifeval+math+musr,,1.0,0.025,0,0.0919147282838821,0.9462025316455696,2.996000019663993
bbh+gpqa+ifeval+math+musr,,1.0,0.025,1,0.091770127415657,0.945750452079566,3.013366485818512
bbh+gpqa+ifeval+math+musr,,1.0,0.025,2,0.0913764461874961,0.9462025316455696,3.027138113164338
bbh+gpqa+ifeval+math+musr,,1.0,0.025,3,0.0917201191186904,0.945750452079566,3.013684443285936
bbh+gpqa+ifeval+math+musr,,1.0,0.025,4,0.0919545888900756,0.9443942133815552,2.9998741973161853
bbh+gpqa+ifeval+math+musr,,1.0,0.025,5,0.0915912538766861,0.9466546112115732,3.0134940297156927
bbh+gpqa+ifeval+math+musr,,1.0,0.025,6,0.0919609889388084,0.951627486437613,2.9970526814741567
bbh+gpqa+ifeval+math+musr,,1.0,0.025,7,0.0914744734764099,0.9547920433996384,3.0312856166452407
bbh+gpqa+ifeval+math+musr,,1.0,0.025,8,0.0916144028306007,0.948010849909584,3.011247608963407
bbh+gpqa+ifeval+math+musr,,1.0,0.025,9,0.0912409946322441,0.9547920433996384,3.031148439009705
bbh+gpqa+ifeval+math+musr,,1.0,0.025,10,0.0921520143747329,0.9498191681735986,2.988881752866595
bbh+gpqa+ifeval+math+musr,,1.0,0.025,11,0.0917947217822074,0.9547920433996384,3.0068785626974304
bbh+gpqa+ifeval+math+musr,,1.0,0.025,12,0.0920779407024383,0.9484629294755876,2.9875378647752058
bbh+gpqa+ifeval+math+musr,,1.0,0.025,13,0.091535784304142,0.9466546112115732,3.0199876239473724
bbh+gpqa+ifeval+math+musr,,1.0,0.025,14,0.0922726988792419,0.9511754068716094,2.972007406467817
bbh+gpqa+ifeval+math+musr,,1.0,0.025,15,0.0915510505437851,0.9498191681735986,3.008647781944522
bbh+gpqa+ifeval+math+musr,,1.0,0.025,16,0.0919021293520927,0.948010849909584,2.992049471029793
bbh+gpqa+ifeval+math+musr,,1.0,0.025,17,0.0920318812131881,0.951627486437613,2.9863304743081827
bbh+gpqa+ifeval+math+musr,,1.0,0.025,18,0.0916804522275924,0.9462025316455696,3.011712607951489
bbh+gpqa+ifeval+math+musr,,1.0,0.025,19,0.0920833349227905,0.9525316455696202,2.9706428050398177
bbh+gpqa+ifeval+math+musr,,1.0,0.025,20,0.0916437655687332,0.940777576853526,3.021795723759671
bbh+gpqa+ifeval+math+musr,,1.0,0.025,21,0.0913563221693039,0.940777576853526,3.0323999925935006
bbh+gpqa+ifeval+math+musr,,1.0,0.025,22,0.0919490605592727,0.9556962025316456,2.992704417160521
bbh+gpqa+ifeval+math+musr,,1.0,0.025,23,0.0916802212595939,0.9466546112115732,3.016201897813321
bbh+gpqa+ifeval+math+musr,,1.0,0.025,24,0.0914528518915176,0.9498191681735986,3.041316079082872
bbh+gpqa+ifeval+math+musr,,1.0,0.025,25,0.0913665443658828,0.9371609403254972,3.0273249096781143
bbh+gpqa+ifeval+math+musr,,1.0,0.025,26,0.091998815536499,0.9443942133815552,2.9899813248709006
bbh+gpqa+ifeval+math+musr,,1.0,0.025,27,0.0918519422411918,0.9520795660036168,2.9992920142232973
bbh+gpqa+ifeval+math+musr,,1.0,0.025,28,0.0921216160058975,0.948010849909584,2.9852422985640534
bbh+gpqa+ifeval+math+musr,,1.0,0.025,29,0.0922289416193962,0.950271247739602,2.9799991044635723
bbh+gpqa+ifeval+math+musr,,1.0,0.025,30,0.0916458591818809,0.9520795660036168,3.0212744175009556
bbh+gpqa+ifeval+math+musr,,1.0,0.025,31,0.092186763882637,0.9403254972875226,2.981438097204243
bbh+gpqa+ifeval+math+musr,,1.0,0.025,32,0.0920256450772285,0.9511754068716094,2.9998875968405745
bbh+gpqa+ifeval+math+musr,,1.0,0.025,33,0.091600701212883,0.950271247739602,3.0276905442544586
bbh+gpqa+ifeval+math+musr,,1.0,0.025,34,0.0920975804328918,0.9525316455696202,2.9949981678659605
bbh+gpqa+ifeval+math+musr,,1.0,0.025,35,0.0916803553700447,0.9507233273056056,3.0224492842792157
bbh+gpqa+ifeval+math+musr,,1.0,0.025,36,0.0917469039559364,0.945750452079566,3.004190968289852
bbh+gpqa+ifeval+math+musr,,1.0,0.025,37,0.091801181435585,0.9475587703435804,3.0211971488478295
bbh+gpqa+ifeval+math+musr,,1.0,0.025,38,0.0919674038887023,0.9489150090415912,2.994677156676544
bbh+gpqa+ifeval+math+musr,,1.0,0.025,39,0.0918318629264831,0.9448462929475588,3.0004396172761014
bbh+gpqa+ifeval+math+musr,,1.0,0.025,40,0.0924363657832145,0.9462025316455696,2.9596555422454225
