dataset,n_full_obs,mcar_obs_prob,prop_budget,ess_multiplier,ess_multiplier_serr,coverage,coverage_serr,mean_width,mean_width_serr
bbh+gpqa+ifeval+math+musr,,1.0,0.025,3.0082072749672766,0.00202971508813471,0.948494575045208,0.0004574928879061092,0.09175034798681732,2.954529164354737e-05
bbh+gpqa+ifeval+math+musr,,1.0,0.05,3.6693126020725213,0.0018792889967561952,0.9480922242314647,0.0003617994794901163,0.0580182664468884,1.4185765547847686e-05
bbh+gpqa+ifeval+math+musr,,1.0,0.075,4.117555902473037,0.0016807934103604924,0.9494394213381555,0.0004906517714061853,0.044104310311377,8.639283720233003e-06
bbh+gpqa+ifeval+math+musr,,1.0,0.1,4.43977598013288,0.001566069193031977,0.9498146473779384,0.00047421013597211765,0.036292684637010054,6.028670185839044e-06
bbh+gpqa+ifeval+math+musr,,1.0,0.125,4.685891551227816,0.001492907342665935,0.9501537070524413,0.0004565155803966215,0.031160853076726145,4.588630529363658e-06
bbh+gpqa+ifeval+math+musr,,1.0,0.15,4.8815159471526055,0.001450339656706065,0.9497151898734176,0.00048319564857069017,0.027461632490158035,3.780824842653574e-06
bbh+gpqa+ifeval+math+musr,,1.0,0.175,5.038927214389311,0.0013929933046152654,0.9497468354430381,0.0004971305776579751,0.024657262116670554,3.1998063525246336e-06
bbh+gpqa+ifeval+math+musr,,1.0,0.2,5.167611436364328,0.001357323282931744,0.9503345388788427,0.00045910392093500153,0.02243008896708483,2.7619015313014335e-06
bbh+gpqa+ifeval+math+musr,,1.0,0.225,5.274134229851661,0.0013107830408028351,0.9505515370705244,0.00046980519935715584,0.02059932947158809,2.4076248969942343e-06
bbh+gpqa+ifeval+math+musr,,1.0,0.25,5.360900778673916,0.001229678007494102,0.9502124773960218,0.0004875678907947209,0.01907026840373869,2.0874725807611065e-06
mmlu-pro,,1.0,0.025,3.499570701032557,0.002409102583213665,0.9466018978761862,0.00045324503583561585,0.0677305699884891,2.2713422346188852e-05
mmlu-pro,,1.0,0.05,4.301310950121055,0.0034396945240395015,0.9465386353366472,0.000505423966870896,0.04262829478830095,1.666232744847829e-05
mmlu-pro,,1.0,0.075,4.874072760866033,0.0031647107069368414,0.9481156800723001,0.0004520751587962457,0.03226236972957845,1.0315403060033546e-05
mmlu-pro,,1.0,0.1,5.289960164740902,0.002873299975681918,0.9487528242205151,0.0004843947273535508,0.02645333543419833,7.2433114152982625e-06
mmlu-pro,,1.0,0.125,5.6112787583462564,0.0027629251454924335,0.9491233619521013,0.00046824322498033864,0.022650601286441044,5.583361864791535e-06
mmlu-pro,,1.0,0.15,5.87162304464068,0.002646199754060919,0.949159511974695,0.0004792751409970615,0.019928605426102825,4.50121483390873e-06
mmlu-pro,,1.0,0.175,6.088078108738326,0.0025995324789170817,0.9491143244464528,0.0004938738939632995,0.017849669232964473,3.815567764580837e-06
mmlu-pro,,1.0,0.2,6.270759834913702,0.002578151631529633,0.948504292815183,0.0005336590291020198,0.016200047452002715,3.3077811150183367e-06
mmlu-pro,,1.0,0.225,6.426257509178098,0.0025520893647323845,0.9492634432896522,0.0004950495690933831,0.014849609602242662,2.9559552994335296e-06
mmlu-pro,,1.0,0.25,6.557492755171406,0.002472319510010538,0.9498734749209219,0.0004262380483609343,0.01371874149888749,2.5765632735541875e-06
