dataset,n_full_obs,mcar_obs_prob,prop_budget,seed,mean_width,coverage,ess_multiplier
bbh+gpqa+ifeval+math+musr,,1.0,0.025,0,0.0904624760150909,0.945750452079566,3.092965574886057
bbh+gpqa+ifeval+math+musr,,1.0,0.025,1,0.0899369046092033,0.9498191681735986,3.1374639958437087
bbh+gpqa+ifeval+math+musr,,1.0,0.025,2,0.0903144776821136,0.9493670886075948,3.0987462472386906
bbh+gpqa+ifeval+math+musr,,1.0,0.025,3,0.0906409248709678,0.9389692585895116,3.085875069872138
bbh+gpqa+ifeval+math+musr,,1.0,0.025,4,0.0901953876018524,0.9507233273056056,3.118036525114542
bbh+gpqa+ifeval+math+musr,,1.0,0.025,5,0.0909939110279083,0.9475587703435804,3.053188940337957
bbh+gpqa+ifeval+math+musr,,1.0,0.025,6,0.0901419520378112,0.9448462929475588,3.1192323461394262
bbh+gpqa+ifeval+math+musr,,1.0,0.025,7,0.0899200066924095,0.9412296564195298,3.136996502321165
bbh+gpqa+ifeval+math+musr,,1.0,0.025,8,0.090087741613388,0.943490054249548,3.114171878729482
bbh+gpqa+ifeval+math+musr,,1.0,0.025,9,0.090430699288845,0.939873417721519,3.0857124182650875
bbh+gpqa+ifeval+math+musr,,1.0,0.025,10,0.0907672420144081,0.9394213381555152,3.08077598823292
bbh+gpqa+ifeval+math+musr,,1.0,0.025,11,0.0901819318532943,0.9475587703435804,3.1153886960869603
bbh+gpqa+ifeval+math+musr,,1.0,0.025,12,0.0903469920158386,0.9475587703435804,3.103110338988262
bbh+gpqa+ifeval+math+musr,,1.0,0.025,13,0.0901743844151496,0.9452983725135624,3.111863973880465
bbh+gpqa+ifeval+math+musr,,1.0,0.025,14,0.0903522744774818,0.9534358047016276,3.0996892337098343
bbh+gpqa+ifeval+math+musr,,1.0,0.025,15,0.0903966948390007,0.9425858951175408,3.085978595106081
bbh+gpqa+ifeval+math+musr,,1.0,0.025,16,0.0904943645000457,0.9475587703435804,3.0858644757024907
bbh+gpqa+ifeval+math+musr,,1.0,0.025,17,0.0903176367282867,0.943490054249548,3.1007684366183725
bbh+gpqa+ifeval+math+musr,,1.0,0.025,18,0.0904467776417732,0.940777576853526,3.0944311420986557
bbh+gpqa+ifeval+math+musr,,1.0,0.025,19,0.0900574177503585,0.9443942133815552,3.105800341443156
bbh+gpqa+ifeval+math+musr,,1.0,0.025,20,0.0904580503702163,0.9416817359855334,3.101533720225722
bbh+gpqa+ifeval+math+musr,,1.0,0.025,21,0.0900986269116401,0.939873417721519,3.117649991713312
bbh+gpqa+ifeval+math+musr,,1.0,0.025,22,0.0905598029494285,0.9466546112115732,3.0852295318373932
bbh+gpqa+ifeval+math+musr,,1.0,0.025,23,0.090520866215229,0.9452983725135624,3.093957274071897
bbh+gpqa+ifeval+math+musr,,1.0,0.025,24,0.0901234075427055,0.9493670886075948,3.131705078230805
bbh+gpqa+ifeval+math+musr,,1.0,0.025,25,0.090264968574047,0.9367088607594936,3.1016655243506586
bbh+gpqa+ifeval+math+musr,,1.0,0.025,26,0.0904599502682685,0.9448462929475588,3.0925751251361846
bbh+gpqa+ifeval+math+musr,,1.0,0.025,27,0.0904935374855995,0.9462025316455696,3.090013011390839
bbh+gpqa+ifeval+math+musr,,1.0,0.025,28,0.0903224721550941,0.938517179023508,3.1053535353537676
bbh+gpqa+ifeval+math+musr,,1.0,0.025,29,0.0905614644289016,0.9489150090415912,3.0907488047690794
bbh+gpqa+ifeval+math+musr,,1.0,0.025,30,0.090113990008831,0.9547920433996384,3.1248662139725982
bbh+gpqa+ifeval+math+musr,,1.0,0.025,31,0.0907137244939804,0.9534358047016276,3.0790514038690953
bbh+gpqa+ifeval+math+musr,,1.0,0.025,32,0.0908645614981651,0.9425858951175408,3.077043621935484
bbh+gpqa+ifeval+math+musr,,1.0,0.025,33,0.0902740582823753,0.9443942133815552,3.1173326459677524
bbh+gpqa+ifeval+math+musr,,1.0,0.025,34,0.0903486907482147,0.9525316455696202,3.112069414212168
bbh+gpqa+ifeval+math+musr,,1.0,0.025,35,0.0905976668000221,0.9525316455696202,3.09512057190127
bbh+gpqa+ifeval+math+musr,,1.0,0.025,36,0.0906516313552856,0.9371609403254972,3.0772240889475073
bbh+gpqa+ifeval+math+musr,,1.0,0.025,37,0.0906373485922813,0.951627486437613,3.0992829110743894
bbh+gpqa+ifeval+math+musr,,1.0,0.025,38,0.0905092135071754,0.9475587703435804,3.0919487161694104
bbh+gpqa+ifeval+math+musr,,1.0,0.025,39,0.0902728587388992,0.950271247739602,3.1049691448889267
bbh+gpqa+ifeval+math+musr,,1.0,0.025,40,0.090172067284584,0.9493670886075948,3.1101607835992
bbh+gpqa+ifeval+math+musr,,1.0,0.025,41,0.0905994400382042,0.9349005424954792,3.0841530670408908
bbh+gpqa+ifeval+math+musr,,1.0,0.025,42,0.0903452634811401,0.9430379746835442,3.109395298410982
bbh+gpqa+ifeval+math+musr,,1.0,0.025,43,0.0906500145792961,0.943490054249548,3.0826726160114
bbh+gpqa+ifeval+math+musr,,1.0,0.025,44,0.0903259664773941,0.9430379746835442,3.1110382548361715
bbh+gpqa+ifeval+math+musr,,1.0,0.025,45,0.090285912156105,0.9443942133815552,3.1146560968151054
bbh+gpqa+ifeval+math+musr,,1.0,0.025,46,0.0904793068766594,0.9529837251356238,3.092616028592203
bbh+gpqa+ifeval+math+musr,,1.0,0.025,47,0.0901420265436172,0.9520795660036168,3.1192353645662685
bbh+gpqa+ifeval+math+musr,,1.0,0.025,48,0.0904423221945762,0.9493670886075948,3.0943372219179657
bbh+gpqa+ifeval+math+musr,,1.0,0.025,49,0.0899231061339378,0.9421338155515372,3.1341306160277655
bbh+gpqa+ifeval+math+musr,,1.0,0.025,50,0.0903994739055633,0.9471066907775768,3.096554776986904
bbh+gpqa+ifeval+math+musr,,1.0,0.025,51,0.090807594358921,0.9430379746835442,3.0724081885086187
bbh+gpqa+ifeval+math+musr,,1.0,0.025,52,0.0906076729297638,0.945750452079566,3.0739822259110308
bbh+gpqa+ifeval+math+musr,,1.0,0.025,53,0.0905167087912559,0.9358047016274864,3.093010319559679
bbh+gpqa+ifeval+math+musr,,1.0,0.025,54,0.0906529501080513,0.933996383363472,3.0764114341019724
bbh+gpqa+ifeval+math+musr,,1.0,0.025,55,0.0900833085179328,0.9389692585895116,3.125231007967667
bbh+gpqa+ifeval+math+musr,,1.0,0.025,56,0.0901504084467887,0.940777576853526,3.114224702672648
bbh+gpqa+ifeval+math+musr,,1.0,0.025,57,0.0899486243724823,0.9498191681735986,3.12651303764459
bbh+gpqa+ifeval+math+musr,,1.0,0.025,58,0.0901492834091186,0.9498191681735986,3.1219310010854113
bbh+gpqa+ifeval+math+musr,,1.0,0.025,59,0.0902414619922638,0.9520795660036168,3.1085919910213606
bbh+gpqa+ifeval+math+musr,,1.0,0.025,60,0.0903826206922531,0.9394213381555152,3.090086917476888
bbh+gpqa+ifeval+math+musr,,1.0,0.025,61,0.0901722237467765,0.9443942133815552,3.130248066159406
bbh+gpqa+ifeval+math+musr,,1.0,0.025,62,0.08999053388834,0.940777576853526,3.1285933220376316
bbh+gpqa+ifeval+math+musr,,1.0,0.025,63,0.0901497527956962,0.9489150090415912,3.1057395960578047
bbh+gpqa+ifeval+math+musr,,1.0,0.025,64,0.090183638036251,0.9439421338155516,3.114506779272306
bbh+gpqa+ifeval+math+musr,,1.0,0.025,65,0.0904223322868347,0.93625678119349,3.090156611830157
bbh+gpqa+ifeval+math+musr,,1.0,0.025,66,0.0905732437968254,0.9439421338155516,3.092402447812411
bbh+gpqa+ifeval+math+musr,,1.0,0.025,67,0.0908315554261207,0.950271247739602,3.076581730723105
bbh+gpqa+ifeval+math+musr,,1.0,0.025,68,0.0901172384619712,0.9349005424954792,3.1128955490877153
bbh+gpqa+ifeval+math+musr,,1.0,0.025,69,0.0904978141188621,0.9416817359855334,3.087535591027209
bbh+gpqa+ifeval+math+musr,,1.0,0.025,70,0.0899302884936332,0.9326401446654612,3.136212915307946
bbh+gpqa+ifeval+math+musr,,1.0,0.025,71,0.0902460590004921,0.948010849909584,3.105384708986183
bbh+gpqa+ifeval+math+musr,,1.0,0.025,72,0.0905375853180885,0.943490054249548,3.095499598105778
bbh+gpqa+ifeval+math+musr,,1.0,0.025,73,0.0905209183692932,0.9448462929475588,3.0885287076304477
bbh+gpqa+ifeval+math+musr,,1.0,0.025,74,0.0904025062918663,0.9389692585895116,3.0993532131513026
bbh+gpqa+ifeval+math+musr,,1.0,0.025,75,0.0904604196548461,0.9529837251356238,3.099561334411294
bbh+gpqa+ifeval+math+musr,,1.0,0.025,76,0.0903412103652954,0.9443942133815552,3.105988975648968
bbh+gpqa+ifeval+math+musr,,1.0,0.025,77,0.0903178676962852,0.9471066907775768,3.112570657309848
bbh+gpqa+ifeval+math+musr,,1.0,0.025,78,0.0903873816132545,0.9525316455696202,3.0906696519934775
bbh+gpqa+ifeval+math+musr,,1.0,0.025,79,0.0908605977892875,0.939873417721519,3.0617531986224913
bbh+gpqa+ifeval+math+musr,,1.0,0.025,80,0.0905456840991973,0.9475587703435804,3.08541931591754
bbh+gpqa+ifeval+math+musr,,1.0,0.025,81,0.0903088524937629,0.9448462929475588,3.1030258876660133
bbh+gpqa+ifeval+math+musr,,1.0,0.025,82,0.0903219878673553,0.9421338155515372,3.102565686492483
bbh+gpqa+ifeval+math+musr,,1.0,0.025,83,0.090340681374073,0.9475587703435804,3.1008054797457785
bbh+gpqa+ifeval+math+musr,,1.0,0.025,84,0.0905277729034423,0.9430379746835442,3.081970569534752
bbh+gpqa+ifeval+math+musr,,1.0,0.025,85,0.0905413404107093,0.9448462929475588,3.095548609454362
bbh+gpqa+ifeval+math+musr,,1.0,0.025,86,0.0898162946105003,0.9430379746835442,3.13587425308122
bbh+gpqa+ifeval+math+musr,,1.0,0.025,87,0.0906996950507164,0.9443942133815552,3.0813835393195594
bbh+gpqa+ifeval+math+musr,,1.0,0.025,88,0.0904428735375404,0.9471066907775768,3.0930186280170675
