dataset,n_full_obs,mcar_obs_prob,prop_budget,seed,mean_width,coverage,ess_multiplier
bbh+gpqa+ifeval+math+musr,,1.0,0.025,0,0.0915941223502159,0.9534358047016276,3.017010460831604
bbh+gpqa+ifeval+math+musr,,1.0,0.025,1,0.0910863354802131,0.9507233273056056,3.0587794429520785
bbh+gpqa+ifeval+math+musr,,1.0,0.025,2,0.0912084355950355,0.940777576853526,3.0383006704446016
bbh+gpqa+ifeval+math+musr,,1.0,0.025,3,0.091288648545742,0.9529837251356238,3.0422397808691963
bbh+gpqa+ifeval+math+musr,,1.0,0.025,4,0.091691642999649,0.950271247739602,3.0171044617372007
bbh+gpqa+ifeval+math+musr,,1.0,0.025,5,0.0919509157538414,0.9462025316455696,2.989965841507275
bbh+gpqa+ifeval+math+musr,,1.0,0.025,6,0.0912301391363143,0.9543399638336348,3.0452641403554974
bbh+gpqa+ifeval+math+musr,,1.0,0.025,7,0.0910131782293319,0.9439421338155516,3.0620912938558758
bbh+gpqa+ifeval+math+musr,,1.0,0.025,8,0.0915070697665214,0.939873417721519,3.018315827530962
bbh+gpqa+ifeval+math+musr,,1.0,0.025,9,0.0916219502687454,0.9471066907775768,3.005994369649837
bbh+gpqa+ifeval+math+musr,,1.0,0.025,10,0.0911454930901527,0.940777576853526,3.055258789346459
bbh+gpqa+ifeval+math+musr,,1.0,0.025,11,0.0912694111466407,0.9520795660036168,3.041590979222205
bbh+gpqa+ifeval+math+musr,,1.0,0.025,12,0.0916123241186142,0.9489150090415912,3.0179831605038974
bbh+gpqa+ifeval+math+musr,,1.0,0.025,13,0.0915535762906074,0.9529837251356238,3.018813964541211
bbh+gpqa+ifeval+math+musr,,1.0,0.025,14,0.0910331979393959,0.9421338155515372,3.053491640027635
bbh+gpqa+ifeval+math+musr,,1.0,0.025,15,0.0915646255016326,0.9448462929475588,3.0077557510090127
bbh+gpqa+ifeval+math+musr,,1.0,0.025,16,0.0915823504328727,0.9443942133815552,3.012980682454121
bbh+gpqa+ifeval+math+musr,,1.0,0.025,17,0.0917655974626541,0.9448462929475588,3.003686979706805
bbh+gpqa+ifeval+math+musr,,1.0,0.025,18,0.0915669649839401,0.951627486437613,3.019182611328302
bbh+gpqa+ifeval+math+musr,,1.0,0.025,19,0.0915516316890716,0.9443942133815552,3.0052481305479324
bbh+gpqa+ifeval+math+musr,,1.0,0.025,20,0.0914506539702415,0.9493670886075948,3.0345711364384647
bbh+gpqa+ifeval+math+musr,,1.0,0.025,21,0.0914234295487403,0.9543399638336348,3.027949891960627
bbh+gpqa+ifeval+math+musr,,1.0,0.025,22,0.0917294844985008,0.950271247739602,3.0070490467757405
bbh+gpqa+ifeval+math+musr,,1.0,0.025,23,0.0911815240979194,0.9498191681735986,3.0492850186855724
bbh+gpqa+ifeval+math+musr,,1.0,0.025,24,0.0915720462799072,0.950271247739602,3.03340379807046
bbh+gpqa+ifeval+math+musr,,1.0,0.025,25,0.0909630358219146,0.9489150090415912,3.054242675408491
bbh+gpqa+ifeval+math+musr,,1.0,0.025,26,0.0915582254528999,0.9452983725135624,3.0188269203334817
bbh+gpqa+ifeval+math+musr,,1.0,0.025,27,0.0917965695261955,0.945750452079566,3.0029115183744244
bbh+gpqa+ifeval+math+musr,,1.0,0.025,28,0.0913918241858482,0.9471066907775768,3.0331088084387634
bbh+gpqa+ifeval+math+musr,,1.0,0.025,29,0.0914890766143798,0.9511754068716094,3.0283920305904704
bbh+gpqa+ifeval+math+musr,,1.0,0.025,30,0.0915158316493034,0.9466546112115732,3.029865891444596
bbh+gpqa+ifeval+math+musr,,1.0,0.025,31,0.0913359299302101,0.9462025316455696,3.037243606281875
bbh+gpqa+ifeval+math+musr,,1.0,0.025,32,0.0916613712906837,0.9529837251356238,3.0237788352523096
bbh+gpqa+ifeval+math+musr,,1.0,0.025,33,0.0913999453186988,0.950271247739602,3.0410055249695076
bbh+gpqa+ifeval+math+musr,,1.0,0.025,34,0.0913312956690788,0.955244122965642,3.045466066141814
bbh+gpqa+ifeval+math+musr,,1.0,0.025,35,0.0912979692220687,0.9471066907775768,3.0478203427138917
bbh+gpqa+ifeval+math+musr,,1.0,0.025,36,0.0915548205375671,0.9511754068716094,3.0168098692420418
bbh+gpqa+ifeval+math+musr,,1.0,0.025,37,0.0915037766098976,0.9394213381555152,3.0408680044929453
bbh+gpqa+ifeval+math+musr,,1.0,0.025,38,0.0913098454475402,0.9507233273056056,3.0379641787828966
bbh+gpqa+ifeval+math+musr,,1.0,0.025,39,0.0916087701916694,0.939873417721519,3.01507121503257
bbh+gpqa+ifeval+math+musr,,1.0,0.025,40,0.0913291275501251,0.9471066907775768,3.0318539449480104
bbh+gpqa+ifeval+math+musr,,1.0,0.025,41,0.0919011533260345,0.9471066907775768,2.9974022408360246
bbh+gpqa+ifeval+math+musr,,1.0,0.025,42,0.0910129323601722,0.9394213381555152,3.063941723759946
bbh+gpqa+ifeval+math+musr,,1.0,0.025,43,0.0910836830735206,0.9520795660036168,3.0533879973814555
bbh+gpqa+ifeval+math+musr,,1.0,0.025,44,0.0921450182795524,0.9462025316455696,2.989419511079862
bbh+gpqa+ifeval+math+musr,,1.0,0.025,45,0.0913040712475776,0.9462025316455696,3.045578479762638
bbh+gpqa+ifeval+math+musr,,1.0,0.025,46,0.0914730131626129,0.940777576853526,3.0257884590181097
bbh+gpqa+ifeval+math+musr,,1.0,0.025,47,0.0912103950977325,0.9507233273056056,3.046590665669772
bbh+gpqa+ifeval+math+musr,,1.0,0.025,48,0.0910349264740943,0.940777576853526,3.0541823245909923
bbh+gpqa+ifeval+math+musr,,1.0,0.025,49,0.0913143754005432,0.9489150090415912,3.0393546987446296
bbh+gpqa+ifeval+math+musr,,1.0,0.025,50,0.0909684747457504,0.9525316455696202,3.05793850101339
bbh+gpqa+ifeval+math+musr,,1.0,0.025,51,0.0913402289152145,0.9511754068716094,3.0366802426693975
bbh+gpqa+ifeval+math+musr,,1.0,0.025,52,0.0921532064676284,0.9525316455696202,2.9717372157073045
bbh+gpqa+ifeval+math+musr,,1.0,0.025,53,0.0913624018430709,0.9462025316455696,3.036014639918235
bbh+gpqa+ifeval+math+musr,,1.0,0.025,54,0.0912051200866699,0.9498191681735986,3.03927404683574
bbh+gpqa+ifeval+math+musr,,1.0,0.025,55,0.0912557393312454,0.948010849909584,3.0454425074100344
bbh+gpqa+ifeval+math+musr,,1.0,0.025,56,0.0913385599851608,0.9507233273056056,3.033730668946362
bbh+gpqa+ifeval+math+musr,,1.0,0.025,57,0.0914012119174003,0.950271247739602,3.02792690746807
bbh+gpqa+ifeval+math+musr,,1.0,0.025,58,0.0915173590183258,0.9507233273056056,3.0292903428206
bbh+gpqa+ifeval+math+musr,,1.0,0.025,59,0.0918024331331253,0.9462025316455696,3.0037762924250377
bbh+gpqa+ifeval+math+musr,,1.0,0.025,60,0.0910564288496971,0.9452983725135624,3.0445234786135202
bbh+gpqa+ifeval+math+musr,,1.0,0.025,61,0.09136463701725,0.9462025316455696,3.0490745961873373
bbh+gpqa+ifeval+math+musr,,1.0,0.025,62,0.0908893421292305,0.9507233273056056,3.06702171465253
bbh+gpqa+ifeval+math+musr,,1.0,0.025,63,0.0914661884307861,0.945750452079566,3.01698364714333
bbh+gpqa+ifeval+math+musr,,1.0,0.025,64,0.0909062251448631,0.948010849909584,3.0651909452786175
bbh+gpqa+ifeval+math+musr,,1.0,0.025,65,0.0910966917872428,0.945750452079566,3.044575080938507
bbh+gpqa+ifeval+math+musr,,1.0,0.025,66,0.0913034901022911,0.951627486437613,3.043134126434759
bbh+gpqa+ifeval+math+musr,,1.0,0.025,67,0.0914779603481292,0.9462025316455696,3.0332556401195996
bbh+gpqa+ifeval+math+musr,,1.0,0.025,68,0.0914409831166267,0.955244122965642,3.0234203003064515
bbh+gpqa+ifeval+math+musr,,1.0,0.025,69,0.0910634621977806,0.9498191681735986,3.0492977643706203
bbh+gpqa+ifeval+math+musr,,1.0,0.025,70,0.0914387702941894,0.943490054249548,3.033589122984669
bbh+gpqa+ifeval+math+musr,,1.0,0.025,71,0.0917176231741905,0.943490054249548,3.0065353745453405
bbh+gpqa+ifeval+math+musr,,1.0,0.025,72,0.090858444571495,0.9443942133815552,3.0736751885615687
bbh+gpqa+ifeval+math+musr,,1.0,0.025,73,0.0914343744516372,0.9475587703435804,3.027126354999072
bbh+gpqa+ifeval+math+musr,,1.0,0.025,74,0.0910257324576377,0.951627486437613,3.0570578000116555
bbh+gpqa+ifeval+math+musr,,1.0,0.025,75,0.0917599350214004,0.9498191681735986,3.0123902704300054
bbh+gpqa+ifeval+math+musr,,1.0,0.025,76,0.0912508592009544,0.9471066907775768,3.0443725315675962
bbh+gpqa+ifeval+math+musr,,1.0,0.025,77,0.0914386510848999,0.9452983725135624,3.0367353800057546
bbh+gpqa+ifeval+math+musr,,1.0,0.025,78,0.0913582071661949,0.9471066907775768,3.0253321496523595
bbh+gpqa+ifeval+math+musr,,1.0,0.025,79,0.0911632478237152,0.955244122965642,3.0414577051673635
bbh+gpqa+ifeval+math+musr,,1.0,0.025,80,0.0907961577177047,0.945750452079566,3.0684196938947212
bbh+gpqa+ifeval+math+musr,,1.0,0.025,81,0.091430626809597,0.9484629294755876,3.0273501302859587
bbh+gpqa+ifeval+math+musr,,1.0,0.025,82,0.0912478640675544,0.9534358047016276,3.0399227323005493
bbh+gpqa+ifeval+math+musr,,1.0,0.025,83,0.0909747257828712,0.9452983725135624,3.0577342373570247
bbh+gpqa+ifeval+math+musr,,1.0,0.025,84,0.0914945006370544,0.939873417721519,3.0171866503971754
bbh+gpqa+ifeval+math+musr,,1.0,0.025,85,0.0913464426994323,0.950271247739602,3.0412224579474563
bbh+gpqa+ifeval+math+musr,,1.0,0.025,86,0.09152652323246,0.950271247739602,3.0197777232020924
bbh+gpqa+ifeval+math+musr,,1.0,0.025,87,0.0913003608584404,0.9493670886075948,3.0409720177809403
bbh+gpqa+ifeval+math+musr,,1.0,0.025,88,0.0914072096347808,0.9498191681735986,3.0281008629045636
bbh+gpqa+ifeval+math+musr,,1.0,0.025,89,0.0912767946720123,0.9371609403254972,3.0289229062796488
bbh+gpqa+ifeval+math+musr,,1.0,0.025,90,0.0913952067494392,0.9484629294755876,3.0318786725287414
bbh+gpqa+ifeval+math+musr,,1.0,0.025,91,0.0913550034165382,0.9520795660036168,3.0330556582738906
bbh+gpqa+ifeval+math+musr,,1.0,0.025,92,0.0916629508137703,0.950271247739602,3.011378170797578
bbh+gpqa+ifeval+math+musr,,1.0,0.025,93,0.0915046036243438,0.9439421338155516,3.022056885771982
bbh+gpqa+ifeval+math+musr,,1.0,0.025,94,0.0911808311939239,0.9462025316455696,3.053006983732403
bbh+gpqa+ifeval+math+musr,,1.0,0.025,95,0.0916619077324867,0.9489150090415912,3.0141679935094348
bbh+gpqa+ifeval+math+musr,,1.0,0.025,96,0.0909735262393951,0.9452983725135624,3.041137389712977
