dataset,n_full_obs,mcar_obs_prob,prop_budget,ess_multiplier,ess_multiplier_serr,coverage,coverage_serr,mean_width,mean_width_serr
bbh+gpqa+ifeval+math+musr,,1.0,0.025,3.03284538706628,0.0018919039985736599,0.9477441229656419,0.00041454174602160825,0.09137667715549465,2.6695234548695473e-05
bbh+gpqa+ifeval+math+musr,,1.0,0.05,3.6899659659249613,0.0019507902205758254,0.9484584086799276,0.00042875973923538316,0.0578557169064879,1.5035197067685601e-05
bbh+gpqa+ifeval+math+musr,,1.0,0.075,4.136994301761715,0.0017496206968695166,0.9496518987341771,0.00046369603300343363,0.04400059409439559,9.039870889195951e-06
bbh+gpqa+ifeval+math+musr,,1.0,0.1,4.457773571192138,0.001587976403537091,0.9492857142857142,0.00042093085774039436,0.03621935661882158,6.425087219524084e-06
bbh+gpqa+ifeval+math+musr,,1.0,0.125,4.702467679680624,0.001437000404740576,0.9500949367088607,0.000483837790310414,0.031105879545211743,4.712785777420449e-06
bbh+gpqa+ifeval+math+musr,,1.0,0.15,4.897113679916008,0.0013947550922080237,0.9498462929475587,0.0004909924583235141,0.02741785950958724,3.819943521612081e-06
bbh+gpqa+ifeval+math+musr,,1.0,0.175,5.053673828712745,0.001281161149251814,0.9497920433996383,0.0004504702207519049,0.024621252156794022,3.0918075851367375e-06
bbh+gpqa+ifeval+math+musr,,1.0,0.2,5.181460075458946,0.0012245968209863086,0.95000904159132,0.00044448940900419494,0.022400084957480387,2.600015167010075e-06
bbh+gpqa+ifeval+math+musr,,1.0,0.225,5.287676114573352,0.0011858027792050565,0.9501265822784809,0.0004543516070221799,0.02057292776182289,2.297452178984839e-06
bbh+gpqa+ifeval+math+musr,,1.0,0.25,5.373740014066255,0.001175490270551335,0.9497965641952983,0.0004918139712228883,0.019047470521181768,2.072636822658939e-06
mmlu-pro,,1.0,0.025,3.5558692285399394,0.0023807045635787123,0.9452779032986897,0.00047089645359245987,0.06719219394028182,2.192603346118041e-05
mmlu-pro,,1.0,0.05,4.347455670469523,0.003439643299625339,0.9455896972435609,0.0005102327669637973,0.042401438057422594,1.6401207719926994e-05
mmlu-pro,,1.0,0.075,4.915528830645808,0.003160586506732626,0.94733393583371,0.00045552914379097433,0.032126026488840526,1.01698841928325e-05
mmlu-pro,,1.0,0.1,5.328065910230915,0.002860255213124963,0.9481879801174875,0.0004906192721616007,0.02635856339707966,7.137588367842392e-06
mmlu-pro,,1.0,0.125,5.646851538492425,0.002739593286965847,0.9484274740171713,0.0004557681481468301,0.022579138167202428,5.489895055632237e-06
mmlu-pro,,1.0,0.15,5.905259115771737,0.0026241951635373293,0.9486534116583824,0.00047824809734766565,0.019871764089912126,4.428681781300789e-06
mmlu-pro,,1.0,0.175,6.120172714157635,0.0025768804249082433,0.9487031179394488,0.0004908403500359347,0.017802801933139517,3.752540228142655e-06
mmlu-pro,,1.0,0.2,6.301616593835603,0.00255983394506208,0.9481563488477182,0.0005279054510966616,0.016160333454608867,3.2597840069523237e-06
mmlu-pro,,1.0,0.225,6.456434197759676,0.0024377734265827187,0.9488657930411207,0.0004943674882075565,0.014814857495948623,2.7859493830346017e-06
mmlu-pro,,1.0,0.25,6.583729311237453,0.0027651830448390357,0.9486262991414369,0.0004175082488349064,0.013691396163776468,2.8462509947924388e-06
