dataset,n_full_obs,mcar_obs_prob,prop_budget,ess_multiplier,ess_multiplier_serr,coverage,coverage_serr,mean_width,mean_width_serr
bbh+gpqa+ifeval+math+musr,,1.0,0.025,3.1004589835644305,0.0017396048075253173,0.9448598553345389,0.0005025302048074397,0.09037458956241604,2.3698317009233916e-05
bbh+gpqa+ifeval+math+musr,,1.0,0.05,3.7507273181889325,0.0018680831546935475,0.9466094032549728,0.0004944983110353582,0.05738509688526387,1.3566352406410235e-05
bbh+gpqa+ifeval+math+musr,,1.0,0.075,4.198707757953873,0.0017420331681545752,0.9470162748643761,0.000474188586392897,0.0436760131642222,8.385660891838555e-06
bbh+gpqa+ifeval+math+musr,,1.0,0.1,4.529254162880147,0.0016918806655783782,0.9467359855334538,0.00045885024301762784,0.03593242108821864,6.172391876892325e-06
bbh+gpqa+ifeval+math+musr,,1.0,0.125,4.793014267253125,0.0015644603207149472,0.9473236889692584,0.00046479994330697995,0.030810673162341068,4.72068746882098e-06
bbh+gpqa+ifeval+math+musr,,1.0,0.15,5.01556873256467,0.0014615349760390966,0.9460126582278481,0.0005089683361332008,0.027092157434672068,3.790055212797979e-06
bbh+gpqa+ifeval+math+musr,,1.0,0.175,5.210880908153033,0.0014213951543807892,0.9449593128390597,0.0004317288727946105,0.02424701604992147,3.1532692434965725e-06
bbh+gpqa+ifeval+math+musr,,1.0,0.2,5.389309937067388,0.001400046266648402,0.943634719710669,0.0005085909831669155,0.021963893659412807,2.736400757108392e-06
bbh+gpqa+ifeval+math+musr,,1.0,0.225,5.5598574402657235,0.001409518453479099,0.9423643761301989,0.0005009271640019218,0.02006304705515499,2.4241899112499547e-06
bbh+gpqa+ifeval+math+musr,,1.0,0.25,5.725220518222614,0.0013877977293573788,0.9403300180831826,0.0005071119421031556,0.018453539516776755,2.145376964958105e-06
mmlu-pro,,1.0,0.025,3.6652259931409366,0.0024259245183496226,0.940799819249887,0.0004172512838612687,0.06618219740688797,2.1377023358661863e-05
mmlu-pro,,1.0,0.05,4.481209893473873,0.003405766904819276,0.9405241753276096,0.0005231142117663884,0.041763803549110835,1.626885122092124e-05
mmlu-pro,,1.0,0.075,5.0505098379101865,0.0032283349438336716,0.9423271577044736,0.0004833529593058853,0.031693821139633614,1.0336870271264674e-05
mmlu-pro,,1.0,0.1,5.482747766916567,0.003225715905780997,0.9432399457749662,0.0005453942720113714,0.02598414164036508,7.790041174328373e-06
mmlu-pro,,1.0,0.125,5.837954691110943,0.0033383792379599216,0.9423633077270673,0.000555937205421315,0.022206580303609325,6.397577317411204e-06
mmlu-pro,,1.0,0.15,6.14985996872462,0.0032151507706798927,0.9405874378671487,0.0005500855734342701,0.019472624678164678,5.070618769927902e-06
mmlu-pro,,1.0,0.175,6.440266101283172,0.0032985330005482457,0.9378355173971984,0.0005114504858333234,0.017354801278561312,4.417680694025448e-06
mmlu-pro,,1.0,0.2,6.72317971964814,0.0032651856717108596,0.932435607772255,0.0005372244687776778,0.015645523965358687,3.817707538021809e-06
mmlu-pro,,1.0,0.225,7.009107477402647,0.003439707067818984,0.926208766380479,0.0005580155691171776,0.014218836622312613,3.4766113974423194e-06
mmlu-pro,,1.0,0.25,7.309229793575226,0.00371879666031757,0.9168142792589247,0.0006214447286018169,0.012994191050529432,3.289837935038032e-06
