dataset,n_full_obs,mcar_obs_prob,prop_budget,seed,mean_width,coverage,ess_multiplier
bbh+gpqa+ifeval+math+musr,,1.0,0.025,0,0.090169608592987,0.9425858951175408,3.1130898699202243
bbh+gpqa+ifeval+math+musr,,1.0,0.025,1,0.0899912044405937,0.9389692585895116,3.1336789066431883
bbh+gpqa+ifeval+math+musr,,1.0,0.025,2,0.0896219983696937,0.9416817359855334,3.146817205682625
bbh+gpqa+ifeval+math+musr,,1.0,0.025,3,0.0899354442954063,0.940777576853526,3.1344780106916095
bbh+gpqa+ifeval+math+musr,,1.0,0.025,4,0.0902052149176597,0.9380650994575044,3.117357179457376
bbh+gpqa+ifeval+math+musr,,1.0,0.025,5,0.0898118764162063,0.9430379746835442,3.134085240928064
bbh+gpqa+ifeval+math+musr,,1.0,0.025,6,0.0901901274919509,0.945750452079566,3.11590093270843
bbh+gpqa+ifeval+math+musr,,1.0,0.025,7,0.0897219330072403,0.9475587703435804,3.150862505922838
bbh+gpqa+ifeval+math+musr,,1.0,0.025,8,0.0899314954876899,0.9452983725135624,3.125002344197652
bbh+gpqa+ifeval+math+musr,,1.0,0.025,9,0.0894785299897193,0.9498191681735986,3.1517339178528756
bbh+gpqa+ifeval+math+musr,,1.0,0.025,10,0.0903680846095085,0.9430379746835442,3.108051776785115
bbh+gpqa+ifeval+math+musr,,1.0,0.025,11,0.0900287330150604,0.9507233273056056,3.1260004195514592
bbh+gpqa+ifeval+math+musr,,1.0,0.025,12,0.0903074890375137,0.9452983725135624,3.1058257042842707
bbh+gpqa+ifeval+math+musr,,1.0,0.025,13,0.0897468701004982,0.940777576853526,3.1415816683368805
bbh+gpqa+ifeval+math+musr,,1.0,0.025,14,0.0905301943421363,0.9466546112115732,3.0875175077470933
bbh+gpqa+ifeval+math+musr,,1.0,0.025,15,0.0897720158100128,0.9430379746835442,3.1290756161628397
bbh+gpqa+ifeval+math+musr,,1.0,0.025,16,0.0901130959391594,0.9462025316455696,3.112032305644122
bbh+gpqa+ifeval+math+musr,,1.0,0.025,17,0.0902617946267128,0.945750452079566,3.1046063170631366
bbh+gpqa+ifeval+math+musr,,1.0,0.025,18,0.0898831561207771,0.940777576853526,3.1333607102950336
bbh+gpqa+ifeval+math+musr,,1.0,0.025,19,0.0902391970157623,0.948010849909584,3.093300197742035
bbh+gpqa+ifeval+math+musr,,1.0,0.025,20,0.0899276956915855,0.93625678119349,3.138224606152786
bbh+gpqa+ifeval+math+musr,,1.0,0.025,21,0.0896108224987983,0.9353526220614828,3.151684781148122
bbh+gpqa+ifeval+math+musr,,1.0,0.025,22,0.0902084708213806,0.950271247739602,3.109308225141142
bbh+gpqa+ifeval+math+musr,,1.0,0.025,23,0.0899186059832573,0.9403254972875226,3.1355417197263855
bbh+gpqa+ifeval+math+musr,,1.0,0.025,24,0.0896825566887855,0.9443942133815552,3.162569679782849
bbh+gpqa+ifeval+math+musr,,1.0,0.025,25,0.0896644741296768,0.9326401446654612,3.143349139724775
bbh+gpqa+ifeval+math+musr,,1.0,0.025,26,0.0902470424771308,0.9403254972875226,3.1071841360828865
bbh+gpqa+ifeval+math+musr,,1.0,0.025,27,0.0900715142488479,0.9448462929475588,3.1190368894560927
bbh+gpqa+ifeval+math+musr,,1.0,0.025,28,0.0903469771146774,0.9443942133815552,3.1036692234839633
bbh+gpqa+ifeval+math+musr,,1.0,0.025,29,0.0903848484158515,0.9452983725135624,3.1028395273523643
bbh+gpqa+ifeval+math+musr,,1.0,0.025,30,0.0898645967245101,0.9452983725135624,3.14223461190725
bbh+gpqa+ifeval+math+musr,,1.0,0.025,31,0.0903919786214828,0.9371609403254972,3.1010098833757143
bbh+gpqa+ifeval+math+musr,,1.0,0.025,32,0.0903206244111061,0.9462025316455696,3.114216924584942
bbh+gpqa+ifeval+math+musr,,1.0,0.025,33,0.0898781344294548,0.9448462929475588,3.1448575788490465
bbh+gpqa+ifeval+math+musr,,1.0,0.025,34,0.0903669223189354,0.9466546112115732,3.1108138178345066
