dataset,n_full_obs,mcar_obs_prob,prop_budget,ess_multiplier,ess_multiplier_serr,coverage,coverage_serr,mean_width,mean_width_serr
bbh+gpqa+ifeval+math+musr,,1.0,0.025,3.090649092578509,0.001650324779154263,0.9440867992766726,0.0004967633488151845,0.09051781982183452,2.305769343788006e-05
bbh+gpqa+ifeval+math+musr,,1.0,0.05,3.6528686787220033,0.0014070400969414937,0.9472332730560578,0.0004453663426800033,0.05814846359193321,1.0334021807863788e-05
bbh+gpqa+ifeval+math+musr,,1.0,0.075,4.028311287355852,0.0012050379050169593,0.948110307414105,0.00044054269283301864,0.04459005679935212,6.119229263930497e-06
bbh+gpqa+ifeval+math+musr,,1.0,0.1,4.294478040960009,0.001116164976687671,0.9484312839059674,0.0004632773501789847,0.03690145801752801,4.3604649422400204e-06
bbh+gpqa+ifeval+math+musr,,1.0,0.125,4.494936727501379,0.0010485558083875054,0.9488245931283906,0.00045472039970901966,0.03181580528616901,3.281448310037048e-06
bbh+gpqa+ifeval+math+musr,,1.0,0.15,4.65030238003461,0.000946974796927149,0.9499819168173599,0.00040985525284023235,0.02813600048422809,2.452130867983521e-06
bbh+gpqa+ifeval+math+musr,,1.0,0.175,4.772710095315234,0.0009271023277254037,0.9499638336347196,0.00040638321241076364,0.02533557318150992,2.0847588395469866e-06
bbh+gpqa+ifeval+math+musr,,1.0,0.2,4.870018560628724,0.0008773190159760251,0.94999547920434,0.0004767457144004508,0.02310521535575385,1.7729464306020245e-06
bbh+gpqa+ifeval+math+musr,,1.0,0.225,4.948302991025539,0.00080934142802191,0.9497784810126582,0.0004429967348321907,0.021266693361103487,1.5106662710196138e-06
bbh+gpqa+ifeval+math+musr,,1.0,0.25,5.009094500382061,0.0007605813988256132,0.9494077757685352,0.0004566726958986473,0.0197285695560276,1.3141397848979682e-06
mmlu-pro,,1.0,0.025,3.449953829843099,0.0017323336551425075,0.9438816086760055,0.00047191130673643664,0.06821530573070045,1.5803207479760153e-05
mmlu-pro,,1.0,0.05,4.1247777749790995,0.0016158339080486778,0.9455490284681428,0.0004744744803177452,0.043530165329575495,8.010130457979573e-06
mmlu-pro,,1.0,0.075,4.539246996858928,0.0013960652756650923,0.9476050610031632,0.0004510243623416112,0.03343066677451129,4.538372596824816e-06
mmlu-pro,,1.0,0.1,4.8381036564736934,0.0013053791567922452,0.9474469046543155,0.0004779825772743616,0.027660838589072183,3.218584535313078e-06
mmlu-pro,,1.0,0.125,5.0621682367981125,0.0012462153792650314,0.9482105738816087,0.00045287355442045433,0.023847306724637703,2.4708904261558224e-06
mmlu-pro,,1.0,0.15,5.237031846674088,0.0011757771733291312,0.9488477180298238,0.00047048016724293864,0.02110137902200217,2.0062001584939256e-06
mmlu-pro,,1.0,0.175,5.377454958689947,0.0010515459122359615,0.9491911432444645,0.0004791815317506055,0.018992385361343574,1.6217891984543886e-06
mmlu-pro,,1.0,0.2,5.49122788389042,0.000987829793045935,0.9493583370989608,0.0005145062267409754,0.017311687599867533,1.380985624417397e-06
mmlu-pro,,1.0,0.225,5.583612764951113,0.0009171986034083821,0.9498328061455038,0.00043246980119291393,0.015930679645389266,1.1464146492745886e-06
mmlu-pro,,1.0,0.25,5.656793333655237,0.000895220278389345,0.949877993673746,0.0004717795145816445,0.014770530974492374,1.0091279854521119e-06
