dataset,prop_budget,ess_multiplier,ess_multiplier_serr,coverage,coverage_serr,mean_width,mean_width_serr
bbh+gpqa+ifeval+math+musr,0.025,1.0,0.0,0.9497739602169982,0.0004250363975402649,0.12111688591539856,4.614775280023829e-06
bbh+gpqa+ifeval+math+musr,0.05,1.0,0.0,0.9536166365280289,0.0004411711120121906,0.0854721917957067,2.2203283570994836e-06
bbh+gpqa+ifeval+math+musr,0.075,1.0,0.0,0.9553209764918625,0.00043731979075372913,0.06953368924558158,1.462218486227955e-06
bbh+gpqa+ifeval+math+musr,0.1,1.0,0.0,0.9574683544303797,0.00039352043011091847,0.060027993619441944,1.1369524463802254e-06
bbh+gpqa+ifeval+math+musr,0.125,1.0,0.0,0.9589150090415913,0.000387152741938854,0.053503793403506236,9.183576651647721e-07
bbh+gpqa+ifeval+math+musr,0.15,1.0,0.0,0.9608996383363472,0.0004178847627545338,0.048641084432601886,7.489887058712549e-07
bbh+gpqa+ifeval+math+musr,0.175,1.0,0.0,0.9622784810126582,0.00038102763340917584,0.044854768216609914,7.050854817921146e-07
bbh+gpqa+ifeval+math+musr,0.2,1.0,0.0,0.9639602169981917,0.00038799432606272593,0.041782158538699106,6.104797828698908e-07
bbh+gpqa+ifeval+math+musr,0.225,1.0,0.0,0.9649457504520795,0.0003766189755744141,0.03920880082994695,5.594602074945066e-07
bbh+gpqa+ifeval+math+musr,0.25,1.0,0.0,0.9670705244122965,0.00041387513973682093,0.03702467679977412,5.302309897885722e-07
mmlu-pro,0.025,1.0,0.0,0.9492860370537731,0.0004922407880277331,0.10079639099538323,5.686301030865086e-06
mmlu-pro,0.05,1.0,0.0,0.9529778581111613,0.00045965092924401694,0.07093387030065056,3.116853672848722e-06
mmlu-pro,0.075,1.0,0.0,0.9543334839584275,0.0004391823505062914,0.05762667845934625,1.9866826234391833e-06
mmlu-pro,0.1,1.0,0.0,0.9559647537279712,0.00044831816880425916,0.04964332967996593,1.5681552876139623e-06
mmlu-pro,0.125,1.0,0.0,0.9572706732941708,0.00043590619294956053,0.04416279360651965,1.3222351774983292e-06
mmlu-pro,0.15,1.0,0.0,0.9591956619972888,0.0003476263894842875,0.04010229211300607,1.1012248971402773e-06
mmlu-pro,0.175,1.0,0.0,0.9604835065521917,0.00038177795960773597,0.036913360022008374,9.438845598179624e-07
mmlu-pro,0.2,1.0,0.0,0.9615092634432897,0.00039489689142656006,0.03432452902197833,8.256902656831986e-07
mmlu-pro,0.225,1.0,0.0,0.9627699954812472,0.000377186354586387,0.032164460159838155,7.324074657564979e-07
mmlu-pro,0.25,1.0,0.0,0.9638454586534116,0.00038768149856633374,0.030323005318641613,6.563944162049196e-07
