dataset,n_full_obs,mcar_obs_prob,prop_budget,ess_multiplier,ess_multiplier_serr,coverage,coverage_serr,mean_width,mean_width_serr
bbh+gpqa+ifeval+math+musr,,1.0,0.025,2.597477401332643,0.0013262442922705173,0.9455244122965641,0.00048129689648368143,0.0987376824021339,2.645111236481618e-05
bbh+gpqa+ifeval+math+musr,,1.0,0.05,3.191392976360898,0.0010297116970796043,0.947120253164557,0.00044889258775960493,0.06221062287688251,1.0173793613193691e-05
bbh+gpqa+ifeval+math+musr,,1.0,0.075,3.667732160496898,0.0012716427736190836,0.9473960216998191,0.0004692661650234099,0.04673060256987805,8.589718146838031e-06
bbh+gpqa+ifeval+math+musr,,1.0,0.1,4.029070085896326,0.001299296627313368,0.9487974683544302,0.00047391074855378316,0.038097547292709304,6.458420564679384e-06
bbh+gpqa+ifeval+math+musr,,1.0,0.125,4.319295465837253,0.001223320408850839,0.9483634719710669,0.0004199586685164052,0.03245628353208299,4.8782202731521105e-06
bbh+gpqa+ifeval+math+musr,,1.0,0.15,4.559433612247778,0.001306344149447403,0.9485488245931283,0.0004393750227874449,0.02841504098847503,4.3441840032787886e-06
bbh+gpqa+ifeval+math+musr,,1.0,0.175,4.763281693792726,0.0012039020513143026,0.9486618444846293,0.00048653643544140036,0.025360664743930058,3.322089453825876e-06
bbh+gpqa+ifeval+math+musr,,1.0,0.2,4.951523070037533,0.0011512077412314306,0.9485804701627487,0.0005203775024908375,0.022914286740124173,2.763008413903654e-06
bbh+gpqa+ifeval+math+musr,,1.0,0.225,5.132269281811171,0.0011465333586536802,0.9483544303797469,0.00047744777211122135,0.0208820834383368,2.4368547802438152e-06
bbh+gpqa+ifeval+math+musr,,1.0,0.25,5.315412494790846,0.0010848882922095608,0.9484493670886076,0.00044436283005335815,0.01915168918669219,2.0939131656249098e-06
mmlu-pro,,1.0,0.025,2.95461657232913,0.0016736956429864356,0.9427835517397198,0.0004962854254204217,0.07371219716966147,2.170525141423526e-05
mmlu-pro,,1.0,0.05,3.7163418254878504,0.0016886861557123723,0.9443696339810213,0.00045414697799672375,0.04585997492074962,1.0847232832149429e-05
mmlu-pro,,1.0,0.075,4.245987049864085,0.0016476895169531616,0.9459150474469047,0.0004418919832208638,0.03456596191972489,6.786310273402237e-06
mmlu-pro,,1.0,0.1,4.652126101850937,0.0013932691238158277,0.9462494351558971,0.0004004977289298243,0.028208349272608707,4.691469818951309e-06
mmlu-pro,,1.0,0.125,4.986516190394746,0.0015237913193002896,0.9470628106642568,0.00042990566623161123,0.024027559757232614,3.7986048963906638e-06
mmlu-pro,,1.0,0.15,5.280870486819246,0.0014373313728951488,0.9470537731586083,0.0004493144745004622,0.02101363416761155,2.9363488831550817e-06
mmlu-pro,,1.0,0.175,5.547476973692031,0.0013428219855371349,0.947582467239042,0.0004253537835896717,0.01869909388944502,2.3857309196750365e-06
mmlu-pro,,1.0,0.2,5.784679541649593,0.0012621018823161172,0.9484816990510619,0.0004726013578714978,0.016866881586611218,1.930819332130214e-06
mmlu-pro,,1.0,0.225,6.0013775932422,0.0012371123350247482,0.9479575237234523,0.00046590103813428843,0.015366209913045112,1.5982616350997736e-06
mmlu-pro,,1.0,0.25,6.190443863544374,0.0011888604730085136,0.949037505648441,0.00047530316326294434,0.014119542222469994,1.4300275885621675e-06
