dataset,prop_budget,ess_multiplier,ess_multiplier_serr,coverage,coverage_serr,mean_width,mean_width_serr
bbh+gpqa+ifeval+math+musr,0.025,1.0,0.0,0.9480289330922242,0.00047374954537725164,0.15913096740841862,1.6469247667841714e-05
bbh+gpqa+ifeval+math+musr,0.05,1.0,0.0,0.9486482820976491,0.0004422038103916769,0.11113557286560533,7.3477328163503925e-06
bbh+gpqa+ifeval+math+musr,0.075,1.0,0.0,0.9494394213381555,0.0004967566996380426,0.08949489206075664,5.40977868410772e-06
bbh+gpqa+ifeval+math+musr,0.1,1.0,0.0,0.949254068716094,0.0004856469133421671,0.07647117234766479,3.886612830947491e-06
bbh+gpqa+ifeval+math+musr,0.125,1.0,0.0,0.9494620253164556,0.0004319640689877804,0.06745341502130027,3.0556985283465673e-06
bbh+gpqa+ifeval+math+musr,0.15,1.0,0.0,0.9496971066907776,0.0005092390058082645,0.06067396607249971,2.4145729642196288e-06
bbh+gpqa+ifeval+math+musr,0.175,1.0,0.0,0.9501401446654612,0.0005122075367582035,0.055349377319216686,2.03120209968593e-06
bbh+gpqa+ifeval+math+musr,0.2,1.0,0.0,0.9500226039783002,0.0004963265997075508,0.05098881047219034,1.7993696308337176e-06
bbh+gpqa+ifeval+math+musr,0.225,1.0,0.0,0.9500135623869801,0.0004986868344514418,0.04730725370347495,1.5058062600562228e-06
bbh+gpqa+ifeval+math+musr,0.25,1.0,0.0,0.9499276672694394,0.0005070152489456135,0.0441544912755489,1.3043179961998663e-06
mmlu-pro,0.025,1.0,0.0,0.9475417984636241,0.0004344262354127143,0.1267023909091949,1.2303468462820035e-05
mmlu-pro,0.05,1.0,0.0,0.948933574333484,0.00047089623459117434,0.08840734250843521,6.61520514904015e-06
mmlu-pro,0.075,1.0,0.0,0.9489652056032536,0.00041889535151461556,0.0712255177646875,4.398356159001989e-06
mmlu-pro,0.1,1.0,0.0,0.9490420244012653,0.0004552338364797367,0.060841780379414505,3.2387686730384447e-06
mmlu-pro,0.125,1.0,0.0,0.9489516493447809,0.0004976000817568756,0.05365457914769645,2.594265124170021e-06
mmlu-pro,0.15,1.0,0.0,0.9495119746949843,0.000460100997770552,0.0482895048335194,2.1511151984238298e-06
mmlu-pro,0.175,1.0,0.0,0.9493176683235427,0.0005004628611394481,0.04404203418642278,1.7311876961873282e-06
mmlu-pro,0.2,1.0,0.0,0.9495842747401717,0.000532704898891067,0.04056707385927434,1.4522008132305782e-06
mmlu-pro,0.225,1.0,0.0,0.9496836873023047,0.0005055333206912393,0.03764363639056679,1.182457011404482e-06
mmlu-pro,0.25,1.0,0.0,0.9497559873474921,0.00044667365413611807,0.03513022359460588,1.0635982657743141e-06
