dataset,n_full_obs,mcar_obs_prob,prop_budget,seed,mean_width,coverage
mmlu-pro,0,0.01,0.275,0,0.025421079248189926,0.9502937189335744
mmlu-pro,0,0.01,0.275,1,0.025419389829039574,0.9534568459105287
mmlu-pro,0,0.01,0.275,2,0.025410523638129234,0.9435155896972436
mmlu-pro,0,0.01,0.275,3,0.025413913652300835,0.9521012200632626
mmlu-pro,0,0.01,0.275,4,0.025434140115976334,0.9439674649796657
mmlu-pro,0,0.01,0.275,5,0.02540915459394455,0.9484862178038862
mmlu-pro,0,0.01,0.275,6,0.025400949642062187,0.9403524627202893
mmlu-pro,0,0.01,0.275,7,0.025432122871279716,0.9484862178038862
mmlu-pro,0,0.01,0.275,8,0.025416219606995583,0.955716222322639
mmlu-pro,0,0.01,0.275,9,0.025409352034330368,0.9530049706281066
mmlu-pro,0,0.01,0.275,10,0.025416314601898193,0.9530049706281066
mmlu-pro,0,0.01,0.275,11,0.025417445227503777,0.9448712155445097
mmlu-pro,0,0.01,0.275,12,0.025400184094905853,0.9453230908269318
mmlu-pro,0,0.01,0.275,13,0.025423375889658928,0.9462268413917759
mmlu-pro,0,0.01,0.275,14,0.025423413142561913,0.955716222322639
mmlu-pro,0,0.01,0.275,15,0.025424784049391747,0.9525530953456847
mmlu-pro,0,0.01,0.275,16,0.025416873395442963,0.9511974694984184
mmlu-pro,0,0.01,0.275,17,0.0254030954092741,0.9507455942159965
mmlu-pro,0,0.01,0.275,18,0.025404665619134903,0.9493899683687302
mmlu-pro,0,0.01,0.275,19,0.02540992759168148,0.9426118391323995
mmlu-pro,0,0.01,0.275,20,0.0254098828881979,0.9457749661093539
mmlu-pro,0,0.01,0.275,21,0.02542937360703945,0.956168097605061
mmlu-pro,0,0.01,0.275,22,0.02540867030620575,0.9480343425214641
mmlu-pro,0,0.01,0.275,23,0.025417618453502655,0.9548124717577949
mmlu-pro,0,0.01,0.275,24,0.025398604571819305,0.9448712155445097
mmlu-pro,0,0.01,0.275,25,0.025410247966647148,0.9548124717577949
mmlu-pro,0,0.01,0.275,26,0.025400323793292046,0.9579755987347492
mmlu-pro,0,0.01,0.275,27,0.025413190945982933,0.9521012200632626
mmlu-pro,0,0.01,0.275,28,0.02541062980890274,0.9498418436511523
mmlu-pro,0,0.01,0.275,29,0.025424109771847725,0.94713059195662
mmlu-pro,0,0.01,0.275,30,0.025424940511584282,0.9507455942159965
mmlu-pro,0,0.01,0.275,31,0.025420915335416794,0.946678716674198
mmlu-pro,0,0.01,0.275,32,0.025425555184483528,0.9498418436511523
mmlu-pro,0,0.01,0.3,0,0.02430097758769989,0.9493899683687302
mmlu-pro,0,0.01,0.3,1,0.024297723546624184,0.9516493447808405
mmlu-pro,0,0.01,0.3,2,0.024288250133395195,0.9480343425214641
mmlu-pro,0,0.01,0.3,3,0.02429201640188694,0.9448712155445097
mmlu-pro,0,0.01,0.3,4,0.024312227964401245,0.9417080885675554
mmlu-pro,0,0.01,0.3,5,0.024288343265652657,0.9502937189335744
mmlu-pro,0,0.01,0.3,6,0.024282794445753098,0.9399005874378672
mmlu-pro,0,0.01,0.3,7,0.024308936670422554,0.9448712155445097
mmlu-pro,0,0.01,0.3,8,0.0242961086332798,0.9548124717577949
mmlu-pro,0,0.01,0.3,9,0.024290144443511963,0.94713059195662
mmlu-pro,0,0.01,0.3,10,0.024297021329402924,0.9484862178038862
mmlu-pro,0,0.01,0.3,11,0.024299461394548416,0.9462268413917759
mmlu-pro,0,0.01,0.3,12,0.024279648438096046,0.9448712155445097
mmlu-pro,0,0.01,0.3,13,0.024306651204824448,0.9462268413917759
mmlu-pro,0,0.01,0.3,14,0.02430037222802639,0.9507455942159965
mmlu-pro,0,0.01,0.3,15,0.024304719641804695,0.9570718481699051
mmlu-pro,0,0.01,0.3,16,0.024297989904880524,0.9543605964753729
mmlu-pro,0,0.01,0.3,17,0.024283071979880333,0.946678716674198
mmlu-pro,0,0.01,0.3,18,0.02428390085697174,0.9493899683687302
mmlu-pro,0,0.01,0.3,19,0.024289505556225777,0.9426118391323995
mmlu-pro,0,0.01,0.3,20,0.024289121851325035,0.9426118391323995
mmlu-pro,0,0.01,0.3,21,0.024305908009409904,0.9534568459105287
mmlu-pro,0,0.01,0.3,22,0.024285323917865753,0.946678716674198
mmlu-pro,0,0.01,0.3,23,0.024293314665555954,0.9525530953456847
mmlu-pro,0,0.01,0.3,24,0.024278566241264343,0.9457749661093539
mmlu-pro,0,0.01,0.3,25,0.024292483925819397,0.9484862178038862
mmlu-pro,0,0.01,0.3,26,0.024277087301015854,0.955716222322639
mmlu-pro,0,0.01,0.3,27,0.024293510243296623,0.9530049706281066
mmlu-pro,0,0.01,0.3,28,0.024291271343827248,0.9511974694984184
