dataset,prop_budget,seed,mean_width,coverage
mmlu-pro,0.275,0,0.015024369582533836,0.9457749661093539
mmlu-pro,0.275,1,0.015023015439510345,0.9511974694984184
mmlu-pro,0.275,2,0.01500280387699604,0.9493899683687302
mmlu-pro,0.275,3,0.014981756918132305,0.9484862178038862
mmlu-pro,0.275,4,0.015015815384685993,0.947582467239042
mmlu-pro,0.275,5,0.014993252232670784,0.9453230908269318
mmlu-pro,0.275,6,0.01502061914652586,0.9462268413917759
mmlu-pro,0.275,7,0.014970295131206512,0.9435155896972436
mmlu-pro,0.275,8,0.014988791197538376,0.9430637144148215
mmlu-pro,0.275,9,0.014985944144427776,0.94713059195662
mmlu-pro,0.275,10,0.014981001615524292,0.9507455942159965
mmlu-pro,0.275,11,0.014993114396929741,0.9493899683687302
mmlu-pro,0.275,12,0.015033023431897163,0.9426118391323995
mmlu-pro,0.275,13,0.01499104592949152,0.94713059195662
mmlu-pro,0.275,14,0.01504741981625557,0.94713059195662
mmlu-pro,0.275,15,0.01501865778118372,0.9480343425214641
mmlu-pro,0.275,16,0.014985794201493263,0.94713059195662
mmlu-pro,0.275,17,0.015035395510494709,0.9511974694984184
mmlu-pro,0.275,18,0.014981323853135109,0.9448712155445097
mmlu-pro,0.275,19,0.01502505224198103,0.9534568459105287
mmlu-pro,0.275,20,0.015006711706519127,0.9530049706281066
mmlu-pro,0.275,21,0.014967299997806549,0.94713059195662
mmlu-pro,0.275,22,0.015022020787000656,0.9493899683687302
mmlu-pro,0.275,23,0.01502564549446106,0.9457749661093539
mmlu-pro,0.275,24,0.015005398541688919,0.94713059195662
mmlu-pro,0.275,25,0.015007114969193935,0.9516493447808405
mmlu-pro,0.275,26,0.015010516159236431,0.946678716674198
mmlu-pro,0.275,27,0.015009509399533272,0.9480343425214641
mmlu-pro,0.275,28,0.014971453696489334,0.9448712155445097
mmlu-pro,0.275,29,0.01502569392323494,0.9498418436511523
mmlu-pro,0.275,30,0.015016328543424606,0.9516493447808405
mmlu-pro,0.275,31,0.014992449432611465,0.9493899683687302
mmlu-pro,0.275,32,0.015037725679576397,0.9426118391323995
mmlu-pro,0.3,0,0.014291820116341114,0.9457749661093539
mmlu-pro,0.3,1,0.014290468767285347,0.9539087211929508
mmlu-pro,0.3,2,0.01426475215703249,0.946678716674198
mmlu-pro,0.3,3,0.014245627447962761,0.94713059195662
mmlu-pro,0.3,4,0.014279390685260296,0.9525530953456847
mmlu-pro,0.3,5,0.01426411047577858,0.9435155896972436
mmlu-pro,0.3,6,0.014294791035354137,0.94713059195662
mmlu-pro,0.3,7,0.014239317737519741,0.9408043380027112
mmlu-pro,0.3,8,0.0142592191696167,0.947582467239042
mmlu-pro,0.3,9,0.014264185912907124,0.9435155896972436
mmlu-pro,0.3,10,0.014248647727072239,0.9521012200632626
mmlu-pro,0.3,11,0.014261358417570591,0.956168097605061
mmlu-pro,0.3,12,0.014296247623860836,0.947582467239042
mmlu-pro,0.3,13,0.01426172349601984,0.94713059195662
mmlu-pro,0.3,14,0.014305142685770988,0.9507455942159965
mmlu-pro,0.3,15,0.014289517886936665,0.9457749661093539
mmlu-pro,0.3,16,0.014253919944167137,0.9498418436511523
mmlu-pro,0.3,17,0.014300794340670109,0.956168097605061
mmlu-pro,0.3,18,0.014259709976613522,0.9394487121554451
mmlu-pro,0.3,19,0.014290546998381615,0.9575237234523272
mmlu-pro,0.3,20,0.014275586232542992,0.9525530953456847
mmlu-pro,0.3,21,0.014239173382520676,0.9502937189335744
mmlu-pro,0.3,22,0.014284892939031124,0.9511974694984184
mmlu-pro,0.3,23,0.014283454976975918,0.9502937189335744
