dataset,n_full_obs,mcar_obs_prob,prop_budget,tau,seed,mean_width,coverage
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,66,0.11266443133354187,0.9073236889692585
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,67,0.11473891884088516,0.9217902350813743
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,68,0.11114435642957687,0.9064195298372514
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,69,0.11358453333377838,0.9028028933092224
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,70,0.11223398149013519,0.9095840867992766
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,71,0.11125019192695618,0.9113924050632911
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,72,0.11431100219488144,0.9023508137432188
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,73,0.11507181823253632,0.897377938517179
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,74,0.11230160295963287,0.9082278481012658
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,75,0.11142019182443619,0.8982820976491862
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,76,0.11252497136592865,0.9041591320072332
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,77,0.11202731728553772,0.9104882459312839
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,78,0.11372251808643341,0.9028028933092224
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,79,0.11284568905830383,0.9037070524412296
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,80,0.11611751466989517,0.9141048824593128
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,81,0.11245284229516983,0.9109403254972875
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,82,0.1136472299695015,0.9073236889692585
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,83,0.11270429193973541,0.9095840867992766
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,84,0.11466161906719208,0.9077757685352622
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,85,0.11418859660625458,0.9064195298372514
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,86,0.1119416281580925,0.899638336347197
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,87,0.1133207306265831,0.9050632911392404
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,88,0.11314991861581802,0.9037070524412296
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,89,0.11162377148866653,0.897377938517179
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,90,0.11398313194513321,0.9186256781193489
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,91,0.11185351759195328,0.909132007233273
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,92,0.11153148859739304,0.899638336347197
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,93,0.1152692660689354,0.9059674502712477
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,94,0.11519238352775574,0.9172694394213381
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,95,0.11372142285108566,0.909132007233273
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,96,0.11540108174085617,0.8960216998191681
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,97,0.11092279851436615,0.900994575045208
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,98,0.11368148773908615,0.9077757685352622
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,99,0.11433123052120209,0.885623869801085
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.25,66,0.09837094694375992,0.9335443037974683
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.25,67,0.09817272424697876,0.9452983725135623
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.25,68,0.09799762815237045,0.9367088607594937
