dataset,n_full_obs,mcar_obs_prob,prop_budget,tau,seed,mean_width,coverage
mmlu-pro,None,1.0,0.025,0.05,0,0.08158907294273376,0.885675553547221
mmlu-pro,None,1.0,0.025,0.05,1,0.08054504543542862,0.8752824220515139
mmlu-pro,None,1.0,0.025,0.05,2,0.08096281439065933,0.8874830546769092
mmlu-pro,None,1.0,0.025,0.05,3,0.07942894101142883,0.8730230456394036
mmlu-pro,None,1.0,0.025,0.05,4,0.07955458015203476,0.877089923181202
mmlu-pro,None,1.0,0.025,0.05,5,0.07951030135154724,0.8915499322187077
mmlu-pro,None,1.0,0.025,0.05,6,0.07950185984373093,0.877089923181202
mmlu-pro,None,1.0,0.025,0.05,7,0.07969528436660767,0.8752824220515139
mmlu-pro,None,1.0,0.025,0.05,8,0.0798245444893837,0.885675553547221
mmlu-pro,None,1.0,0.025,0.05,9,0.08044593781232834,0.8834161771351108
mmlu-pro,None,1.0,0.025,0.05,10,0.07830961793661118,0.8933574333483959
mmlu-pro,None,1.0,0.025,0.05,11,0.08019691705703735,0.8712155445097154
mmlu-pro,None,1.0,0.025,0.05,12,0.07981237024068832,0.8707636692272933
mmlu-pro,None,1.0,0.025,0.05,13,0.07687468826770782,0.8901943063714415
mmlu-pro,None,1.0,0.025,0.05,14,0.08013174682855606,0.8721192950745594
mmlu-pro,None,1.0,0.025,0.05,15,0.07896498590707779,0.8689561680976051
mmlu-pro,None,1.0,0.025,0.05,16,0.07875417172908783,0.8757342973339358
mmlu-pro,None,1.0,0.025,0.05,17,0.08086799830198288,0.8761861726163579
mmlu-pro,None,1.0,0.025,0.05,18,0.07921133190393448,0.885223678264799
mmlu-pro,None,1.0,0.025,0.05,19,0.08115562796592712,0.8870311793944872
mmlu-pro,None,1.0,0.025,0.05,20,0.07890523225069046,0.8865793041120651
mmlu-pro,None,1.0,0.025,0.05,21,0.0790286734700203,0.8829643018526887
mmlu-pro,None,1.0,0.025,0.05,22,0.08186903595924377,0.8897424310890195
mmlu-pro,None,1.0,0.025,0.05,23,0.08004088699817657,0.885675553547221
mmlu-pro,None,1.0,0.025,0.05,24,0.07866660505533218,0.8865793041120651
mmlu-pro,None,1.0,0.025,0.05,25,0.08066753298044205,0.8802530501581564
mmlu-pro,None,1.0,0.025,0.05,26,0.08075745403766632,0.877089923181202
mmlu-pro,None,1.0,0.025,0.05,27,0.08185404539108276,0.8779936737460461
mmlu-pro,None,1.0,0.025,0.05,28,0.07843472063541412,0.8775417984636241
mmlu-pro,None,1.0,0.025,0.05,29,0.08028724789619446,0.8698599186624492
mmlu-pro,None,1.0,0.025,0.05,30,0.08111722022294998,0.894713059195662
mmlu-pro,None,1.0,0.025,0.05,31,0.08021694421768188,0.8807049254405784
mmlu-pro,None,1.0,0.025,0.05,32,0.08063576370477676,0.8865793041120651
mmlu-pro,None,1.0,0.025,0.25,0,0.0706150233745575,0.9335743334839585
mmlu-pro,None,1.0,0.025,0.25,1,0.07052421569824219,0.9263443289652057
mmlu-pro,None,1.0,0.025,0.25,2,0.07062842696905136,0.9367374604609128
mmlu-pro,None,1.0,0.025,0.25,3,0.07038550078868866,0.9331224582015364
mmlu-pro,None,1.0,0.025,0.25,4,0.07050758600234985,0.9281518300948939
mmlu-pro,None,1.0,0.025,0.25,5,0.0709560438990593,0.9362855851784908
mmlu-pro,None,1.0,0.025,0.25,6,0.07050886750221252,0.920018075011297
mmlu-pro,None,1.0,0.025,0.25,7,0.0706116184592247,0.9245368278355174
mmlu-pro,None,1.0,0.025,0.25,8,0.07101865857839584,0.9258924536827836
mmlu-pro,None,1.0,0.025,0.25,9,0.07061681896448135,0.9186624491640307
mmlu-pro,None,1.0,0.025,0.25,10,0.07025661319494247,0.9304112065070042
mmlu-pro,None,1.0,0.025,0.25,11,0.07104221731424332,0.9204699502937189
mmlu-pro,None,1.0,0.025,0.25,12,0.07101123034954071,0.9299593312245821
mmlu-pro,None,1.0,0.025,0.25,13,0.07031570374965668,0.9290555806597379
mmlu-pro,None,1.0,0.025,0.25,14,0.07129845023155212,0.9376412110257569
mmlu-pro,None,1.0,0.025,0.25,15,0.07069858908653259,0.9286037053773158
mmlu-pro,None,1.0,0.025,0.25,16,0.07007920742034912,0.9322187076366923
mmlu-pro,None,1.0,0.025,0.25,17,0.07089526951313019,0.9313149570718482
mmlu-pro,None,1.0,0.025,0.25,18,0.07016250491142273,0.9313149570718482
mmlu-pro,None,1.0,0.025,0.25,19,0.07035514712333679,0.9290555806597379
mmlu-pro,None,1.0,0.025,0.25,20,0.07026545703411102,0.9254405784003615
mmlu-pro,None,1.0,0.025,0.25,21,0.07041650265455246,0.9313149570718482
mmlu-pro,None,1.0,0.025,0.25,22,0.07093459367752075,0.938996836873023
mmlu-pro,None,1.0,0.025,0.25,23,0.07045523077249527,0.9331224582015364
mmlu-pro,None,1.0,0.025,0.25,24,0.07078956812620163,0.9236330772706733
mmlu-pro,None,1.0,0.025,0.25,25,0.07084284722805023,0.9313149570718482
mmlu-pro,None,1.0,0.025,0.25,26,0.07059592008590698,0.92950745594216
mmlu-pro,None,1.0,0.025,0.25,27,0.07091646641492844,0.9349299593312246
mmlu-pro,None,1.0,0.025,0.25,28,0.07039269059896469,0.9313149570718482
mmlu-pro,None,1.0,0.025,0.25,29,0.0708635076880455,0.9276999548124718
mmlu-pro,None,1.0,0.025,0.25,30,0.0710994303226471,0.9353818346136467
mmlu-pro,None,1.0,0.025,0.25,31,0.07073057442903519,0.9182105738816088
mmlu-pro,None,1.0,0.025,0.25,32,0.07068456709384918,0.9439674649796657
mmlu-pro,None,1.0,0.025,0.5,0,0.06848481297492981,0.938093086308179
mmlu-pro,None,1.0,0.025,0.5,1,0.0683978721499443,0.9326705829191143
mmlu-pro,None,1.0,0.025,0.5,2,0.0682600662112236,0.9498418436511523
