dataset,n_full_obs,mcar_obs_prob,prop_budget,policy,tau,f,seed,mean_width,coverage
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,zero,66,0.12100233882665634,0.9452983725135623
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,mean,66,0.10232338309288025,0.9443942133815552
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,zero,67,0.12116262316703796,0.9561482820976491
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,mean,67,0.10231190919876099,0.953887884267631
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,zero,68,0.12112272530794144,0.9462025316455696
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,mean,68,0.10217200219631195,0.9543399638336347
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,zero,69,0.12109269201755524,0.9493670886075949
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,mean,69,0.10219396650791168,0.9507233273056057
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,zero,70,0.12121544033288956,0.9462025316455696
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,mean,70,0.10223476588726044,0.9489150090415913
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,zero,71,0.12118097394704819,0.9525316455696202
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,mean,71,0.10226094722747803,0.9480108499095841
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,zero,72,0.12114695459604263,0.951627486437613
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,mean,72,0.10233099013566971,0.9475587703435805
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,zero,73,0.12112303078174591,0.9489150090415913
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,mean,73,0.10214991122484207,0.9507233273056057
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,zero,74,0.12112586945295334,0.9552441229656419
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,unif,nan,mean,74,0.10213982313871384,0.9484629294755876
