dataset,n_full_obs,mcar_obs_prob,prop_budget,policy,tau,f,seed,mean_width,coverage
mmlu-pro,None,1.0,0.025,unif,nan,zero,33,0.1008949726819992,0.94713059195662
mmlu-pro,None,1.0,0.025,unif,nan,mean,33,0.08389879763126373,0.9502937189335744
mmlu-pro,None,1.0,0.025,unif,nan,zero,34,0.10071684420108795,0.9521012200632626
mmlu-pro,None,1.0,0.025,unif,nan,mean,34,0.08395849168300629,0.9511974694984184
mmlu-pro,None,1.0,0.025,unif,nan,zero,35,0.10075090825557709,0.9530049706281066
mmlu-pro,None,1.0,0.025,unif,nan,mean,35,0.08400315791368484,0.9453230908269318
mmlu-pro,None,1.0,0.025,unif,nan,zero,36,0.10089380294084549,0.9493899683687302
mmlu-pro,None,1.0,0.025,unif,nan,mean,36,0.08397524058818817,0.947582467239042
mmlu-pro,None,1.0,0.025,unif,nan,zero,37,0.10083933174610138,0.9403524627202893
mmlu-pro,None,1.0,0.025,unif,nan,mean,37,0.08400930464267731,0.9493899683687302
mmlu-pro,None,1.0,0.025,unif,nan,zero,38,0.10080617666244507,0.94713059195662
mmlu-pro,None,1.0,0.025,unif,nan,mean,38,0.08393446356058121,0.9498418436511523
mmlu-pro,None,1.0,0.025,unif,nan,zero,39,0.10069485753774643,0.9439674649796657
mmlu-pro,None,1.0,0.025,unif,nan,mean,39,0.08386999368667603,0.9525530953456847
mmlu-pro,None,1.0,0.025,unif,nan,zero,40,0.10090341418981552,0.94713059195662
mmlu-pro,None,1.0,0.025,unif,nan,mean,40,0.0840064212679863,0.9507455942159965
mmlu-pro,None,1.0,0.025,unif,nan,zero,41,0.10092508792877197,0.9507455942159965
mmlu-pro,None,1.0,0.025,unif,nan,mean,41,0.08410739153623581,0.9525530953456847
mmlu-pro,None,1.0,0.025,unif,nan,zero,42,0.10083234310150146,0.9484862178038862
mmlu-pro,None,1.0,0.025,unif,nan,mean,42,0.083988718688488,0.946678716674198
mmlu-pro,None,1.0,0.025,unif,nan,zero,43,0.10082333534955978,0.9539087211929508
mmlu-pro,None,1.0,0.025,unif,nan,mean,43,0.08385711908340454,0.94713059195662
mmlu-pro,None,1.0,0.025,unif,nan,zero,44,0.1007668599486351,0.9493899683687302
mmlu-pro,None,1.0,0.025,unif,nan,mean,44,0.08405445516109467,0.9507455942159965
mmlu-pro,None,1.0,0.025,unif,nan,zero,45,0.1007491797208786,0.9539087211929508
mmlu-pro,None,1.0,0.025,unif,nan,mean,45,0.08388879150152206,0.946678716674198
mmlu-pro,None,1.0,0.025,unif,nan,zero,46,0.10077548027038574,0.9484862178038862
mmlu-pro,None,1.0,0.025,unif,nan,mean,46,0.08400177210569382,0.9426118391323995
mmlu-pro,None,1.0,0.025,unif,nan,zero,47,0.10071251541376114,0.9489380930863082
mmlu-pro,None,1.0,0.025,unif,nan,mean,47,0.08393418043851852,0.9426118391323995
mmlu-pro,None,1.0,0.025,unif,nan,zero,48,0.1007581576704979,0.9385449615906011
mmlu-pro,None,1.0,0.025,unif,nan,mean,48,0.08396848291158676,0.9462268413917759
mmlu-pro,None,1.0,0.025,unif,nan,zero,49,0.10083511471748352,0.9457749661093539
mmlu-pro,None,1.0,0.025,unif,nan,mean,49,0.08391053974628448,0.9408043380027112
mmlu-pro,None,1.0,0.025,unif,nan,zero,50,0.10080961138010025,0.9448712155445097
mmlu-pro,None,1.0,0.025,unif,nan,mean,50,0.0839589312672615,0.9453230908269318
mmlu-pro,None,1.0,0.025,unif,nan,zero,51,0.10076413303613663,0.9502937189335744
mmlu-pro,None,1.0,0.025,unif,nan,mean,51,0.08389843255281448,0.9498418436511523
mmlu-pro,None,1.0,0.025,unif,nan,zero,52,0.10087912529706955,0.9484862178038862
mmlu-pro,None,1.0,0.025,unif,nan,mean,52,0.08395333588123322,0.94713059195662
mmlu-pro,None,1.0,0.025,unif,nan,zero,53,0.1008266732096672,0.9548124717577949
mmlu-pro,None,1.0,0.025,unif,nan,mean,53,0.08391400426626205,0.9516493447808405
mmlu-pro,None,1.0,0.025,unif,nan,zero,54,0.1008995920419693,0.9548124717577949
mmlu-pro,None,1.0,0.025,unif,nan,mean,54,0.08417785167694092,0.9525530953456847
mmlu-pro,None,1.0,0.025,unif,nan,zero,55,0.10073298960924149,0.9516493447808405
mmlu-pro,None,1.0,0.025,unif,nan,mean,55,0.08391553163528442,0.9552643470402169
mmlu-pro,None,1.0,0.025,unif,nan,zero,56,0.10077562928199768,0.9511974694984184
mmlu-pro,None,1.0,0.025,unif,nan,mean,56,0.08395633846521378,0.9530049706281066
mmlu-pro,None,1.0,0.025,unif,nan,zero,57,0.10079772025346756,0.947582467239042
mmlu-pro,None,1.0,0.025,unif,nan,mean,57,0.08397692441940308,0.9493899683687302
mmlu-pro,None,1.0,0.025,unif,nan,zero,58,0.10082316398620605,0.9597830998644374
mmlu-pro,None,1.0,0.025,unif,nan,mean,58,0.08399716764688492,0.9597830998644374
mmlu-pro,None,1.0,0.025,unif,nan,zero,59,0.10075066983699799,0.947582467239042
mmlu-pro,None,1.0,0.025,unif,nan,mean,59,0.083892822265625,0.9444193402620877
mmlu-pro,None,1.0,0.025,unif,nan,zero,60,0.10082123428583145,0.9566199728874831
mmlu-pro,None,1.0,0.025,unif,nan,mean,60,0.08385716378688812,0.9480343425214641
