dataset,n_full_obs,mcar_obs_prob,prop_budget,seed,mean_width,coverage
mmlu-pro,None,1.0,0.025,33,0.06826817989349365,0.9444193402620877
mmlu-pro,None,1.0,0.025,34,0.06805778294801712,0.9502937189335744
mmlu-pro,None,1.0,0.025,35,0.06801414489746094,0.9534568459105287
mmlu-pro,None,1.0,0.025,36,0.06777308881282806,0.9399005874378672
mmlu-pro,None,1.0,0.025,37,0.06757654994726181,0.9462268413917759
mmlu-pro,None,1.0,0.025,38,0.06781069189310074,0.9412562132851333
mmlu-pro,None,1.0,0.025,39,0.06783735007047653,0.9530049706281066
mmlu-pro,None,1.0,0.025,40,0.06737242639064789,0.947582467239042
mmlu-pro,None,1.0,0.025,41,0.06777262687683105,0.9462268413917759
mmlu-pro,None,1.0,0.025,42,0.06761787831783295,0.9371893357433349
mmlu-pro,None,1.0,0.025,43,0.06747326254844666,0.94713059195662
mmlu-pro,None,1.0,0.025,44,0.06816830486059189,0.9435155896972436
mmlu-pro,None,1.0,0.025,45,0.06792682409286499,0.94713059195662
mmlu-pro,None,1.0,0.025,46,0.06766291707754135,0.94713059195662
mmlu-pro,None,1.0,0.025,47,0.0676824301481247,0.9543605964753729
mmlu-pro,None,1.0,0.025,48,0.06764375418424606,0.9412562132851333
mmlu-pro,None,1.0,0.025,49,0.06741007417440414,0.9530049706281066
mmlu-pro,None,1.0,0.025,50,0.06777696311473846,0.9552643470402169
mmlu-pro,None,1.0,0.025,51,0.06771890074014664,0.9453230908269318
mmlu-pro,None,1.0,0.025,52,0.06760130822658539,0.9457749661093539
mmlu-pro,None,1.0,0.025,53,0.0679922103881836,0.9484862178038862
mmlu-pro,None,1.0,0.025,54,0.06762827932834625,0.956168097605061
mmlu-pro,None,1.0,0.025,55,0.06760526448488235,0.9448712155445097
mmlu-pro,None,1.0,0.025,56,0.0680503100156784,0.94713059195662
mmlu-pro,None,1.0,0.025,57,0.0678398460149765,0.9498418436511523
mmlu-pro,None,1.0,0.025,58,0.06787029653787613,0.9453230908269318
mmlu-pro,None,1.0,0.025,59,0.06801415979862213,0.9493899683687302
mmlu-pro,None,1.0,0.025,60,0.06751129031181335,0.9489380930863082
mmlu-pro,None,1.0,0.025,61,0.06768171489238739,0.9511974694984184
mmlu-pro,None,1.0,0.025,62,0.06770122796297073,0.9412562132851333
mmlu-pro,None,1.0,0.025,63,0.06781727075576782,0.946678716674198
mmlu-pro,None,1.0,0.025,64,0.06756372004747391,0.9493899683687302
mmlu-pro,None,1.0,0.025,65,0.06808009743690491,0.9530049706281066
mmlu-pro,None,1.0,0.05,33,0.04298185929656029,0.9507455942159965
mmlu-pro,None,1.0,0.05,34,0.042760249227285385,0.9516493447808405
mmlu-pro,None,1.0,0.05,35,0.042755063623189926,0.9507455942159965
mmlu-pro,None,1.0,0.05,36,0.04284154251217842,0.9444193402620877
mmlu-pro,None,1.0,0.05,37,0.04268428683280945,0.946678716674198
mmlu-pro,None,1.0,0.05,38,0.04309910535812378,0.9448712155445097
