dataset,n_full_obs,mcar_obs_prob,prop_budget,seed,mean_width,coverage
mmlu-pro,None,1.0,0.025,33,0.06769131124019623,0.9430637144148215
mmlu-pro,None,1.0,0.025,34,0.06750164926052094,0.94713059195662
mmlu-pro,None,1.0,0.025,35,0.06746185570955276,0.9525530953456847
mmlu-pro,None,1.0,0.025,36,0.06724195927381516,0.938996836873023
mmlu-pro,None,1.0,0.025,37,0.06704545766115189,0.9453230908269318
mmlu-pro,None,1.0,0.025,38,0.06727486103773117,0.9403524627202893
mmlu-pro,None,1.0,0.025,39,0.06727924942970276,0.9521012200632626
mmlu-pro,None,1.0,0.025,40,0.06685023754835129,0.94713059195662
mmlu-pro,None,1.0,0.025,41,0.067243292927742,0.9435155896972436
mmlu-pro,None,1.0,0.025,42,0.06709199398756027,0.9358337098960687
mmlu-pro,None,1.0,0.025,43,0.06695485860109329,0.9462268413917759
mmlu-pro,None,1.0,0.025,44,0.06759975105524063,0.9417080885675554
mmlu-pro,None,1.0,0.025,45,0.06736736744642258,0.946678716674198
mmlu-pro,None,1.0,0.025,46,0.06714864820241928,0.9453230908269318
mmlu-pro,None,1.0,0.025,47,0.06714323163032532,0.9521012200632626
mmlu-pro,None,1.0,0.025,48,0.06713169068098068,0.9394487121554451
mmlu-pro,None,1.0,0.025,49,0.06688345968723297,0.9525530953456847
mmlu-pro,None,1.0,0.025,50,0.06723713129758835,0.9539087211929508
mmlu-pro,None,1.0,0.025,51,0.06717685610055923,0.9435155896972436
mmlu-pro,None,1.0,0.025,52,0.06705961376428604,0.9448712155445097
mmlu-pro,None,1.0,0.025,53,0.06744787096977234,0.9480343425214641
mmlu-pro,None,1.0,0.025,54,0.06707342714071274,0.9534568459105287
mmlu-pro,None,1.0,0.025,55,0.06706893444061279,0.9439674649796657
mmlu-pro,None,1.0,0.025,56,0.06749952584505081,0.9457749661093539
mmlu-pro,None,1.0,0.025,57,0.06729599833488464,0.9480343425214641
mmlu-pro,None,1.0,0.025,58,0.06733997911214828,0.9453230908269318
mmlu-pro,None,1.0,0.025,59,0.06746349483728409,0.9489380930863082
mmlu-pro,None,1.0,0.025,60,0.06699516624212265,0.947582467239042
mmlu-pro,None,1.0,0.025,61,0.0671117901802063,0.9489380930863082
mmlu-pro,None,1.0,0.025,62,0.06717729568481445,0.9371893357433349
mmlu-pro,None,1.0,0.025,63,0.06728348135948181,0.9457749661093539
mmlu-pro,None,1.0,0.025,64,0.06704658269882202,0.9489380930863082
mmlu-pro,None,1.0,0.025,65,0.06753548234701157,0.9521012200632626
mmlu-pro,None,1.0,0.05,33,0.042739104479551315,0.9498418436511523
mmlu-pro,None,1.0,0.05,34,0.04254041239619255,0.9511974694984184
mmlu-pro,None,1.0,0.05,35,0.042534127831459045,0.9511974694984184
mmlu-pro,None,1.0,0.05,36,0.042614322155714035,0.9435155896972436
mmlu-pro,None,1.0,0.05,37,0.04245087504386902,0.946678716674198
mmlu-pro,None,1.0,0.05,38,0.04286899045109749,0.9448712155445097
mmlu-pro,None,1.0,0.05,39,0.04264014959335327,0.9344780840488026
mmlu-pro,None,1.0,0.05,40,0.04203598201274872,0.9516493447808405
mmlu-pro,None,1.0,0.05,41,0.04225170984864235,0.9462268413917759
mmlu-pro,None,1.0,0.05,42,0.04222843050956726,0.9444193402620877
mmlu-pro,None,1.0,0.05,43,0.04236915335059166,0.9426118391323995
mmlu-pro,None,1.0,0.05,44,0.042508624494075775,0.9435155896972436
mmlu-pro,None,1.0,0.05,45,0.04245150834321976,0.9371893357433349
mmlu-pro,None,1.0,0.05,46,0.04241505265235901,0.9579755987347492
mmlu-pro,None,1.0,0.05,47,0.0422779805958271,0.9516493447808405
mmlu-pro,None,1.0,0.05,48,0.04236474633216858,0.9426118391323995
mmlu-pro,None,1.0,0.05,49,0.04209238663315773,0.9543605964753729
mmlu-pro,None,1.0,0.05,50,0.04228830710053444,0.9448712155445097
mmlu-pro,None,1.0,0.05,51,0.04240903630852699,0.9412562132851333
mmlu-pro,None,1.0,0.05,52,0.04245728999376297,0.946678716674198
mmlu-pro,None,1.0,0.05,53,0.04257635772228241,0.9525530953456847
mmlu-pro,None,1.0,0.05,54,0.04231100529432297,0.9462268413917759
mmlu-pro,None,1.0,0.05,55,0.04234878718852997,0.9335743334839585
mmlu-pro,None,1.0,0.05,56,0.04238810017704964,0.9484862178038862
mmlu-pro,None,1.0,0.05,57,0.04241713508963585,0.9552643470402169
mmlu-pro,None,1.0,0.05,58,0.0422804057598114,0.9462268413917759
mmlu-pro,None,1.0,0.05,59,0.042430147528648376,0.9489380930863082
mmlu-pro,None,1.0,0.05,60,0.0423087514936924,0.9480343425214641
mmlu-pro,None,1.0,0.05,61,0.042351171374320984,0.9399005874378672
mmlu-pro,None,1.0,0.05,62,0.04226664453744888,0.9426118391323995
mmlu-pro,None,1.0,0.05,63,0.04241077974438667,0.938093086308179
mmlu-pro,None,1.0,0.05,64,0.042105719447135925,0.9502937189335744
mmlu-pro,None,1.0,0.05,65,0.04239629954099655,0.94713059195662
mmlu-pro,None,1.0,0.075,33,0.03233792260289192,0.9489380930863082
mmlu-pro,None,1.0,0.075,34,0.03217455372214317,0.9435155896972436
mmlu-pro,None,1.0,0.075,35,0.03219939395785332,0.9489380930863082
mmlu-pro,None,1.0,0.075,36,0.03224106878042221,0.9502937189335744
mmlu-pro,None,1.0,0.075,37,0.03213641420006752,0.9493899683687302
mmlu-pro,None,1.0,0.075,38,0.03242248669266701,0.9453230908269318
mmlu-pro,None,1.0,0.075,39,0.03223927691578865,0.947582467239042
mmlu-pro,None,1.0,0.075,40,0.0319468192756176,0.9417080885675554
mmlu-pro,None,1.0,0.075,41,0.03202741965651512,0.9448712155445097
mmlu-pro,None,1.0,0.075,42,0.03204069659113884,0.9457749661093539
mmlu-pro,None,1.0,0.075,43,0.03210627660155296,0.947582467239042
mmlu-pro,None,1.0,0.075,44,0.032163187861442566,0.9376412110257569
mmlu-pro,None,1.0,0.075,45,0.03213925287127495,0.9399005874378672
mmlu-pro,None,1.0,0.075,46,0.032135870307683945,0.956168097605061
