dataset,n_full_obs,mcar_obs_prob,prop_budget,seed,mean_width,coverage
mmlu-pro,None,1.0,0.025,33,0.06598637253046036,0.9362855851784908
mmlu-pro,None,1.0,0.025,34,0.06618140637874603,0.94713059195662
mmlu-pro,None,1.0,0.025,35,0.06626390665769577,0.9421599638499775
mmlu-pro,None,1.0,0.025,36,0.06614749878644943,0.9430637144148215
mmlu-pro,None,1.0,0.025,37,0.06610188633203506,0.938093086308179
mmlu-pro,None,1.0,0.025,38,0.0662262886762619,0.9430637144148215
mmlu-pro,None,1.0,0.025,39,0.06644923239946365,0.9457749661093539
mmlu-pro,None,1.0,0.025,40,0.06631802022457123,0.9362855851784908
mmlu-pro,None,1.0,0.025,41,0.06644102931022644,0.9448712155445097
mmlu-pro,None,1.0,0.025,42,0.0663118064403534,0.9439674649796657
mmlu-pro,None,1.0,0.025,43,0.06633071601390839,0.9322187076366923
mmlu-pro,None,1.0,0.025,44,0.06583958119153976,0.938093086308179
mmlu-pro,None,1.0,0.025,45,0.06627797335386276,0.9430637144148215
mmlu-pro,None,1.0,0.025,46,0.06602124124765396,0.9484862178038862
mmlu-pro,None,1.0,0.025,47,0.06603214889764786,0.9507455942159965
mmlu-pro,None,1.0,0.025,48,0.06610982865095139,0.938996836873023
mmlu-pro,None,1.0,0.025,49,0.06632836163043976,0.9421599638499775
mmlu-pro,None,1.0,0.025,50,0.06637246161699295,0.9493899683687302
mmlu-pro,None,1.0,0.025,51,0.0661214292049408,0.9362855851784908
mmlu-pro,None,1.0,0.025,52,0.06588483601808548,0.9430637144148215
mmlu-pro,None,1.0,0.025,53,0.06620728224515915,0.946678716674198
mmlu-pro,None,1.0,0.025,54,0.06616807729005814,0.9362855851784908
mmlu-pro,None,1.0,0.025,55,0.06656255573034286,0.9362855851784908
mmlu-pro,None,1.0,0.025,56,0.06637531518936157,0.938093086308179
mmlu-pro,None,1.0,0.025,57,0.06596354395151138,0.9371893357433349
mmlu-pro,None,1.0,0.025,58,0.06629016995429993,0.9426118391323995
mmlu-pro,None,1.0,0.025,59,0.06594453752040863,0.9448712155445097
mmlu-pro,None,1.0,0.025,60,0.06630446016788483,0.9403524627202893
mmlu-pro,None,1.0,0.025,61,0.06594002991914749,0.9367374604609128
mmlu-pro,None,1.0,0.025,62,0.06606104969978333,0.9362855851784908
mmlu-pro,None,1.0,0.025,63,0.06635046005249023,0.9507455942159965
mmlu-pro,None,1.0,0.025,64,0.06671836227178574,0.9408043380027112
mmlu-pro,None,1.0,0.025,65,0.06622277200222015,0.9421599638499775
mmlu-pro,None,1.0,0.05,33,0.04152370244264603,0.9353818346136467
mmlu-pro,None,1.0,0.05,34,0.04179216921329498,0.9493899683687302
mmlu-pro,None,1.0,0.05,35,0.041781723499298096,0.9408043380027112
mmlu-pro,None,1.0,0.05,36,0.0419447086751461,0.9376412110257569
mmlu-pro,None,1.0,0.05,37,0.04188494756817818,0.9403524627202893
mmlu-pro,None,1.0,0.05,38,0.04161948338150978,0.938093086308179
mmlu-pro,None,1.0,0.05,39,0.04176973178982735,0.9403524627202893
mmlu-pro,None,1.0,0.05,40,0.041707687079906464,0.9340262087663805
mmlu-pro,None,1.0,0.05,41,0.041966188699007034,0.9408043380027112
mmlu-pro,None,1.0,0.05,42,0.04187607392668724,0.938996836873023
mmlu-pro,None,1.0,0.05,43,0.04188137874007225,0.9313149570718482
mmlu-pro,None,1.0,0.05,44,0.041866786777973175,0.9435155896972436
mmlu-pro,None,1.0,0.05,45,0.04167577996850014,0.9385449615906011
mmlu-pro,None,1.0,0.05,46,0.04165809229016304,0.9462268413917759
mmlu-pro,None,1.0,0.05,47,0.04171836003661156,0.9439674649796657
mmlu-pro,None,1.0,0.05,48,0.041574422270059586,0.9263443289652057
mmlu-pro,None,1.0,0.05,49,0.042025696486234665,0.946678716674198
mmlu-pro,None,1.0,0.05,50,0.04198430851101875,0.9480343425214641
