dataset,n_full_obs,mcar_obs_prob,prop_budget,seed,mean_width,coverage
mmlu-pro,None,1.0,0.025,0,0.06648675352334976,0.9412562132851333
mmlu-pro,None,1.0,0.025,1,0.06651785224676132,0.9430637144148215
mmlu-pro,None,1.0,0.025,2,0.06604199856519699,0.9403524627202893
mmlu-pro,None,1.0,0.025,3,0.06630775332450867,0.9371893357433349
mmlu-pro,None,1.0,0.025,4,0.06644871830940247,0.9457749661093539
mmlu-pro,None,1.0,0.025,5,0.0661299079656601,0.9376412110257569
mmlu-pro,None,1.0,0.025,6,0.06646106392145157,0.9439674649796657
mmlu-pro,None,1.0,0.025,7,0.06651400774717331,0.9498418436511523
mmlu-pro,None,1.0,0.025,8,0.0664256140589714,0.9448712155445097
mmlu-pro,None,1.0,0.025,9,0.06638593226671219,0.938996836873023
mmlu-pro,None,1.0,0.025,10,0.06617734581232071,0.9376412110257569
mmlu-pro,None,1.0,0.025,11,0.06663812696933746,0.9457749661093539
mmlu-pro,None,1.0,0.025,12,0.0664735659956932,0.938996836873023
mmlu-pro,None,1.0,0.025,13,0.06619993597269058,0.9394487121554451
mmlu-pro,None,1.0,0.025,14,0.06607683002948761,0.9344780840488026
mmlu-pro,None,1.0,0.025,15,0.0663817822933197,0.9412562132851333
mmlu-pro,None,1.0,0.025,16,0.0663459450006485,0.9484862178038862
mmlu-pro,None,1.0,0.025,17,0.06641532480716705,0.9421599638499775
mmlu-pro,None,1.0,0.025,18,0.06659416854381561,0.9439674649796657
mmlu-pro,None,1.0,0.025,19,0.0663873702287674,0.9371893357433349
mmlu-pro,None,1.0,0.025,20,0.0664028599858284,0.9403524627202893
mmlu-pro,None,1.0,0.025,21,0.06625630706548691,0.9385449615906011
mmlu-pro,None,1.0,0.025,22,0.0662446916103363,0.94713059195662
mmlu-pro,None,1.0,0.025,23,0.06603097915649414,0.938093086308179
mmlu-pro,None,1.0,0.025,24,0.06646081805229187,0.9371893357433349
mmlu-pro,None,1.0,0.025,25,0.06671642512083054,0.9511974694984184
mmlu-pro,None,1.0,0.025,26,0.06589765846729279,0.9304112065070042
mmlu-pro,None,1.0,0.025,27,0.06651686131954193,0.9453230908269318
mmlu-pro,None,1.0,0.025,28,0.06614531576633453,0.9399005874378672
mmlu-pro,None,1.0,0.025,29,0.06658895313739777,0.9417080885675554
mmlu-pro,None,1.0,0.025,30,0.06615541875362396,0.9376412110257569
mmlu-pro,None,1.0,0.025,31,0.06626389175653458,0.9367374604609128
mmlu-pro,None,1.0,0.025,32,0.06627040356397629,0.9371893357433349
mmlu-pro,None,1.0,0.05,0,0.04203590750694275,0.9408043380027112
mmlu-pro,None,1.0,0.05,1,0.04208942875266075,0.9426118391323995
mmlu-pro,None,1.0,0.05,2,0.04189111664891243,0.9385449615906011
mmlu-pro,None,1.0,0.05,3,0.042007315903902054,0.9453230908269318
mmlu-pro,None,1.0,0.05,4,0.04205726459622383,0.9439674649796657
mmlu-pro,None,1.0,0.05,5,0.04192491993308067,0.9453230908269318
mmlu-pro,None,1.0,0.05,6,0.04199296608567238,0.9507455942159965
mmlu-pro,None,1.0,0.05,7,0.042078521102666855,0.9426118391323995
mmlu-pro,None,1.0,0.05,8,0.04201117530465126,0.94713059195662
mmlu-pro,None,1.0,0.05,9,0.04206143319606781,0.9448712155445097
mmlu-pro,None,1.0,0.05,10,0.04198336601257324,0.9385449615906011
mmlu-pro,None,1.0,0.05,11,0.04213318973779678,0.9448712155445097
mmlu-pro,None,1.0,0.05,12,0.04207644611597061,0.9435155896972436
mmlu-pro,None,1.0,0.05,13,0.04196203500032425,0.9399005874378672
mmlu-pro,None,1.0,0.05,14,0.04191742464900017,0.9385449615906011
mmlu-pro,None,1.0,0.05,15,0.04203348606824875,0.9521012200632626
mmlu-pro,None,1.0,0.05,16,0.042008236050605774,0.9489380930863082
mmlu-pro,None,1.0,0.05,17,0.042017627507448196,0.9462268413917759
mmlu-pro,None,1.0,0.05,18,0.042152002453804016,0.9444193402620877
mmlu-pro,None,1.0,0.05,19,0.042065076529979706,0.9511974694984184
mmlu-pro,None,1.0,0.05,20,0.04205209016799927,0.9453230908269318
mmlu-pro,None,1.0,0.05,21,0.041952621191740036,0.9426118391323995
mmlu-pro,None,1.0,0.05,22,0.041953545063734055,0.9493899683687302
mmlu-pro,None,1.0,0.05,23,0.0418596975505352,0.9435155896972436
mmlu-pro,None,1.0,0.05,24,0.04207318276166916,0.9444193402620877
mmlu-pro,None,1.0,0.05,25,0.042100466787815094,0.9498418436511523
mmlu-pro,None,1.0,0.05,26,0.04186293110251427,0.9448712155445097
mmlu-pro,None,1.0,0.05,27,0.04204840213060379,0.9394487121554451
mmlu-pro,None,1.0,0.05,28,0.041887957602739334,0.9435155896972436
mmlu-pro,None,1.0,0.05,29,0.0420721098780632,0.9376412110257569
mmlu-pro,None,1.0,0.05,30,0.04204921796917915,0.9502937189335744
mmlu-pro,None,1.0,0.05,31,0.04190137982368469,0.9408043380027112
mmlu-pro,None,1.0,0.05,32,0.04197772592306137,0.9489380930863082
mmlu-pro,None,1.0,0.075,0,0.032105736434459686,0.9430637144148215
mmlu-pro,None,1.0,0.075,1,0.032115109264850616,0.947582467239042
mmlu-pro,None,1.0,0.075,2,0.03199918568134308,0.9399005874378672
mmlu-pro,None,1.0,0.075,3,0.03209816291928291,0.9421599638499775
mmlu-pro,None,1.0,0.075,4,0.03211244195699692,0.9493899683687302
mmlu-pro,None,1.0,0.075,5,0.03203171491622925,0.9412562132851333
mmlu-pro,None,1.0,0.075,6,0.03206564486026764,0.9444193402620877
mmlu-pro,None,1.0,0.075,7,0.03211459517478943,0.9444193402620877
mmlu-pro,None,1.0,0.075,8,0.03207218647003174,0.9367374604609128
mmlu-pro,None,1.0,0.075,9,0.03211846575140953,0.9521012200632626
mmlu-pro,None,1.0,0.075,10,0.03201952949166298,0.9480343425214641
mmlu-pro,None,1.0,0.075,11,0.03215858340263367,0.9462268413917759
mmlu-pro,None,1.0,0.075,12,0.03209199756383896,0.94713059195662
mmlu-pro,None,1.0,0.075,13,0.03206464275717735,0.94713059195662
mmlu-pro,None,1.0,0.075,14,0.032002806663513184,0.9340262087663805
mmlu-pro,None,1.0,0.075,15,0.03209444135427475,0.9480343425214641
mmlu-pro,None,1.0,0.075,16,0.03204561397433281,0.956168097605061
mmlu-pro,None,1.0,0.075,17,0.03209427371621132,0.9498418436511523
mmlu-pro,None,1.0,0.075,18,0.03213304281234741,0.9412562132851333
mmlu-pro,None,1.0,0.075,19,0.03212661296129227,0.9507455942159965
mmlu-pro,None,1.0,0.075,20,0.03209689259529114,0.9489380930863082
mmlu-pro,None,1.0,0.075,21,0.032034486532211304,0.9498418436511523
mmlu-pro,None,1.0,0.075,22,0.032049138098955154,0.9502937189335744
