dataset,n_full_obs,mcar_obs_prob,prop_budget,policy,tau,f,seed,mean_width,coverage
mmlu-pro,None,1.0,0.025,unif,nan,zero,33,0.10065030306577682,0.9444193402620877
mmlu-pro,None,1.0,0.025,unif,nan,mean,33,0.0838189423084259,0.9426118391323995
mmlu-pro,None,1.0,0.025,unif,nan,zero,34,0.10090087354183197,0.9516493447808405
mmlu-pro,None,1.0,0.025,unif,nan,mean,34,0.08397998660802841,0.94713059195662
mmlu-pro,None,1.0,0.025,unif,nan,zero,35,0.1008719950914383,0.9516493447808405
mmlu-pro,None,1.0,0.025,unif,nan,mean,35,0.08401938527822495,0.94713059195662
mmlu-pro,None,1.0,0.025,unif,nan,zero,36,0.10083452612161636,0.9489380930863082
mmlu-pro,None,1.0,0.025,unif,nan,mean,36,0.08402218669652939,0.9439674649796657
mmlu-pro,None,1.0,0.025,unif,nan,zero,37,0.10077880322933197,0.9507455942159965
mmlu-pro,None,1.0,0.025,unif,nan,mean,37,0.08411766588687897,0.9493899683687302
mmlu-pro,None,1.0,0.025,unif,nan,zero,38,0.10085614025592804,0.9530049706281066
mmlu-pro,None,1.0,0.025,unif,nan,mean,38,0.0840001180768013,0.9588793492995934
mmlu-pro,None,1.0,0.025,unif,nan,zero,39,0.10076814144849777,0.9552643470402169
mmlu-pro,None,1.0,0.025,unif,nan,mean,39,0.0839022547006607,0.9552643470402169
mmlu-pro,None,1.0,0.025,unif,nan,zero,40,0.10076813399791718,0.94713059195662
mmlu-pro,None,1.0,0.025,unif,nan,mean,40,0.08402390778064728,0.9408043380027112
mmlu-pro,None,1.0,0.025,unif,nan,zero,41,0.10073542594909668,0.9412562132851333
mmlu-pro,None,1.0,0.025,unif,nan,mean,41,0.08384324610233307,0.9435155896972436
mmlu-pro,None,1.0,0.025,unif,nan,zero,42,0.10085532069206238,0.938996836873023
mmlu-pro,None,1.0,0.025,unif,nan,mean,42,0.08400145173072815,0.9462268413917759
mmlu-pro,None,1.0,0.025,unif,nan,zero,43,0.10093490779399872,0.9421599638499775
mmlu-pro,None,1.0,0.025,unif,nan,mean,43,0.08403303474187851,0.94713059195662
mmlu-pro,None,1.0,0.025,unif,nan,zero,44,0.10067206621170044,0.9462268413917759
mmlu-pro,None,1.0,0.025,unif,nan,mean,44,0.08382456004619598,0.947582467239042
mmlu-pro,None,1.0,0.025,unif,nan,zero,45,0.10068346560001373,0.947582467239042
mmlu-pro,None,1.0,0.025,unif,nan,mean,45,0.08390291035175323,0.9552643470402169
mmlu-pro,None,1.0,0.025,unif,nan,zero,46,0.10078005492687225,0.946678716674198
mmlu-pro,None,1.0,0.025,unif,nan,mean,46,0.0839451253414154,0.9516493447808405
mmlu-pro,None,1.0,0.025,unif,nan,zero,47,0.10081145167350769,0.9511974694984184
mmlu-pro,None,1.0,0.025,unif,nan,mean,47,0.08390133827924728,0.9579755987347492
mmlu-pro,None,1.0,0.025,unif,nan,zero,48,0.10090138018131256,0.9493899683687302
mmlu-pro,None,1.0,0.025,unif,nan,mean,48,0.08403664827346802,0.9516493447808405
mmlu-pro,None,1.0,0.025,unif,nan,zero,49,0.10078124701976776,0.9543605964753729
mmlu-pro,None,1.0,0.025,unif,nan,mean,49,0.08403360098600388,0.9511974694984184
mmlu-pro,None,1.0,0.025,unif,nan,zero,50,0.10089803487062454,0.9421599638499775
mmlu-pro,None,1.0,0.025,unif,nan,mean,50,0.08398750424385071,0.9493899683687302
mmlu-pro,None,1.0,0.025,unif,nan,zero,51,0.10083447396755219,0.9385449615906011
mmlu-pro,None,1.0,0.025,unif,nan,mean,51,0.08404362946748734,0.9371893357433349
mmlu-pro,None,1.0,0.025,unif,nan,zero,52,0.10087184607982635,0.9530049706281066
mmlu-pro,None,1.0,0.025,unif,nan,mean,52,0.08400129526853561,0.9453230908269318
mmlu-pro,None,1.0,0.025,unif,nan,zero,53,0.10080104321241379,0.9502937189335744
mmlu-pro,None,1.0,0.025,unif,nan,mean,53,0.08400098234415054,0.9457749661093539
mmlu-pro,None,1.0,0.025,unif,nan,zero,54,0.10080317407846451,0.9439674649796657
mmlu-pro,None,1.0,0.025,unif,nan,mean,54,0.08399710059165955,0.94713059195662
mmlu-pro,None,1.0,0.025,unif,nan,zero,55,0.10074128210544586,0.9448712155445097
mmlu-pro,None,1.0,0.025,unif,nan,mean,55,0.08393439650535583,0.9439674649796657
mmlu-pro,None,1.0,0.025,unif,nan,zero,56,0.10082610696554184,0.9489380930863082
mmlu-pro,None,1.0,0.025,unif,nan,mean,56,0.08395710587501526,0.9543605964753729
mmlu-pro,None,1.0,0.025,unif,nan,zero,57,0.10077781975269318,0.9516493447808405
mmlu-pro,None,1.0,0.025,unif,nan,mean,57,0.08409247547388077,0.9412562132851333
mmlu-pro,None,1.0,0.025,unif,nan,zero,58,0.10075421631336212,0.9489380930863082
mmlu-pro,None,1.0,0.025,unif,nan,mean,58,0.08399076759815216,0.9493899683687302
mmlu-pro,None,1.0,0.025,unif,nan,zero,59,0.10081228613853455,0.9498418436511523
mmlu-pro,None,1.0,0.025,unif,nan,mean,59,0.08392661809921265,0.9516493447808405
mmlu-pro,None,1.0,0.025,unif,nan,zero,60,0.10077901184558868,0.9507455942159965
mmlu-pro,None,1.0,0.025,unif,nan,mean,60,0.08392146974802017,0.9498418436511523
mmlu-pro,None,1.0,0.025,unif,nan,zero,61,0.10074888914823532,0.9412562132851333
mmlu-pro,None,1.0,0.025,unif,nan,mean,61,0.08389425277709961,0.946678716674198
mmlu-pro,None,1.0,0.025,unif,nan,zero,62,0.10073702782392502,0.9575237234523272
mmlu-pro,None,1.0,0.025,unif,nan,mean,62,0.08400345593690872,0.9521012200632626
mmlu-pro,None,1.0,0.025,unif,nan,zero,63,0.10083092749118805,0.9548124717577949
mmlu-pro,None,1.0,0.025,unif,nan,mean,63,0.08401598036289215,0.9548124717577949
mmlu-pro,None,1.0,0.025,unif,nan,zero,64,0.10080043971538544,0.947582467239042
mmlu-pro,None,1.0,0.025,unif,nan,mean,64,0.0839492678642273,0.9525530953456847
mmlu-pro,None,1.0,0.025,unif,nan,zero,65,0.10075853019952774,0.947582467239042
mmlu-pro,None,1.0,0.025,unif,nan,mean,65,0.08392301201820374,0.94713059195662
mmlu-pro,None,1.0,0.025,sqrt,0.05,zero,33,0.09264273196458817,0.947582467239042
mmlu-pro,None,1.0,0.025,sqrt,0.05,mean,33,0.07987198978662491,0.94713059195662
mmlu-pro,None,1.0,0.025,sqrt,0.05,zero,34,0.09284088760614395,0.9462268413917759
mmlu-pro,None,1.0,0.025,sqrt,0.05,mean,34,0.0800766721367836,0.9511974694984184
mmlu-pro,None,1.0,0.025,sqrt,0.05,zero,35,0.09284209460020065,0.9566199728874831
mmlu-pro,None,1.0,0.025,sqrt,0.05,mean,35,0.08013242483139038,0.9462268413917759
mmlu-pro,None,1.0,0.025,sqrt,0.05,zero,36,0.09271809458732605,0.9484862178038862
mmlu-pro,None,1.0,0.025,sqrt,0.05,mean,36,0.08003071695566177,0.947582467239042
mmlu-pro,None,1.0,0.025,sqrt,0.05,zero,37,0.09275174140930176,0.94713059195662
mmlu-pro,None,1.0,0.025,sqrt,0.05,mean,37,0.08027546107769012,0.9457749661093539
mmlu-pro,None,1.0,0.025,sqrt,0.05,zero,38,0.09282837808132172,0.9548124717577949
mmlu-pro,None,1.0,0.025,sqrt,0.05,mean,38,0.08013375103473663,0.9543605964753729
mmlu-pro,None,1.0,0.025,sqrt,0.05,zero,39,0.09267203509807587,0.9462268413917759
