dataset,prop_budget,beta0,rho,gamma,tau,seed,mean_width,coverage
bbh+gpqa+ifeval+math+musr,0.025,1.0,0.0,0.0,0.75,0,0.0945129245519638,0.9507233273056057
bbh+gpqa+ifeval+math+musr,0.025,1.0,0.0,0.0,0.75,1,0.09447482228279114,0.9534358047016275
bbh+gpqa+ifeval+math+musr,0.025,1.0,0.0,0.0,0.75,2,0.09455198049545288,0.9430379746835442
bbh+gpqa+ifeval+math+musr,0.025,1.0,0.0,0.0,0.75,3,0.09468309581279755,0.9448462929475587
bbh+gpqa+ifeval+math+musr,0.025,1.0,0.0,0.0,0.75,4,0.09456802159547806,0.9471066907775768
bbh+gpqa+ifeval+math+musr,0.025,1.0,0.0,0.0,0.75,5,0.09503613412380219,0.951627486437613
bbh+gpqa+ifeval+math+musr,0.025,1.0,0.0,0.0,0.75,6,0.0945650264620781,0.9452983725135623
bbh+gpqa+ifeval+math+musr,0.025,1.0,0.0,0.0,0.75,7,0.09432173520326614,0.9425858951175407
bbh+gpqa+ifeval+math+musr,0.025,1.0,0.0,0.0,0.75,8,0.09436248987913132,0.9529837251356238
bbh+gpqa+ifeval+math+musr,0.025,1.0,0.0,0.0,0.75,9,0.0945524126291275,0.9425858951175407
bbh+gpqa+ifeval+math+musr,0.025,1.0,0.0,0.0,0.75,10,0.094839908182621,0.9412296564195298
bbh+gpqa+ifeval+math+musr,0.025,1.0,0.0,0.0,0.75,11,0.09480855613946915,0.9475587703435805
bbh+gpqa+ifeval+math+musr,0.025,1.0,0.0,0.0,0.75,12,0.09470304846763611,0.9471066907775768
bbh+gpqa+ifeval+math+musr,0.025,1.0,0.0,0.0,0.75,13,0.09455440193414688,0.9547920433996383
bbh+gpqa+ifeval+math+musr,0.025,1.0,0.0,0.0,0.75,14,0.0945398136973381,0.9403254972875226
bbh+gpqa+ifeval+math+musr,0.025,1.0,0.0,0.0,0.75,15,0.09466145187616348,0.9475587703435805
bbh+gpqa+ifeval+math+musr,0.025,1.0,0.0,0.0,0.75,16,0.09491866827011108,0.9475587703435805
bbh+gpqa+ifeval+math+musr,0.025,1.0,0.0,0.0,0.75,17,0.09438527375459671,0.9489150090415913
bbh+gpqa+ifeval+math+musr,0.025,1.0,0.0,0.0,0.75,18,0.09460465610027313,0.9471066907775768
bbh+gpqa+ifeval+math+musr,0.025,1.0,0.0,0.0,0.75,19,0.09460289776325226,0.9462025316455696
bbh+gpqa+ifeval+math+musr,0.025,1.0,0.0,0.0,0.75,20,0.09458991140127182,0.9412296564195298
bbh+gpqa+ifeval+math+musr,0.025,1.0,0.0,0.0,0.75,21,0.09445098042488098,0.9466546112115732
bbh+gpqa+ifeval+math+musr,0.025,1.0,0.0,0.0,0.75,22,0.09455528855323792,0.945750452079566
bbh+gpqa+ifeval+math+musr,0.025,1.0,0.0,0.0,0.75,23,0.09457261115312576,0.9529837251356238
bbh+gpqa+ifeval+math+musr,0.025,1.0,0.0,0.0,0.75,24,0.09464727342128754,0.9561482820976491
bbh+gpqa+ifeval+math+musr,0.025,1.0,0.0,0.0,0.75,25,0.094519704580307,0.9480108499095841
bbh+gpqa+ifeval+math+musr,0.025,1.0,0.0,0.0,0.75,26,0.09448834508657455,0.9561482820976491
bbh+gpqa+ifeval+math+musr,0.025,1.0,0.0,0.0,0.75,27,0.09486227482557297,0.9493670886075949
bbh+gpqa+ifeval+math+musr,0.025,1.0,0.0,0.0,0.75,28,0.09471426904201508,0.9452983725135623
bbh+gpqa+ifeval+math+musr,0.025,1.0,0.0,0.0,0.75,29,0.09469661116600037,0.9489150090415913
bbh+gpqa+ifeval+math+musr,0.025,1.0,0.0,0.0,0.75,30,0.094548299908638,0.961121157323689
bbh+gpqa+ifeval+math+musr,0.025,1.0,0.0,0.0,0.75,31,0.09492151439189911,0.9471066907775768
bbh+gpqa+ifeval+math+musr,0.025,1.0,0.0,0.0,0.75,32,0.0945071429014206,0.9443942133815552
bbh+gpqa+ifeval+math+musr,0.025,1.0,0.0,0.0,0.75,33,0.09447582811117172,0.9434900542495479
bbh+gpqa+ifeval+math+musr,0.025,1.0,0.0,0.0,0.75,34,0.09489087015390396,0.9480108499095841
bbh+gpqa+ifeval+math+musr,0.025,1.0,0.0,0.0,0.75,35,0.0946774110198021,0.9462025316455696
bbh+gpqa+ifeval+math+musr,0.025,1.0,0.0,0.0,0.75,36,0.09480416029691696,0.9475587703435805
bbh+gpqa+ifeval+math+musr,0.025,1.0,0.0,0.0,0.75,37,0.09493373334407806,0.9462025316455696
bbh+gpqa+ifeval+math+musr,0.025,1.0,0.0,0.0,0.75,38,0.0946233943104744,0.9439421338155515
bbh+gpqa+ifeval+math+musr,0.025,1.0,0.0,0.0,0.75,39,0.09494464099407196,0.95750452079566
bbh+gpqa+ifeval+math+musr,0.025,1.0,0.0,0.0,0.75,40,0.09457072615623474,0.945750452079566
bbh+gpqa+ifeval+math+musr,0.025,1.0,0.0,0.0,0.75,41,0.09465713053941727,0.9389692585895117
bbh+gpqa+ifeval+math+musr,0.025,1.0,0.0,0.0,0.75,42,0.09470797330141068,0.9353526220614828
bbh+gpqa+ifeval+math+musr,0.025,1.0,0.0,0.0,0.75,43,0.09460611641407013,0.9507233273056057
bbh+gpqa+ifeval+math+musr,0.025,1.0,0.0,0.0,0.75,44,0.09463613480329514,0.9448462929475587
bbh+gpqa+ifeval+math+musr,0.025,1.0,0.0,0.0,0.75,45,0.09432918578386307,0.9493670886075949
bbh+gpqa+ifeval+math+musr,0.025,1.0,0.0,0.0,0.75,46,0.09456644207239151,0.951627486437613
bbh+gpqa+ifeval+math+musr,0.025,1.0,0.0,0.0,0.75,47,0.09458941221237183,0.9452983725135623
bbh+gpqa+ifeval+math+musr,0.025,1.0,0.0,0.0,0.75,48,0.09469713270664215,0.9498191681735986
bbh+gpqa+ifeval+math+musr,0.025,1.0,0.0,0.0,0.75,49,0.09479284286499023,0.9452983725135623
bbh+gpqa+ifeval+math+musr,0.025,1.0,0.0,0.0,0.75,50,0.09459300339221954,0.9448462929475587
bbh+gpqa+ifeval+math+musr,0.025,1.0,0.0,0.0,0.75,51,0.09482164680957794,0.9480108499095841
bbh+gpqa+ifeval+math+musr,0.025,1.0,0.0,0.0,0.75,52,0.09489765018224716,0.9511754068716094
bbh+gpqa+ifeval+math+musr,0.025,1.0,0.0,0.0,0.75,53,0.09478108584880829,0.9502712477396021
bbh+gpqa+ifeval+math+musr,0.025,1.0,0.0,0.0,0.75,54,0.09453035891056061,0.939873417721519
bbh+gpqa+ifeval+math+musr,0.025,1.0,0.0,0.0,0.75,55,0.09458986669778824,0.9471066907775768
bbh+gpqa+ifeval+math+musr,0.025,1.0,0.0,0.0,0.75,56,0.09464916586875916,0.9471066907775768
bbh+gpqa+ifeval+math+musr,0.025,1.0,0.0,0.0,0.75,57,0.09471283853054047,0.9561482820976491
bbh+gpqa+ifeval+math+musr,0.025,1.0,0.0,0.0,0.75,58,0.09436316788196564,0.9403254972875226
bbh+gpqa+ifeval+math+musr,0.025,1.0,0.0,0.0,0.75,59,0.09463374316692352,0.9471066907775768
bbh+gpqa+ifeval+math+musr,0.025,1.0,0.0,0.0,0.75,60,0.09470310807228088,0.9480108499095841
bbh+gpqa+ifeval+math+musr,0.025,1.0,0.0,0.0,0.75,61,0.09460029751062393,0.9520795660036167
bbh+gpqa+ifeval+math+musr,0.025,1.0,0.0,0.0,0.75,62,0.09460384398698807,0.9452983725135623
bbh+gpqa+ifeval+math+musr,0.025,1.0,0.0,0.0,0.75,63,0.09461645036935806,0.9529837251356238
bbh+gpqa+ifeval+math+musr,0.025,1.0,0.0,0.0,0.75,64,0.09469212591648102,0.9448462929475587
bbh+gpqa+ifeval+math+musr,0.025,1.0,0.0,0.0,0.75,65,0.09476781636476517,0.9434900542495479
bbh+gpqa+ifeval+math+musr,0.025,1.0,0.0,0.0,0.75,66,0.0947028398513794,0.9466546112115732
bbh+gpqa+ifeval+math+musr,0.025,1.0,0.0,0.0,0.75,67,0.09503952413797379,0.9584086799276672
bbh+gpqa+ifeval+math+musr,0.025,1.0,0.0,0.0,0.75,68,0.09448389708995819,0.9448462929475587
bbh+gpqa+ifeval+math+musr,0.025,1.0,0.0,0.0,0.75,69,0.09463927894830704,0.9520795660036167
bbh+gpqa+ifeval+math+musr,0.025,1.0,0.0,0.0,0.75,70,0.09472548216581345,0.9389692585895117
bbh+gpqa+ifeval+math+musr,0.025,1.0,0.0,0.0,0.75,71,0.09454050660133362,0.9529837251356238
bbh+gpqa+ifeval+math+musr,0.025,1.0,0.0,0.0,0.75,72,0.09469587355852127,0.9475587703435805
bbh+gpqa+ifeval+math+musr,0.025,1.0,0.0,0.0,0.75,73,0.094895139336586,0.9475587703435805
bbh+gpqa+ifeval+math+musr,0.025,1.0,0.0,0.0,0.75,74,0.09458433836698532,0.9430379746835442
