dataset,prop_budget,beta0,rho,gamma,tau,seed,mean_width,coverage
mmlu-pro,0.025,1.0,0.0,0.0,0.75,0,0.07246731966733932,0.946678716674198
mmlu-pro,0.025,1.0,0.0,0.0,0.75,1,0.07236477732658386,0.9453230908269318
mmlu-pro,0.025,1.0,0.0,0.0,0.75,2,0.07207631319761276,0.947582467239042
mmlu-pro,0.025,1.0,0.0,0.0,0.75,3,0.07214462012052536,0.9493899683687302
mmlu-pro,0.025,1.0,0.0,0.0,0.75,4,0.07228782773017883,0.9448712155445097
mmlu-pro,0.025,1.0,0.0,0.0,0.75,5,0.07226143032312393,0.9493899683687302
mmlu-pro,0.025,1.0,0.0,0.0,0.75,6,0.07244513183832169,0.9403524627202893
mmlu-pro,0.025,1.0,0.0,0.0,0.75,7,0.07226687669754028,0.9408043380027112
mmlu-pro,0.025,1.0,0.0,0.0,0.75,8,0.07236170023679733,0.9412562132851333
mmlu-pro,0.025,1.0,0.0,0.0,0.75,9,0.07215707749128342,0.9417080885675554
mmlu-pro,0.025,1.0,0.0,0.0,0.75,10,0.07209462672472,0.9511974694984184
mmlu-pro,0.025,1.0,0.0,0.0,0.75,11,0.07242745161056519,0.9507455942159965
mmlu-pro,0.025,1.0,0.0,0.0,0.75,12,0.07212352007627487,0.9385449615906011
mmlu-pro,0.025,1.0,0.0,0.0,0.75,13,0.07237613201141357,0.9453230908269318
mmlu-pro,0.025,1.0,0.0,0.0,0.75,14,0.07229764014482498,0.9453230908269318
mmlu-pro,0.025,1.0,0.0,0.0,0.75,15,0.07243282347917557,0.938996836873023
mmlu-pro,0.025,1.0,0.0,0.0,0.75,16,0.07205311954021454,0.9385449615906011
mmlu-pro,0.025,1.0,0.0,0.0,0.75,17,0.07238443940877914,0.9426118391323995
mmlu-pro,0.025,1.0,0.0,0.0,0.75,18,0.07211757451295853,0.9489380930863082
mmlu-pro,0.025,1.0,0.0,0.0,0.75,19,0.07244569063186646,0.9421599638499775
mmlu-pro,0.025,1.0,0.0,0.0,0.75,20,0.0722784623503685,0.9502937189335744
mmlu-pro,0.025,1.0,0.0,0.0,0.75,21,0.07240226864814758,0.94713059195662
mmlu-pro,0.025,1.0,0.0,0.0,0.75,22,0.07250985503196716,0.9502937189335744
mmlu-pro,0.025,1.0,0.0,0.0,0.75,23,0.07234789431095123,0.9439674649796657
mmlu-pro,0.025,1.0,0.0,0.0,0.75,24,0.07244273275136948,0.9453230908269318
mmlu-pro,0.025,1.0,0.0,0.0,0.75,25,0.07230965048074722,0.9462268413917759
mmlu-pro,0.025,1.0,0.0,0.0,0.75,26,0.07232436537742615,0.9435155896972436
mmlu-pro,0.025,1.0,0.0,0.0,0.75,27,0.0723913162946701,0.9525530953456847
mmlu-pro,0.025,1.0,0.0,0.0,0.75,28,0.07222431898117065,0.9439674649796657
mmlu-pro,0.025,1.0,0.0,0.0,0.75,29,0.0725860744714737,0.9543605964753729
mmlu-pro,0.025,1.0,0.0,0.0,0.75,30,0.07239150255918503,0.9493899683687302
mmlu-pro,0.025,1.0,0.0,0.0,0.75,31,0.07258738577365875,0.9412562132851333
mmlu-pro,0.025,1.0,0.0,0.0,0.75,32,0.07253710925579071,0.9421599638499775
mmlu-pro,0.025,1.0,0.0,0.0,0.75,33,0.07233311235904694,0.9349299593312246
mmlu-pro,0.025,1.0,0.0,0.0,0.75,34,0.07248944789171219,0.9498418436511523
mmlu-pro,0.025,1.0,0.0,0.0,0.75,35,0.07252686470746994,0.9484862178038862
mmlu-pro,0.025,1.0,0.0,0.0,0.75,36,0.07241939753293991,0.946678716674198
mmlu-pro,0.025,1.0,0.0,0.0,0.75,37,0.07249090075492859,0.9493899683687302
mmlu-pro,0.025,1.0,0.0,0.0,0.75,38,0.07254327088594437,0.9444193402620877
mmlu-pro,0.025,1.0,0.0,0.0,0.75,39,0.07266140729188919,0.9480343425214641
mmlu-pro,0.025,1.0,0.0,0.0,0.75,40,0.07252465933561325,0.9394487121554451
mmlu-pro,0.025,1.0,0.0,0.0,0.75,41,0.0722198337316513,0.9484862178038862
mmlu-pro,0.025,1.0,0.0,0.0,0.75,42,0.0724216178059578,0.94713059195662
