seed,T1,T2,T3,Bhat_minus_Bn,sigma_bar_sq,T1_over_sigma,T2_over_sigma,T3_over_sigma
0,0.0006332460325211287,-0.00035812033456750214,4.960827482136665e-06,0.0004895351570381339,0.058855459018911045,0.010759342346096702,-0.00608474286900784,8.42883152188599e-05
1,0.0006117208977229893,-0.00036185450153425336,4.960827482136665e-06,0.00046655509262676716,0.05883355995711483,0.010397482290190958,-0.006150477751100182,8.431968906441713e-05
2,0.0005962381837889552,-0.00036022046697326005,4.960827482136665e-06,0.0004487982054234808,0.05885175176830963,0.010131188382229537,-0.006120811295327165,8.429362479585461e-05
3,0.0006242578965611756,-0.00036530348006635904,4.960827482136665e-06,0.0004716450324751319,0.05885187147410956,0.010607273497424845,-0.006207168453887918,8.429345334105576e-05
4,0.0006330171599984169,-0.0003789550100918859,4.960827482136665e-06,0.0004724758303569117,0.05884512922271616,0.010757341658688233,-0.006439870471821426,8.430311136476563e-05
5,0.0006103185005486012,-0.00036527198972180486,4.960827482136665e-06,0.0004603079263309688,0.058892510052400635,0.010363261813863251,-0.006202350509373735,8.423528692736449e-05
6,0.0005783932283520699,-0.00034944116487167776,4.960827482136665e-06,0.0004411839448900524,0.05883311048081517,0.00983108361303925,-0.005939532382630469,8.432033325442372e-05
7,0.0006274004699662328,-0.000375304400222376,4.960827482136665e-06,0.0004647201834723034,0.058845311319444434,0.010661859983378472,-0.006377813147848247,8.430285048891301e-05
8,0.0006249438156373799,-0.0003680241061374545,4.960827482136665e-06,0.0004712683997871029,0.058827214169932085,0.010623379407906804,-0.006256017921813471,8.432878476629029e-05
9,0.0006229563732631505,-0.00038400982157327235,4.960827482136665e-06,0.00045388226623096226,0.05883628896485878,0.010587961685265778,-0.006526751233454414,8.431577805832765e-05
10,0.000646843109279871,-0.00038721534656360745,4.960827482136665e-06,0.0004777077968579292,0.05884367057628786,0.010992569004363373,-0.00658040776130038,8.430520111258528e-05
11,0.0006219390779733658,-0.00035223609302192926,4.960827482136665e-06,0.00048104801444909446,0.05880108321990929,0.010577000352993245,-0.0059902993913327545,8.436626011775566e-05
12,0.0006177399773150682,-0.0003654415486380458,4.960827482136665e-06,0.00046880746717160187,0.0587859377568633,0.010508295025759739,-0.006216479018324076,8.438799603154217e-05
13,0.0005977345281280577,-0.00035609843325801194,4.960827482136665e-06,0.00045298313253198464,0.058803684116696266,0.010164916316158864,-0.006055716382520056,8.436252858395527e-05
14,0.0006142903584986925,-0.00036848962190560997,4.960827482136665e-06,0.00045952055131861006,0.058786070787822504,0.010449590358162572,-0.006268315214255523,8.438780506426187e-05
15,0.0006252308958210051,-0.00034676227369345725,4.960827482136665e-06,0.0004860393505174319,0.058829661988022405,0.010627817238662714,-0.005894344145034478,8.432527596617296e-05
16,0.0006162167410366237,-0.00036435259971767664,4.960827482136665e-06,0.00046682348817010536,0.05898897670127691,0.010446303284038571,-0.00617662180449029,8.409753414198961e-05
17,0.000598929007537663,-0.00035462569212540984,4.960827482136665e-06,0.0004558854247102254,0.05880761809503805,0.010184547970804453,-0.006030267907676603,8.435688509130826e-05
18,0.0006033641402609646,-0.00036892725620418787,4.960827482136665e-06,0.0004472710983349981,0.058805805028164425,0.010260281956381512,-0.0062736536984315415,8.435948593443672e-05
19,0.0006092764087952673,-0.00036315139732323587,4.960827482136665e-06,0.0004567790869383541,0.05869186274049185,0.010380934943046611,-0.0061874232707338425,8.452325842972711e-05
20,0.0006092472467571497,-0.00035766250221058726,4.960827482136665e-06,0.0004666589933191095,0.05883200768078762,0.010355710620361976,-0.0060793863121449574,8.43219138305336e-05
21,0.000656990974675864,-0.00035287864739075303,4.960827482136665e-06,0.0005131965712575559,0.05886312466258618,0.011161333660791067,-0.005994901721808275,8.427733849626576e-05
22,0.0006304732523858547,-0.0003721938992384821,4.960827482136665e-06,0.0004730115737081248,0.05892341238627396,0.010699876786713759,-0.006316570683288934,8.419110980226046e-05
23,0.0006030256627127528,-0.00034476997097954154,4.960827482136665e-06,0.00046769674866316215,0.058911570388083756,0.010236115906269048,-0.0058523303437397305,8.420803331937843e-05
24,0.0005972537328489125,-0.00036297296173870564,4.960827482136665e-06,0.00044930833733921195,0.05880897946629672,0.010155825492452171,-0.006172067004609807,8.435493231062958e-05
25,0.0006556384032592177,-0.00035746884532272816,4.960827482136665e-06,0.0005034955079077353,0.05872085477599287,0.011165341610920582,-0.006087596079559691,8.448152706668064e-05
26,0.0006017611594870687,-0.0003550161200109869,4.960827482136665e-06,0.00045611156149704605,0.0588472134079164,0.010225822509483805,-0.006032845048245369,8.430012561086388e-05
27,0.0006410072091966867,-0.0003609499253798276,4.960827482136665e-06,0.0004942049248454342,0.05889895944495623,0.010883166956382943,-0.00612829035998763,8.422606322566334e-05
28,0.0006299245287664235,-0.0003706438874360174,4.960827482136665e-06,0.0004749072807989946,0.058856891540245045,0.010702646916643481,-0.006297374491525419,8.428626372061394e-05
29,0.0006117927259765565,-0.00037039286689832807,4.960827482136665e-06,0.00045606176478536244,0.058857143726019134,0.010394536452948865,-0.0062930825971187505,8.428590257844297e-05
30,0.0006017135456204414,-0.00034614664036780596,4.960827482136665e-06,0.00046344368952026273,0.05872332554450129,0.010246584982052066,-0.005894534023034707,8.447797252860426e-05
31,0.0006133972201496363,-0.0003541586338542402,4.960827482136665e-06,0.00047100853171308694,0.05894349588755743,0.01040652935346375,-0.006008442976131666,8.416242381687208e-05
32,0.0006125904619693756,-0.00036099355202168226,4.960827482136665e-06,0.0004633588518120947,0.05886237167103423,0.010407165810324071,-0.006132840756726163,8.427841660647619e-05
