seed,T1,T2,T3,Bhat_minus_Bn,sigma_bar_sq,T1_over_sigma,T2_over_sigma,T3_over_sigma
0,0.0007646190351806581,-0.0005091772763989866,1.0117147212440614e-05,0.0005385554375360974,0.04810301443062307,0.015895449468836004,-0.010585142790445104,0.00021032251995417342
1,0.0006828340119682252,-0.000466568541014567,1.0117147212440614e-05,0.0004900442998803816,0.04812866958430551,0.014187676864246702,-0.0096941915295891,0.00021021040680791554
2,0.0007123524555936456,-0.00047975126653909683,1.0117147212440614e-05,0.00051323429014862,0.048038396043782114,0.014828814328946551,-0.00998682941249438,0.0002106054332709165
3,0.0007905532838776708,-0.0004883478977717459,1.0117147212440614e-05,0.000583828832335938,0.04798324522465888,0.016475611021644708,-0.010177467061372934,0.00021084749822718014
4,0.000691802881192416,-0.0004916507168672979,1.0117147212440614e-05,0.000482885310498952,0.048089393790647084,0.014385768392176423,-0.01022368298106763,0.00021038209083035477
5,0.0007255867240019143,-0.0004850622499361634,1.0117147212440614e-05,0.0005209062926893968,0.048038030410528135,0.015104422845839509,-0.0100974633179352,0.00021060703625815837
6,0.0007227902533486485,-0.0005154237733222544,1.0117147212440614e-05,0.0004975777680729402,0.04818041090310287,0.01500174531102017,-0.010697786998098445,0.0002099846602136193
7,0.0006694847252219915,-0.0005032409681007266,1.0117147212440614e-05,0.00045200195541187684,0.04803369881530645,0.013937813279718804,-0.010476831485239766,0.00021062602843353545
8,0.0007422685157507658,-0.0005040434771217406,1.0117147212440614e-05,0.0005265935885591011,0.048225674814939834,0.015391563075045212,-0.01045176618172677,0.00020978757168798438
9,0.0006075059645809233,-0.0004906855756416917,1.0117147212440614e-05,0.000400142480222121,0.047922956196304815,0.012676721404506472,-0.010239050646869878,0.0002111127529570205
10,0.0006871827645227313,-0.0004986509447917342,1.0117147212440614e-05,0.00047936133133983446,0.048039758461228536,0.014304459192427791,-0.01037996361272675,0.00021059946045744304
11,0.0007412091945298016,-0.0005222219042479992,1.0117147212440614e-05,0.0005145908777904617,0.0481477715177951,0.015394465229940198,-0.010846232084801462,0.00021012700886273382
12,0.0008114339434541762,-0.0004996744683012366,1.0117147212440614e-05,0.0006004385629518399,0.04815460748557213,0.01685059822566915,-0.010376462282471036,0.00021009717949568727
13,0.0007405075011774898,-0.0004961264785379171,1.0117147212440614e-05,0.0005299668971512424,0.047989256096376255,0.015430693480439399,-0.010338282334311501,0.00021082108862288814
14,0.0006741220713593066,-0.0004923277883790433,1.0117147212440614e-05,0.0004671499461946073,0.048135878593753734,0.01400456563904461,-0.010227875812428391,0.00021017892491014898
15,0.0006982043269090354,-0.0004917908227071166,1.0117147212440614e-05,0.0004919032778660836,0.0479933092304005,0.014547951331240365,-0.010247070489475657,0.00021080328434681242
16,0.0007163541740737855,-0.0005096731474623084,1.0117147212440614e-05,0.0004949636038269795,0.04792539159820007,0.014947278471495882,-0.010634720561812794,0.000211102024940378
17,0.0007179895765148103,-0.0004876317107118666,1.0117147212440614e-05,0.0005131484920415342,0.048050137527458,0.014942508252021525,-0.010148393653050671,0.00021055396993732272
18,0.0007110324804671109,-0.0004979756777174771,1.0117147212440614e-05,0.0004949652336855115,0.04803039697092307,0.014803801869419484,-0.010367927585919071,0.00021064050789680946
19,0.0006832215585745871,-0.0004901656648144126,1.0117147212440614e-05,0.0004739570411309039,0.047953089711542454,0.014247706720973469,-0.010221774400001346,0.00021098009061145827
20,0.0006611172575503588,-0.0004999877419322729,1.0117147212440614e-05,0.00044931442037924674,0.04791216011444941,0.013798527471337661,-0.010435508245462846,0.00021116032314705575
21,0.0006123633356764913,-0.0004821183974854648,1.0117147212440614e-05,0.0004118726626840879,0.04787992661451919,0.012789562954150334,-0.010069321980524223,0.00021130247951074916
22,0.0007356759160757065,-0.0004884109948761761,1.0117147212440614e-05,0.0005299194579278421,0.04821131309509101,0.015259404252787604,-0.010130630416824455,0.00020985006553307848
23,0.0006556814769282937,-0.0005078011308796704,1.0117147212440614e-05,0.0004383272296010869,0.04811934612211224,0.013626151013448395,-0.010552951604766736,0.00021025113655464845
24,0.0006679049110971391,-0.000503262912388891,1.0117147212440614e-05,0.0004539520284432643,0.04808237488587434,0.013890846961749314,-0.010466681680832278,0.00021041280170653202
