step,A_s,A_s_se,B_s,B_s_se,v_s,B_over_A
0,0.22405141592025757,0.0,0.011871262453496456,0.0,0.2121801534667611,0.05298454555503266
1,0.22497769981622695,5.796399651073739e-05,0.011148092236369849,7.24058523628264e-06,0.2138296075798571,0.04955198779912929
2,0.22486356952786446,7.16289082184888e-05,0.01046847627311945,8.637482685206624e-06,0.214395093254745,0.046554790067148806
3,0.22395147851109504,8.033792486810751e-05,0.009829288939014077,9.566540423039686e-06,0.21412218957208096,0.04389026142788833
4,0.22262561440467835,8.555411766199433e-05,0.009250757662579417,9.977843773054733e-06,0.21337485674209894,0.0415529798191318
5,0.22104718625545502,8.81260454547226e-05,0.008710143703967332,1.0147335277695016e-05,0.2123370425514877,0.03940400170442062
6,0.21914294829964637,8.565711481513423e-05,0.008216558597050607,9.906939811262007e-06,0.21092638970259575,0.0374940588360418
7,0.2172163333594799,8.514511610303235e-05,0.007764773985370994,9.696956725223211e-06,0.20945155937410892,0.03574673168117962
8,0.21527780839800834,8.510379202758722e-05,0.007361174770630896,9.624266359318185e-06,0.20791663362737745,0.03419383923224201
9,0.21325704127550124,8.20102763566997e-05,0.006980379588901997,9.203308155509797e-06,0.20627666168659925,0.03273223499281426
10,0.21129421284794808,8.13815735197194e-05,0.006635406598448753,9.093369392575705e-06,0.20465880624949934,0.031403636233159574
11,0.20929944989085197,7.978196438779942e-05,0.006318756476044655,8.860858434655735e-06,0.20298069341480732,0.030190029067634135
12,0.20738919568061828,7.76253875341166e-05,0.00602427346073091,8.599476719576305e-06,0.20136492221988736,0.02904815480362998
13,0.20555334952473642,7.566420366479957e-05,0.0057537974193692205,8.304233424132363e-06,0.1997995521053672,0.027991747313642314
14,0.20372924146056176,7.483503769237526e-05,0.005499113066121936,7.992322804825373e-06,0.19823012839443982,0.02699226201746038
15,0.20198436051607133,7.322326271802259e-05,0.005267411503009498,7.72725625164932e-06,0.19671694901306183,0.026078313635527168
16,0.200271608710289,7.129472299159903e-05,0.005047166724689305,7.431994590749164e-06,0.1952244419855997,0.025201608741209483
17,0.1985871864259243,6.869098211644383e-05,0.00484120068512857,7.255453601087295e-06,0.1937459857407957,0.024378212775245715
18,0.1969691152870655,6.610479566938063e-05,0.004652151198126376,6.869320911019647e-06,0.19231696408893914,0.02361868352480675
19,0.19542921411991118,6.481226657627417e-05,0.004472953291609883,6.557168246114225e-06,0.1909562608283013,0.022887843620275596
20,0.19392713317275048,6.4145874597061e-05,0.004306011615786701,6.381344743824501e-06,0.18962112155696378,0.022204276138867593
21,0.19247357919812202,6.297478840747504e-05,0.004149438668042421,6.099082702445092e-06,0.1883241405300796,0.021558484470074774
22,0.19108810475468635,6.153499095662085e-05,0.00400730006210506,5.798595029333092e-06,0.1870808046925813,0.020970955085087697
23,0.1896935255229473,5.939632608472308e-05,0.003869297238998115,5.517711416785696e-06,0.18582422828394918,0.020397624158922833
24,0.1883739158809185,5.697759710416099e-05,0.0037407532366923986,5.43882980378531e-06,0.1846331626442261,0.01985812748648881
25,0.18706431287527084,5.569503576437807e-05,0.003618190504144877,5.244481641687341e-06,0.18344612237112595,0.019341960251699018
