step,A_s,A_s_se,B_s,B_s_se,v_s,B_over_A
0,0.2184954285621643,0.0,0.02129659801721573,0.0,0.19719883054494858,0.09746930705763766
1,0.21326835387945176,7.132125479988345e-05,0.01897523483633995,1.3170714590168525e-05,0.1942931190431118,0.0889735138438099
2,0.20867957955598831,8.826947651624848e-05,0.01711333226412535,1.5223743805666318e-05,0.19156624729186297,0.08200769955803881
3,0.20426464810967446,9.261095341870179e-05,0.015555988293141127,1.630994609175138e-05,0.18870865981653334,0.07615604774052118
4,0.20006062197685243,9.581606027758261e-05,0.01425032242015004,1.5934993909779677e-05,0.1858102995567024,0.07123002157715397
5,0.19611726385354997,9.586835388867092e-05,0.013138346450403333,1.5627078927952974e-05,0.18297891740314665,0.06699229936337658
6,0.19238075748085975,9.635010735718427e-05,0.012184685915708543,1.5970338332394088e-05,0.18019607156515122,0.06333630283642487
7,0.18874137035012245,9.407744616037914e-05,0.011354138273745776,1.5356268251292822e-05,0.1773872320763767,0.06015712534397422
8,0.18526787295937538,9.18121116261217e-05,0.010618616461753844,1.4808924253994676e-05,0.17464925649762153,0.05731493697281364
9,0.18192756155133247,9.042759721857969e-05,0.009951190685853362,1.451734057091951e-05,0.1719763708654791,0.054698642696013634
10,0.17874800810217858,8.869453067153344e-05,0.009354854242876172,1.3652590645439348e-05,0.16939315385930243,0.05233543211026224
11,0.1757188027203083,8.712737879642186e-05,0.008822814673185348,1.332317858769221e-05,0.16689598804712294,0.050209849695075755
12,0.172882205337286,8.537041849099392e-05,0.008343481857329606,1.282318556658457e-05,0.16453872347995638,0.048261079508164655
13,0.17015950402617455,8.430741252816341e-05,0.007906587815843523,1.2351574017230957e-05,0.16225291621033103,0.04646574319250074
14,0.1675123211145401,8.070121284362825e-05,0.007492768902331591,1.1543872463121388e-05,0.1600195522122085,0.0447296584064897
15,0.16504215624928475,7.756184692989092e-05,0.007132054725661874,1.1088953208168497e-05,0.1579101015236229,0.04321353336470834
