dataset,prop_budget,n,N,n_seeds,beta0,rho,gamma,tau,theta,psi_1,sigma_bar_sq,Lambda,Lambda_se,Lambda_harmonic,H_n,Lambda_over_Hn,Lambda3,bias_ratio,cov_pred_linear,cov_pred_exact_phi,cov_actual,cov_se,error_linear,error_exact_phi,mean_width,v1,vn,v1_over_vn
bbh+gpqa+ifeval+math+musr,0.025,239,9574,500,0.75,0.0,0.0,0.25,0.4120626449584961,0.38558658957481384,0.1338071616340008,8.895570440522793,0.0009898577482263333,8.319869859060804,6.0515857077350335,1.469956945194154,0.005238744325189306,0.037198040569864456,0.9457389558268015,0.9455406838172637,0.9432549728752261,0.00022699760897985067,0.0024839829515753697,0.0022857109420376664,0.09004284131526948,0.21218013763427734,0.09520994940400124,2.2285500513600778
mmlu-pro,0.025,300,12032,500,1.0,0.0,0.0,0.25,0.3385557532310486,0.29055461287498474,0.0930788298722108,11.224282089815208,0.0013499252478249156,10.158892514380213,6.27933054696617,1.7874966138290282,0.024754388067038276,0.037331759005827234,0.9457236383489537,0.9455239143668286,0.940996836873023,0.00022266451915022327,0.004726801475930631,0.0045270774938055425,0.06635668449103832,0.19719885289669037,0.06413071298599243,3.0749518244053045
bbh+gpqa+ifeval+math+musr,0.05,478,9574,500,1.0,0.0,0.0,0.25,0.4120626449584961,0.38558658957481384,0.1076889472798012,12.532135598182098,0.0014105308183245294,11.413941334084567,6.745780007565706,1.8577741319946284,0.006509317124797359,0.026204239081709834,0.946998298336642,0.9469008663759888,0.9455506329113924,0.00021910392934598537,0.0014476654252495447,0.0013502334645963954,0.057258461199700836,0.23079818487167358,0.07086442176997662,3.2568978777648994
mmlu-pro,0.05,601,12032,500,1.0,0.0,0.0,0.05,0.3385557532310486,0.29055461287498474,0.0775699316135758,18.430521639870097,0.004806019664875562,16.066506916516794,6.974978421969595,2.6423768684098214,0.029703641959628727,0.030617001660416754,0.9464928153599677,0.9463592815392865,0.9416502485314053,0.0002317689564843413,0.0048425668285623225,0.004709033007881169,0.04194091655313969,0.2674827575683594,0.048438985772430894,5.52205528879173
bbh+gpqa+ifeval+math+musr,0.075,718,9574,500,1.0,0.0,0.0,0.25,0.4120626449584961,0.38558658957481384,0.09356172831752921,14.861863898554217,0.0016569143498729895,13.423758352394836,7.15298869347188,2.0777138809289304,0.007492182127085374,0.02068853999502386,0.9476301229460672,0.9475696877301121,0.9468571428571428,0.00020800700702092086,0.0007729800889243466,0.0007125448729692341,0.04364387187361717,0.23079818487167358,0.06095020893216133,3.786667657342341
mmlu-pro,0.075,902,12032,500,1.0,0.0,0.0,0.05,0.3385557532310486,0.29055461287498474,0.06666985435842508,21.882505156690662,0.006095674563087555,18.968405433032054,7.3812757588141835,2.9645966187566106,0.03455998963332624,0.024221668699620107,0.9472254022336521,0.9471423022848469,0.9441030275643922,0.00021711278926285791,0.0031223746692599086,0.003039274720454621,0.031846773758530615,0.2674827575683594,0.04193180003762245,6.378995352652782
bbh+gpqa+ifeval+math+musr,0.1,957,9574,500,1.0,0.0,0.0,0.25,0.4120626449584961,0.38558658957481384,0.0845662900481992,16.745399016808957,0.0018824970472224715,15.047912178050572,7.440496499324536,2.2505754848925927,0.008289136348304747,0.017489143030784377,0.9479966146102348,0.9479535484237798,0.947615732368897,0.00021020691025591705,0.0003808822413378099,0.0003378160548828113,0.0359710370823741,0.23079818487167358,0.05448727793246508,4.2358178574774685
mmlu-pro,0.1,1203,12032,500,1.0,0.0,0.0,0.05,0.3385557532310486,0.29055461287498474,0.0598919514702232,24.663113300636077,0.007135636050820816,21.306022320114806,7.669373695696443,3.215792355309981,0.038471103694593875,0.020469361759718606,0.9476552298637471,0.9475960798861451,0.945136918210574,0.00021379217801690932,0.0025183116531730665,0.002459161675571142,0.02616221997514367,0.2674827575683594,0.03744218046963215,7.143888369036197
bbh+gpqa+ifeval+math+musr,0.125,1196,9574,500,1.0,0.0,0.0,0.25,0.4120626449584961,0.38558658957481384,0.07802999893421413,18.380443058862035,0.0020903582289991643,16.456979890028627,7.6635354809533345,2.3984286501372774,0.008983487354277635,0.015360752150090097,0.9482404222791747,0.9482072628757656,0.9480117540687161,0.00020501695771575818,0.00022866821045863794,0.0001955088070495492,0.030917726125568153,0.23079818487167358,0.04940734869986772,4.671333130496263
mmlu-pro,0.125,1504,12032,500,1.0,0.0,0.0,0.05,0.3385557532310486,0.29055461287498474,0.055023740601255255,27.07839110425578,0.008027466663466097,23.335790861005453,7.892766685762515,3.430785703206144,0.04187482439952433,0.017976407100968254,0.9479407983980027,0.9478952794227404,0.9457686398553999,0.0002157351262720031,0.0021721585426027756,0.0021266395673404936,0.022427367690950634,0.2674827575683594,0.033804851584136486,7.91255530001736
bbh+gpqa+ifeval+math+musr,0.15,1436,9574,500,1.0,0.0,0.0,0.25,0.4120626449584961,0.38558658957481384,0.07287254037311129,19.870714046406704,0.0022857531163753843,17.740338168484225,7.846484184682706,2.532435365790549,0.009619281900846975,0.013830845936285415,0.9484156733907387,0.9483888266122333,0.9480108499095841,0.00020655633609605476,0.00040482348115467026,0.0003779767026492742,0.02726847207546234,0.23079818487167358,0.04504822246730328,5.123358308736612
mmlu-pro,0.15,1804,12032,500,1.0,0.0,0.0,0.05,0.3385557532310486,0.29055461287498474,0.05122731585753978,29.273816542667266,0.008823072690229899,25.179737356164807,8.074700178055343,3.6253750476364286,0.044978141776745376,0.016202238581424902,0.9481440298133315,0.948107110389274,0.9461482150926345,0.0002219804603367627,0.0019958147206969867,0.001958895296639507,0.019750199377536772,0.2674827575683594,0.030658085100352762,8.724705300178114
mmlu-pro,0.175,2105,12032,500,1.0,0.0,0.0,0.05,0.3385557532310486,0.29055461287498474,0.04807956628864211,31.34976645735343,0.009562647729287364,26.92217659201816,8.229048862520019,3.809646410065555,0.047922842349491894,0.014870234496438924,0.9482966111901474,0.9482655492127612,0.9463280614550384,0.0002157048553786228,0.00196854973510896,0.0019374877577227334,0.017701369974762203,0.2674827575683594,0.027825326811522246,9.612924203197387
