group,prop_budget,method,seed,width,coverage
all,0.0100,bernoulli-active,666,0.1208488941192627,1.0
all,0.0100,bernoulli-active,667,0.14828026294708252,1.0
all,0.0100,bernoulli-active,668,0.14349710941314697,1.0
all,0.0100,bernoulli-active,669,0.18707573413848877,1.0
all,0.0100,bernoulli-active,670,0.10498392581939697,1.0
all,0.0100,bernoulli-active,671,0.14154362678527832,1.0
all,0.0100,bernoulli-active,672,0.14140594005584717,1.0
all,0.0100,bernoulli-active,673,0.15032494068145752,1.0
all,0.0100,bernoulli-active,674,0.12432658672332764,1.0
all,0.0100,bernoulli-active,675,0.11713099479675293,1.0
all,0.0100,bernoulli-active,676,0.09922134876251221,1.0
all,0.0100,bernoulli-active,677,0.15207314491271973,1.0
all,0.0100,bernoulli-active,678,0.14038074016571045,1.0
all,0.0100,bernoulli-active,679,0.10802161693572998,1.0
all,0.0100,bernoulli-active,680,0.16305196285247803,1.0
all,0.0100,bernoulli-active,681,0.12049305438995361,1.0
all,0.0100,bernoulli-active,682,0.10798454284667969,1.0
all,0.0100,bernoulli-active,683,0.11306047439575195,1.0
all,0.0100,bernoulli-active,684,0.1314173936843872,1.0
all,0.0100,bernoulli-active,685,0.14461469650268555,1.0
all,0.0100,bernoulli-active,686,0.11939918994903564,1.0
all,0.0100,bernoulli-active,687,0.1474522352218628,1.0
all,0.0100,bernoulli-active,688,0.1730262041091919,1.0
all,0.0100,bernoulli-active,689,0.1464604139328003,1.0
all,0.0100,bernoulli-active,690,0.12884390354156494,1.0
all,0.0100,bernoulli-active,691,0.11452341079711914,1.0
all,0.0100,bernoulli-active,692,0.19052934646606445,1.0
all,0.0100,bernoulli-active,693,0.127327561378479,1.0
all,0.0100,bernoulli-active,694,0.13570690155029297,1.0
all,0.0100,bernoulli-active,695,0.1643848419189453,1.0
all,0.0100,bernoulli-active,696,0.11888003349304199,1.0
all,0.0100,bernoulli-active,697,0.11214423179626465,1.0
all,0.0100,bernoulli-active,698,0.12524425983428955,1.0
all,0.0100,bernoulli-active,699,0.22346997261047363,1.0
all,0.0100,bernoulli-active,700,0.11700725555419922,1.0
all,0.0100,bernoulli-active,701,0.10729646682739258,1.0
all,0.0100,bernoulli-active,702,0.13561701774597168,1.0
all,0.0100,bernoulli-active,703,0.14018428325653076,1.0
all,0.0100,bernoulli-active,704,0.13156390190124512,1.0
all,0.0100,bernoulli-active,705,0.10341215133666992,1.0
all,0.0100,bernoulli-active,706,0.15236186981201172,1.0
all,0.0100,bernoulli-active,707,0.12101149559020996,1.0
all,0.0100,bernoulli-active,708,0.1313711404800415,1.0
all,0.0100,bernoulli-active,709,0.11482596397399902,1.0
all,0.0100,bernoulli-active,710,0.11300361156463623,1.0
all,0.0100,bernoulli-active,711,0.18083441257476807,1.0
all,0.0100,bernoulli-active,712,0.11028182506561279,1.0
all,0.0100,bernoulli-active,713,0.12043511867523193,1.0
all,0.0100,bernoulli-active,714,0.11131656169891357,1.0
all,0.0100,bernoulli-active,715,0.1272498369216919,1.0
all,0.0100,bernoulli-active,716,0.1251312494277954,1.0
all,0.0100,bernoulli-active,717,0.11185014247894287,1.0
all,0.0100,bernoulli-active,718,0.11616861820220947,1.0
all,0.0100,bernoulli-active,719,0.16541504859924316,1.0
all,0.0100,bernoulli-active,720,0.12351882457733154,1.0
all,0.0100,bernoulli-active,721,0.11079609394073486,1.0
all,0.0100,bernoulli-active,722,0.18524038791656494,1.0
all,0.0100,bernoulli-active,723,0.1252298355102539,1.0
all,0.0100,bernoulli-active,724,0.1937713623046875,1.0
all,0.0100,bernoulli-active,725,0.10090970993041992,1.0
all,0.0100,bernoulli-active,726,0.1700577735900879,0.0
all,0.0100,bernoulli-active,727,0.1501460075378418,1.0
all,0.0100,bernoulli-active,728,0.11620914936065674,1.0
all,0.0100,bernoulli-active,729,0.12623417377471924,1.0
all,0.0100,bernoulli-active,730,0.18289291858673096,1.0
all,0.0100,bernoulli-active,731,0.1332324743270874,1.0
all,0.0100,bernoulli-active,732,0.12224864959716797,1.0
all,0.0100,bernoulli-active,733,0.10100078582763672,1.0
all,0.0100,bernoulli-active,734,0.15904808044433594,0.0
all,0.0100,bernoulli-active,735,0.14907312393188477,1.0
all,0.0100,bernoulli-active,736,0.1304861307144165,1.0
all,0.0100,bernoulli-active,737,0.17287147045135498,1.0
all,0.0100,bernoulli-active,738,0.1458035707473755,1.0
all,0.0100,bernoulli-active,739,0.19083797931671143,1.0
all,0.0100,bernoulli-active,740,0.17935264110565186,1.0
all,0.0100,bernoulli-active,741,0.1663217544555664,1.0
all,0.0100,bernoulli-active,742,0.09251666069030762,1.0
all,0.0100,bernoulli-active,743,0.15216338634490967,1.0
all,0.0100,bernoulli-active,744,0.15983951091766357,1.0
all,0.0100,bernoulli-active,745,0.11106932163238525,1.0
all,0.0100,bernoulli-active,746,0.10615277290344238,1.0
all,0.0100,bernoulli-active,747,0.14438354969024658,1.0
all,0.0100,bernoulli-active,748,0.1752488613128662,1.0
all,0.0100,bernoulli-active,749,0.10165560245513916,1.0
all,0.0100,bernoulli-active,750,0.11005854606628418,1.0
all,0.0100,bernoulli-active,751,0.10312509536743164,1.0
all,0.0100,bernoulli-active,752,0.11585450172424316,1.0
all,0.0100,bernoulli-active,753,0.12739074230194092,1.0
all,0.0100,bernoulli-active,754,0.14509785175323486,1.0
all,0.0100,bernoulli-active,755,0.15966808795928955,1.0
all,0.0100,bernoulli-active,756,0.17333471775054932,1.0
all,0.0100,bernoulli-active,757,0.11354196071624756,1.0
all,0.0100,bernoulli-active,758,0.15774178504943848,1.0
all,0.0100,bernoulli-active,759,0.10509908199310303,1.0
all,0.0100,bernoulli-active,760,0.1270521879196167,1.0
all,0.0100,bernoulli-active,761,0.11003172397613525,1.0
all,0.0100,bernoulli-active,762,0.14646673202514648,1.0
all,0.0100,bernoulli-active,763,0.18525469303131104,1.0
all,0.0100,bernoulli-active,764,0.18288326263427734,1.0
all,0.0100,bernoulli-active,765,0.09839785099029541,1.0
all,0.0100,bernoulli-active,766,0.09445822238922119,1.0
all,0.0100,bernoulli-active,767,0.1595911979675293,1.0
all,0.0100,bernoulli-active,768,0.1309363842010498,1.0
all,0.0100,bernoulli-active,769,0.10212278366088867,1.0
all,0.0100,bernoulli-active,770,0.16938626766204834,1.0
all,0.0100,bernoulli-active,771,0.15851128101348877,0.0
all,0.0100,bernoulli-active,772,0.12298476696014404,1.0
all,0.0100,bernoulli-active,773,0.13470137119293213,1.0
all,0.0100,bernoulli-active,774,0.10689854621887207,1.0
all,0.0100,bernoulli-active,775,0.16621720790863037,1.0
all,0.0100,bernoulli-active,776,0.09794163703918457,1.0
all,0.0100,bernoulli-active,777,0.13210034370422363,1.0
all,0.0100,bernoulli-active,778,0.13477516174316406,0.0
all,0.0100,bernoulli-active,779,0.14426779747009277,1.0
all,0.0100,bernoulli-active,780,0.13088202476501465,1.0
all,0.0100,bernoulli-active,781,0.13308656215667725,1.0
all,0.0100,bernoulli-active,782,0.12544143199920654,1.0
all,0.0100,bernoulli-active,783,0.18117856979370117,1.0
all,0.0100,bernoulli-active,784,0.1629483699798584,1.0
all,0.0100,bernoulli-active,785,0.11436188220977783,1.0
all,0.0100,bernoulli-active,786,0.13991451263427734,1.0
all,0.0100,bernoulli-active,787,0.14053809642791748,1.0
all,0.0100,bernoulli-active,788,0.11437606811523438,1.0
all,0.0100,bernoulli-active,789,0.10771012306213379,1.0
all,0.0100,bernoulli-active,790,0.19566738605499268,0.0
all,0.0100,bernoulli-active,791,0.13596200942993164,1.0
all,0.0100,bernoulli-active,792,0.15331649780273438,1.0
all,0.0100,bernoulli-active,793,0.14448392391204834,1.0
all,0.0100,bernoulli-active,794,0.13521623611450195,1.0
all,0.0100,bernoulli-active,795,0.10892415046691895,1.0
all,0.0100,bernoulli-active,796,0.1282811164855957,1.0
all,0.0100,bernoulli-active,797,0.1466963291168213,1.0
all,0.0100,bernoulli-active,798,0.15716898441314697,1.0
all,0.0100,bernoulli-active,799,0.135908842086792,1.0
all,0.0100,bernoulli-active,800,0.13148927688598633,1.0
all,0.0100,bernoulli-active,801,0.16909587383270264,1.0
all,0.0100,bernoulli-active,802,0.16885697841644287,1.0
all,0.0100,bernoulli-active,803,0.1410752534866333,1.0
all,0.0100,bernoulli-active,804,0.1643763780593872,1.0
all,0.0100,bernoulli-active,805,0.14696967601776123,1.0
all,0.0100,bernoulli-active,806,0.11577236652374268,1.0
all,0.0100,bernoulli-active,807,0.11633086204528809,1.0
all,0.0100,bernoulli-active,808,0.16175949573516846,1.0
all,0.0100,bernoulli-active,809,0.13969409465789795,0.0
all,0.0100,bernoulli-active,810,0.12100231647491455,1.0
all,0.0100,bernoulli-active,811,0.13224005699157715,1.0
all,0.0100,bernoulli-active,812,0.13318192958831787,1.0
all,0.0100,bernoulli-active,813,0.18882036209106445,1.0
all,0.0100,bernoulli-active,814,0.13211047649383545,1.0
all,0.0100,bernoulli-active,815,0.17837154865264893,1.0
all,0.0100,bernoulli-active,816,0.12956488132476807,0.0
all,0.0100,bernoulli-active,817,0.14395272731781006,0.0
all,0.0100,bernoulli-active,818,0.0952073335647583,1.0
all,0.0100,bernoulli-active,819,0.16238903999328613,1.0
all,0.0100,bernoulli-active,820,0.1437997817993164,1.0
all,0.0100,bernoulli-active,821,0.151458740234375,1.0
all,0.0100,bernoulli-active,822,0.12873589992523193,1.0
all,0.0100,bernoulli-active,823,0.1635226011276245,1.0
all,0.0100,bernoulli-active,824,0.16051244735717773,1.0
